Antecedent,Antecedent Coverage %,Confidence,Lift
0.085 < MAJOR_COMMIT <= 0.765,0.17201,1.0,1.17954
MAJOR_COMMIT <= 0.085,0.22762,0.99172,1.16978
OWN_COMMIT <= 0.05,0.21536,0.96499,1.13825
0.765 < MAJOR_COMMIT <= 1.185,0.22102,0.96162,1.13427
CountClassCoupled <= 0.58,0.19416,0.95631,1.12801
0.945 < MAJOR_LINE <= 1.58 & -0.04 < CountDeclMethodPrivate <= 0.022,0.21159,0.95546,1.127
CountDeclMethodPublic <= 0.46,0.19934,0.93617,1.10425
0.46 < CountDeclMethodPublic <= 1.8,0.17154,0.93407,1.10177
CountOutput_Min > 1.76,0.19698,0.93062,1.09771
CountClassBase <= 0.695,0.19981,0.92689,1.0933
