Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.095,0.23171,0.98627,1.18106
0.095 < MAJOR_COMMIT <= 0.75,0.16493,0.98072,1.17441
OWN_COMMIT <= 0.045,0.22672,0.95591,1.1447
CountDeclMethodPublic <= 0.94,0.18582,0.9511,1.13894
0.75 < MAJOR_COMMIT <= 1.17,0.22263,0.93265,1.11685
0.9 < CountClassCoupled <= 2.28,0.22581,0.92153,1.10353
1.435 < CountOutput_Min <= 2.25,0.194,0.91101,1.09093
CountClassCoupled <= 0.9,0.18855,0.91084,1.09073
1.995 < MINOR_LINE <= 2.56,0.30395,0.89537,1.0722
0.795 < AvgCyclomaticModified <= 1.025,0.57428,0.87579,1.04876
