Antecedent,Antecedent Coverage %,Confidence,Lift
0.075 < MAJOR_COMMIT <= 0.825,0.16682,0.98889,1.24505
MAJOR_COMMIT <= 0.075,0.23633,0.98627,1.24176
OWN_COMMIT <= 0.03,0.22892,0.96559,1.21572
18.1 < CountLineComment <= 21.3 & -0.126 < AvgLineBlank <= 0.016,0.14458,0.95513,1.20255
CountDeclMethodPublic <= 0.88,0.18443,0.92714,1.1673
0.825 < MAJOR_COMMIT <= 1.155,0.20158,0.89425,1.1259
0.03 < OWN_COMMIT <= 0.38,0.1798,0.88918,1.11951
0.88 < CountDeclMethodPublic <= 2.5,0.22567,0.8809,1.1091
18.1 < CountLineComment <= 21.3,0.24838,0.8806,1.10871
0.78 < CountClassCoupled <= 2.2,0.22706,0.87551,1.10231
