Antecedent,Antecedent Coverage %,Confidence,Lift
0.08 < MAJOR_COMMIT <= 0.77,0.15562,0.97929,1.20579
MAJOR_COMMIT <= 0.08,0.24724,0.97207,1.1969
0.675 < CountInput_Min <= 1.365 & 0.986 < AvgCyclomaticModified <= 1.184,0.15055,0.9633,1.18611
OWN_COMMIT <= 0.02,0.24033,0.94444,1.16289
CountClassCoupled <= 0.6,0.19613,0.93662,1.15325
CountDeclMethodPublic <= 0.9,0.18831,0.93643,1.15302
0.77 < MAJOR_COMMIT <= 1.29,0.19936,0.91917,1.13177
CountClassBase <= 0.9,0.15516,0.91098,1.12168
MINOR_LINE <= 1.09,0.22192,0.90871,1.11889
1.09 < MINOR_LINE <= 1.75,0.18186,0.90633,1.11596
