,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
50,1.0,1.0,9.0,0.0,0.25,0.0,1.0,0.0,1.0,8.0,0.33999999999999997,0.0,-7.105427357601002e-15,4.0,0.0,1.0,1.0,0.875,0.0,2.0,1.0,0.4,0.25,0.0,2.0,2.0
831,,,,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,,,,,,,,,,,,,
854,12.0,0.20000000000000007,3.0,3.0,2.0,3.0,2.0,0.0,8.0,7.0,0.19999999999999996,3.0,33.0,4.0,0.0,23.0,1.0,4.27777777777778,0.0,1.0,1.0,0.14285714285714302,0.2,0.0,3.0,2.0
48,6.0,2.0,3.0,0.25,1.0,0.0,1.0,0.0,1.0,10.0,0.30000000000000004,0.0,-7.105427357601002e-15,4.0,0.0,2.0000000000000004,1.0,1.8,0.0,1.0,1.0,0.4166666666666671,0.25,0.0,3.0,0.0
834,,,,,,,,,,,,,,,,,,,,,,,,,,
875,1.0,2.0,0.0,1.0,13.0,1.0,2.0,0.0,13.0,8.0,0.22000000000000008,0.0,81.0,2.0,0.0,4.0,2.0,4.72727272727273,1.0,1.0,1.0,1.57142857142857,1.0,0.0,1.0,0.0
845,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,,,,,,,,,,
908,1.0,0.0,0.0,0.0,0.666666666666667,0.0,2.0,0.0,10.0,10.0,0.4099999999999999,0.0,82.0,1.0,0.0,7.0,1.0,6.62962962962963,1.0,1.0,1.0,1.26666666666667,0.666666666666667,0.0,1.0,1.0
80,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,
915,,,,,,,,,,,,,,,,,,,,,,,,,,
920,,,,,,,,,,,,,,,,,,,,,,,,,,
