Antecedent,Antecedent Coverage %,Confidence,Lift
PercentLackOfCohesion <= 4,0.19183,0.98789,1.07258
0.65 < CountDeclMethodProtected <= 1.62,0.18393,0.98737,1.07202
-0.095 < Del_lines <= 0.315,0.82954,0.98656,1.07114
CountClassCoupled <= 0.84,0.19833,0.98595,1.07047
2.42 < CountClassCoupled <= 4.72,0.20251,0.98165,1.06581
CountOutput_Min > 2.3,0.18068,0.97943,1.0634
-0.405 < CountDeclClassVariable <= 0.235,0.38272,0.97816,1.06201
15.6 < CountLineComment <= 28.6,0.33488,0.97503,1.05862
0.98 < AvgCyclomaticModified <= 1.255,0.31259,0.97325,1.05669
-0.03 < CountDeclMethodProtected <= 0.65,0.31398,0.97189,1.05521
