,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE
1664,4,4,1,2,5,3,59,2,0,3,2,0.35,2,77,1,0,2,2,2.8,0,1,0.923076923076923,0,11,0.934865900383142,0,1
779,3,0,2,0,0,3,68,1,0,6,8,0.4,1,76,2,0,4,2,2.35714285714286,0,1,1.125,0,14,0.963087248322148,0,1
2129,0,0,1,0,1,12,391,1,0,0,26,0.21,20,0,2,0,4,1,0.346153846153846,0,2,0.241379310344828,0,9,0.992,0,1
2037,7,0,1,8,5,2,118,1,1,9,7,0.53,2,84,1,0,6,1,3.4,0,1,0.388888888888889,0,546,0.955916473317865,0,1
1696,16,0,1,3,2,12,140.0,1,2,1,6,0.64,4,88,4,0,1,2,5.08333333333333,0,1,0.814814814814815,0,7,0.992654774396642,0,1
1519,2,0,1,0,2,5,42,1,0,0,1,1.2,2,0,0,0,8,1,1.33333333333333,1,2,0.6,0,15,0.938144329896907,0,2
1146,1,0,1,0,0,1,140,1,0,6,10,0.79,2,72,3,0,15,2,4.63636363636364,1,1,1.76923076923077,0,7,0.942934782608696,0,1
1922,3,3,2,5,13.5,11,21.5,1,0,2,20,0.77,3,97,1,0,5,2,2.76923076923077,0,1,1.72413793103448,0,19,0.811111111111111,0,2
620,3,0,2,2,2,5,333,1,1,3,33,0.51,1,77,2,2,15,2,3.52380952380952,0,1,1.18181818181818,0,6,0.961605584642234,0,5
208,1,0,1,0,0,5,117,1,1,4,13,0.47,1,73,1,2,10,2,9.86666666666667,1,1,0.666666666666667,0,6,0.960648148148148,0,2
2029,1,0,1,0,1,6,35,1,0,0,1,1.09,3,0,3,0,14,1,1.0,1,2,1.6,0,6,0.710843373493976,0,5
535,0,0,2,0,0,2,41,1,0,3,3,0.6,3,0,1,2,0,1,5.33333333333333,4,1,2.2,1,11,0.877697841726619,0,1
464,3,0,1,5,1,9,504,1,0,15,37,0.95,1,91,2,0,28,4,6.125,1,1,0.738095238095238,0,6,0.946397188049209,0,1
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,1,1,1,6,1,4,98,1,0,6,10,0.87,0,87,1,0,1,1,4.58333333333333,1,1,0.214285714285714,0,9,0.506666666666667,0,1
1671,3,0,1,2,1,3,61,2,1,0,9,0.13,3,100,4,0,1,2,2.30769230769231,0,1,0.5,0,6.5,0.766721044045677,0,2
1272,3,1,1,0,3,20,459,1,8,0,8,0.92,5,0,2,0,23,1,4.65,0,0,1.09090909090909,0,6,0.8801523297491041,0,3
1202,5,0,2,4,0,10,48.0,1,0,19,23,0.59,2,81,0,0,18,2,7.0,1,1,1.43333333333333,0,6,0.687707641196013,0,0
625,0,1,1,0,0,1,90,1,0,0,35,0.44,0,0,1,1,8,1,0.611111111111111,0,1,0.315789473684211,0,23,0.759206798866855,0,1
1439,0,0,1,1,0,5,73,1,0,1,9,0.57,2,88,2,1,17,2,5.55555555555556,0,1,0.545454545454545,0,11,0.952,0,1
1566,0,0,1,0,1,0,23,1,0,0,16,0.35,0,0,3,0,2,1,1.9375,1,1,0.0,0,15,0.944444444444444,0,1
