test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
10,0,20.0,0.0,2.0,0.0,1.0,7.0,104.49365234375,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,6.48046875,0.914331465172138,0.0,2.0,0.5748758800243432,0.42512411997565686,2,81519531250000.0
1955,0,50.0,0.0,1.0,59.0,1.0,3.0,30.419921875,3.0,0.0,18.0,24.0,0.5,1.0,97.0,2.0,0.0,3.0,1.0,4.54054054054054,1.0,0.0,0.564102564102564,0.0,6.39013671875,0.929274292742927,0.0,0.0,0.5041330147731943,0.4958669852268057,2,1597609863281250.0
16,0,5.0,1.0,1.0,0.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,6.469970703125,0.429503916449086,0.0,1.5,0.59225608902383,0.40774391097617,2,274530029296875.0
1956,0,1.0,0.0,1.0,0.0,0.0,12.0,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,6.46484375,0.938388625592417,0.0,4.0,0.5916286261710937,0.40837137382890626,1,237535156250000.0
1957,0,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,5.0,1.0,3.8,1.0,1.0,0.714285714285714,0.0,89.48938757181168,0.945205479452055,0.0,0.0,0.5115578549303952,0.4884421450696048,1,85510612428188.33
1958,0,3.0,17.0,2.0,2.0,0.0,4.498779296875,423.0,1.0,0.0,18.0,0.0,0.74,2.0,89.0,1.0,0.0,9.0,1.0,7.55,2.0,2.0,1.90909090909091,0.0,6.276123046875,0.790307548928239,0.0,0.0,0.5774117991380707,0.42258820086192933,2,1130723876953125.0
19,0,8.0,5.0,1.0,3.0,0.0,0.0,33.49609375,1.0,2.0,2.0,86.0,0.06,0.0,97.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,0.11630574939320393,0.0,17.0,0.49563838223632,0.0,6.0,0.5265435446336194,0.4734564553663806,2,1.2072162400358506
23,0,7.0,1.0,1.0,0.0,0.0,4.0,244.0,1.0,3.0,8.0,30.0,0.35,1.0,87.0,2.0,0.0,17.0,2.0,6.21951219512195,1.0,1.0,1.2093023255814,0.0,6.4423828125,0.337057728119181,0.0,2.5,0.501334126919029,0.498665873080971,2,301557617187500.0
1959,0,2.0,0.0,1.0,0.0,0.0,11.0,107.0,1.0,0.0,3.0,4.0,1.45,0.0,61.0,2.0,0.0,7.0,1.0,4.0,1.0,2.0,1.25,0.0,9.499646425247192,0.733990147783251,0.0,1.0,0.5010614987001507,0.4989385012998493,1,210500353574752.8
1960,0,2.0,0.0,1.0,0.0,0.0,10.0,118.0,1.0,0.0,5.0,5.0,1.26,0.0,60.0,2.0,0.0,7.0,1.0,4.14285714285714,1.0,0.0,1.33333333333333,1.0,7.499267578125,0.905982905982906,0.0,1.0,0.5733529945785457,0.4266470054214543,1,265500732421875.0
