,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
210,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,60.0,2.0,0.0,12.0,2.0,3.4,1.0,2.6,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,7.80932759236741e-06
256,8.0,0.0,7.0,0.0,0.0,0.0,171.0,14.0,14.0,15.0,0.08,1.0,217.0,93.0,1.0,2.0,64.0,2.0,5.80645161290323,0.0,18.9,0.0,1.0,0.280172413793103,0.0,145.0,0.821428571428571,0.0,1.0,1.0,0.0009539391793567109
270,6.0,0.0,1.0,18.0,7.0,0.0,70.0,3.0,0.0,31.0,2.6,1.0,52.0,96.0,1.0,0.0,24.0,3.0,5.72881355932203,1.0,9.6,1.0,1.0,0.333333333333333,0.0,45.0,1.0,0.0,1.0,2.0,0.0008534814724097117
468,1.0,0.0,3.0,4.0,37.0,0.0,57.0,8.0,1.0,7.0,0.12,0.0,11.0,93.0,2.0,0.0,17.0,2.0,3.33333333333333,1.0,2.8,1.0,1.0,0.842105263157895,0.0,76.0,0.666666666666667,0.0,4.0,2.0,0.00037933890929531255
474,1.0,1.0,1.0,1.0,5.0,0.0,33.0,2.0,0.0,0.0,3.3,0.0,4.0,87.0,6.0,1.0,16.0,2.0,4.11111111111111,2.0,7.0,2.0,1.0,2.4,0.0,1.0,1.0,0.0,4.0,3.0,0.0006559334703992725
477,3.0,19.0,1.0,8.0,9.0,0.0,40.0,7.0,3.0,10.0,0.09,0.0,53.0,100.0,5.0,2.0,23.0,4.0,2.69354838709677,0.0,3.37096774193548,0.0,1.0,0.414285714285714,0.0,19.0,0.454545454545455,0.0,4.0,0.0,0.000497945849676773
496,26.0,0.0,1.0,22.0,1.0,2.0,216.0,2.0,7.0,10.0,7.2,2.0,54.0,95.0,2.0,1.0,42.0,2.0,17.0,2.0,7.61818181818182,1.0,1.0,1.22413793103448,0.0,1068.0,1.0,0.0,1.0,3.0,5.589340291367595e-05
515,1.0,8.0,1.0,0.0,0.0,1.0,145.0,3.0,0.0,13.0,1.03,0.0,21.0,100.0,7.0,0.0,4.0,1.0,3.76190476190476,0.0,3.33333333333333,1.0,0.0,0.52,0.0,145.0,0.6875,0.0,3.0,4.0,0.0009464245004279226
539,9.0,0.0,1.0,1.0,11.0,0.0,18.0,3.0,1.0,2.0,0.05,1.0,26.0,86.0,3.0,3.0,23.0,2.0,1.0,0.0,5.83783783783784,1.0,1.0,0.829268292682927,0.0,47.0,1.0,0.0,2.0,0.0,0.000523314779293238
542,13.0,0.0,2.0,5.0,50.0,1.0,137.0,11.0,0.0,3.0,0.14,1.0,11.0,97.0,1.0,0.0,58.0,2.0,5.0655737704918,0.0,9.6,1.0,1.0,0.959459459459459,0.0,385.0,0.906976744186046,2.0,3.0,9.0,2.6963418754410995e-06
547,32.0,38.0,12.0,9.0,21.0,0.0,157.0,22.0,2.0,45.0,0.1,0.0,154.0,98.0,4.0,4.0,47.0,2.0,3.13142857142857,0.0,5.17142857142857,0.0,0.0,0.722222222222222,0.0,374.0,1.0,0.0,5.0,0.0,0.00043741317066892105
551,2.0,0.0,25.0,2.0,7.0,0.0,68.0,1.0,2.0,5.0,0.12,0.0,57.0,87.0,5.0,0.0,21.0,1.0,5.015625,0.0,1.8,1.0,1.0,0.742424242424242,0.0,68.0,1.0,0.0,4.0,7.0,0.022334794120463575
552,2.0,0.0,2.0,2.0,9.0,0.0,43.0,2.0,3.0,1.0,0.18,0.0,24.0,93.0,3.0,2.0,14.0,2.0,4.12121212121212,0.0,2.5,1.0,1.0,0.9,0.0,76.0,1.0,0.0,3.0,7.0,7.791305737869791e-05
567,15.0,0.0,1.0,2.0,230.0,0.0,71.0,2.0,0.0,1.0,9.5,0.0,3.0,100.0,2.0,0.0,73.0,1.0,5.59656652360515,0.0,11.9,1.0,1.0,0.48728813559322,0.0,43.0,0.607142857142857,0.0,2.0,6.0,0.0010127520254039624
592,0.0,0.0,1.0,0.0,2.0,0.0,36.0,2.0,0.0,8.0,0.25,0.0,9.0,71.0,4.0,0.0,9.0,2.0,3.27272727272727,1.0,5.45454545454545,1.0,1.0,0.764705882352941,0.0,39.0,0.833333333333333,0.0,1.0,4.0,0.000610746365410697
602,1.0,0.0,1.0,0.0,9.0,0.0,43.0,10.0,1.0,4.0,0.11,0.0,33.0,60.0,4.0,1.0,11.0,2.0,2.95238095238095,0.0,0.8,2.0,1.0,0.679245283018868,0.0,36.0,0.5,0.0,7.0,4.0,0.0009258372523500702
603,3.0,2.0,6.0,0.0,1.0,2.0,86.0,3.0,1.0,4.0,0.28,1.0,15.0,62.0,3.0,0.0,15.0,2.0,3.4375,0.0,8.125,1.0,1.0,1.45,0.0,34.0,0.666666666666667,0.0,5.0,8.0,0.0007626908310024438
625,0.0,0.0,1.0,138.0,387.0,1.0,555.0,1.0,2.0,4.0,0.14,0.0,8.0,99.0,1.0,0.0,94.0,7.0,4.66835443037975,1.0,4.31645569620253,1.0,1.0,0.183879093198992,0.0,8702.0,0.666666666666667,0.0,2.0,1.0,1.6399795510491089e-07
635,25.0,55.0,1.0,3.0,12.0,0.0,575.0,8.0,0.0,187.0,0.21,0.0,459.0,100.0,2.0,4.0,136.0,2.0,13.8152866242038,0.0,11.1,0.0,1.0,0.261954261954262,0.0,369.0,0.666666666666667,4.0,8.0,14.0,5.557585661297715e-05
637,68.0,0.0,2.0,5.0,29.0,1.0,461.0,12.0,0.0,6.0,0.15,0.0,290.0,85.0,7.0,1.0,36.0,2.0,6.05956112852665,0.0,10.1,1.0,1.0,0.903614457831325,0.0,125.0,0.314285714285714,0.0,6.0,10.0,6.177183877265069e-05
638,8.0,4.0,1.0,22.0,5.0,3.0,612.0,4.0,17.0,7.0,0.81,0.0,127.0,98.0,1.0,1.0,33.0,8.0,15.9015151515152,0.0,17.3,0.0,1.0,0.467153284671533,0.0,186.0,0.75,0.0,2.0,1.0,0.00022775186562340455
640,11.0,1.0,2.0,4.0,13.0,1.0,163.0,1.0,0.0,1.0,0.25,0.0,59.0,88.0,8.0,0.0,18.0,0.0,4.36111111111111,0.0,11.9,1.0,1.0,0.810810810810811,0.0,11.0,0.555555555555556,0.0,6.0,6.0,0.0006126154211975043
643,7.0,0.0,10.0,5.0,9.0,1.0,192.0,9.0,6.0,17.0,0.18,0.0,112.0,96.0,4.0,3.0,31.0,2.0,6.71074380165289,13.0,13.7,1.0,1.0,0.778625954198473,0.0,165.0,0.8125,3.0,3.0,7.0,0.0019127314514995053
649,6.0,18.0,1.0,4.0,29.0,0.0,46.0,14.0,0.0,4.0,0.12,0.0,17.0,100.0,3.0,0.0,16.0,2.0,2.67391304347826,0.0,4.89130434782609,1.0,1.0,0.459016393442623,0.0,437.0,0.25,0.0,4.0,0.0,0.0006364071648193859
652,5.0,0.0,1.0,0.0,82.0,0.0,38.0,54.0,0.0,23.0,7.6,1.0,55.0,16.0,1.0,0.0,28.0,2.0,4.55474452554745,1.0,13.3,2.0,1.0,0.682291666666667,0.0,20.0,0.8,0.0,5.0,1.0,0.003617530393299595
653,6.0,3.0,1.0,1.0,27.0,0.0,39.0,8.0,3.0,6.0,0.13,0.0,21.0,89.0,3.0,0.0,19.0,2.0,6.60416666666667,1.0,2.7,2.0,1.0,0.385964912280702,0.0,56.0,0.75,2.0,6.0,0.0,0.00026508459334739776
656,17.0,1.0,7.0,11.0,45.0,2.0,259.0,5.0,3.0,2.0,1.1,2.0,33.0,96.0,4.0,1.0,36.0,2.0,4.02564102564103,0.0,1.7,1.0,1.0,1.11904761904762,0.0,161.0,0.666666666666667,1.0,4.0,9.0,0.0003221022010233554
659,36.0,0.0,1.0,8.0,16.0,0.0,158.0,3.0,0.0,2.0,0.19,0.0,109.0,46.0,5.0,0.0,25.0,2.0,57.1,0.0,18.6,1.0,1.0,0.643410852713178,0.0,90.0,0.714285714285714,0.0,4.0,8.0,0.044627480299654576
660,2.0,0.0,1.0,18.0,6.0,2.0,174.0,2.0,1.0,1.0,3.4,0.0,51.0,94.0,4.0,0.0,21.0,2.0,6.96491228070175,0.0,0.0,1.0,1.0,0.683333333333333,0.0,23.0,0.352941176470588,0.0,7.0,6.0,0.00043290538337492634
