test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
11,0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,14.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.5197475243817316,0.4802524756182684,1
11,1,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9490038962593752,0.050996103740624785,2
11,2,1.0,0.0,1.0,1.0,3.0,2.0,2.0,16.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9980507420470986,0.0019492579529013898,3
11,3,1.0,0.0,1.0,1.0,1.0,2.0,2.0,16.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9995093940294106,0.0004906059705893602,4
11,4,1.0,0.0,1.0,1.0,1.0,2.0,2.0,16.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,0.0,3.0,0.9995866419904138,0.00041335800958616856,5
11,5,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9523048252032751,0.047695174796724894,3
11,6,1.0,0.0,1.0,1.0,3.0,2.0,0.0,51.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9684685179117809,0.03153148208821911,4
11,7,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,2.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9746315496141066,0.025368450385893453,3
11,8,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,2.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.9751311574653415,0.024868842534658448,4
11,9,1.0,0.0,1.0,1.0,3.0,2.0,2.0,16.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,0.0,3.0,0.998357283391167,0.0016427166088329205,4
11,10,1.0,0.0,1.0,1.0,1.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.5876012620005033,0.4123987379994966,1
11,11,1.0,0.0,1.0,1.0,1.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,2.0,3.0,0.7995653232699633,0.2004346767300367,2
11,12,1.0,0.0,1.0,1.0,1.0,2.0,0.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,2.0,3.0,0.9213855242605842,0.0786144757394158,3
11,13,1.0,0.0,1.0,1.0,1.0,2.0,0.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,2.0,3.0,0.9496465472830129,0.0503534527169871,4
11,14,1.0,0.0,1.0,1.0,1.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,1.0,3.0,3.0,0.7282909056529947,0.2717090943470053,2
11,15,1.0,0.0,1.0,0.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,3.0,3.0,0.6223011998933456,0.37769880010665435,2
11,16,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,1.0,3.0,3.0,0.7005985200560583,0.29940147994394173,2
11,17,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,1.0,3.0,3.0,0.7562545673344406,0.24374543266555934,3
11,18,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,1.0,3.0,3.0,0.7975378951071921,0.2024621048928079,4
11,19,1.0,0.0,1.0,1.0,3.0,2.0,0.0,51.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,1.0,3.0,3.0,0.833157482579181,0.166842517420819,5
1516,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,3.0,2.0,32.0,151.0,0.0,3.0,1.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.6238294519574685,0.3761705480425314,2
1516,1,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,0.0,2.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.9399975967056351,0.06000240329436488,3
1516,2,17.0,0.0,1.0,1.0,0.0,2.0,1.0,418.0,0.0,2.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.9710600325514728,0.028939967448527205,4
1516,3,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,2.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.5083558618002026,0.49164413819979735,2
1516,4,0.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,0.0,2.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.8438573001039862,0.1561426998960138,3
1516,5,0.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,0.0,3.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.8989780949289452,0.10102190507105477,4
1516,6,0.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,0.0,3.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.9266614355834206,0.07333856441657934,5
1516,7,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,0.0,2.0,0.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.9633756955019543,0.03662430449804568,4
1516,8,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,0.0,2.0,0.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.9776052590692959,0.02239474093070412,5
1516,9,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,1.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,0.7022495926476673,0.29775040735233266,2
1516,10,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,1.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.5999868763316161,0.400013123668384,2
1516,11,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,2.0,0.9379184244967329,0.062081575503267095,4
1516,12,0.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,2.0,0.9472805401529344,0.05271945984706562,5
1516,13,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,3.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,0.7349419667903516,0.2650580332096484,2
1516,14,17.0,0.0,1.0,1.0,0.0,2.0,1.0,418.0,3.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.555590122555194,0.4444098774448059,2
1516,15,17.0,0.0,1.0,1.0,0.0,2.0,1.0,418.0,0.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1.0,0.8886975425239213,0.11130245747607867,4
1516,16,17.0,0.0,1.0,1.0,36.0,2.0,1.0,418.0,0.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1.0,0.90781508983147,0.09218491016853006,5
1516,17,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,3.0,2.0,5.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.5398925357740934,0.4601074642259067,2
1516,18,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,26.0,2.0,5.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.5135621678924505,0.4864378321075496,2
1516,19,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,0.0,2.0,5.0,151.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,0.3,0.0,1.0,2.0,1.0,0.9647304625560958,0.035269537443904125,5
38,0,0.0,114.0,1.0,0.0,0.0,6.0,1.0,768.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,2.0,9.0,0.652583071103066,0.347416928896934,1
38,1,0.0,0.0,1.0,0.0,0.0,6.0,1.0,768.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.9664969945242945,0.033503005475705526,2
38,2,0.0,0.0,1.0,0.0,36.0,6.0,1.0,768.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.9799445460297904,0.020055453970209546,3
38,3,0.0,0.0,1.0,0.0,36.0,6.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,4.0,9.0,0.5029408829381288,0.49705911706187117,3
38,4,0.0,0.0,1.0,0.0,0.0,6.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,4.0,9.0,0.5091105409244412,0.4908894590755588,3
38,5,0.0,0.0,1.0,0.0,1.0,6.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.9972663576716009,0.0027336423283991756,5
38,6,0.0,29.0,1.0,0.0,0.0,6.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,4.0,9.0,0.5523525236706246,0.4476474763293754,3
38,7,0.0,0.0,1.0,0.0,0.0,6.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.9976305182919813,0.002369481708018621,4
38,8,0.0,114.0,1.0,0.0,0.0,6.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,4.0,9.0,0.5523525236706246,0.4476474763293754,2
38,9,0.0,0.0,1.0,0.0,0.0,3.0,1.0,768.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.9825650743572456,0.017434925642754347,3
38,10,0.0,0.0,1.0,0.0,0.0,3.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.992221035111842,0.007778964888157996,4
38,11,0.0,0.0,1.0,0.0,0.0,3.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,1.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.9956405178254021,0.004359482174597878,5
