test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
19,0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,2.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,0.0,0.0,0.609029094549518,0.39097090545048196,1
20,0,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,0.9,1.0,0.0,3.0,0.5835625256110951,0.4164374743889049,2
25,0,3.0,17.0,2.0,2.0,0.0,18.0,52.0,1.0,0.0,18.0,0.0,0.73,89.0,1.0,0.0,11.0,1.0,11.35,2.0,2.0,1.90909090909091,0.0,0.0,0.793900184842883,0.0,0.0,0.0,0.6127730692388516,0.3872269307611485,1
30,0,0.0,3.0,1.0,0.0,0.0,4.0,15.0,1.0,2.0,6.0,30.0,0.33,84.0,2.0,0.0,16.0,2.0,7.1025641025641,1.0,1.0,1.21951219512195,0.0,27.0,1.0,0.666666666666667,0.0,5.0,0.5016677988746205,0.4983322011253794,3
41,0,12.0,9.0,1.0,9.0,0.0,2.0,81.0,1.0,35.0,36.0,94.0,0.28,96.0,1.0,1.0,36.0,3.0,5.4,0.0,0.0,0.907894736842105,0.0,10.0,0.9,1.0,0.0,8.0,0.5423513840947121,0.457648615905288,2
44,0,25.0,19.0,2.0,13.0,0.0,1.0,239.0,1.0,6.0,28.0,35.0,0.24,94.0,1.0,1.0,29.0,1.0,8.36470588235294,0.0,0.0,0.632183908045977,0.0,0.0,0.592727272727273,0.0,0.0,1.0,0.5729442386785075,0.42705576132149253,1
59,0,0.0,8.0,1.0,9.0,1.0,4.0,156.0,1.0,8.0,9.0,8.0,0.8,94.0,1.0,2.0,9.0,2.0,7.75,0.0,0.0,0.615384615384615,0.0,2.0,0.9,1.0,0.0,3.0,0.7066297506246471,0.293370249375353,1
60,0,0.0,2.0,1.0,0.0,0.0,1.0,87.0,1.0,3.0,3.0,41.0,0.2,64.0,1.0,2.0,14.0,2.0,5.65217391304348,0.0,1.0,1.10416666666667,0.0,0.0,0.4,0.0,0.0,4.0,0.5092204429715654,0.49077955702843457,1
67,0,25.0,24.0,1.0,22.0,2.0,3.0,81.0,2.0,4.0,12.0,77.0,0.25,93.0,2.0,2.0,37.0,3.0,7.99230769230769,0.0,1.0,1.11278195488722,0.0,0.0,1.0,0.0,0.0,9.0,0.5422897639909192,0.45771023600908073,2
71,0,76.0,12.0,1.0,29.0,0.0,2.0,248.333,1.0,16.0,53.0,206.0,0.23,96.0,1.0,1.0,40.0,3.0,7.35161290322581,0.0,0.0,1.38461538461538,0.0,0.0,0.384935231089077,0.0,0.0,0.0,0.5441057337990584,0.45589426620094164,2
