test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
1934,0,0.0,1.0,1.0,3.552713678800501e-15,0.0,0.0,1.84,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9031056235346231,0.09689437646537714,1
208,0,4.0,2.0,4.0,281.0,0.0,0.0,0.31,0.0,96.0,1.0,0.0,26.0,2.0,5.50943396226415,1.0,1.0,1.0,1.36206896551724,0.0,0.625,0.0,4.0,0.0,0.6433826999274476,0.3566173000725525,1
209,0,132.0,1.0,1.0,318.0,3.0,22.0,0.06,1.0,100.0,1.0,1.0,79.0,3.0,6.48815165876777,0.0,1.0,0.0,1.59174311926605,0.0,0.916666666666667,0.0,5.0,11.0,0.5451108901697531,0.4548891098302469,1
305,0,6.0,1.0,2.0,2182.0,0.0,26.0,0.42,0.0,94.0,1.0,0.0,10.0,1.0,5.03846153846154,1.0,1.0,1.0,0.574074074074074,0.0,0.333333333333333,0.0,6.0,9.0,0.8163757366088892,0.18362426339111065,1
308,0,7.0,2.0,1.0,83.0,0.0,0.0,0.16,0.0,99.0,1.0,0.0,3.0,1.0,9.46153846153846,0.0,1.0,0.0,0.714285714285714,0.0,0.454545454545455,0.0,3.0,3.0,0.8640230046078193,0.1359769953921806,1
350,0,13.0,2.0,1.0,2182.0,1.0,31.0,0.15,0.0,100.0,3.0,1.0,28.0,2.0,4.61111111111111,0.0,1.0,1.0,1.225,0.0,0.6,0.0,4.0,6.0,0.8061001451072815,0.19389985489271847,1
366,0,2.0,2.0,4.0,2182.0,1.0,3.0,0.4,0.0,100.0,3.0,0.0,12.0,2.0,3.83333333333333,0.0,1.0,0.0,2.0,0.0,0.833333333333333,0.0,4.0,5.0,0.8098345080367358,0.19016549196326415,1
376,0,8.0,2.0,2.0,2182.0,0.0,22.0,0.2,1.0,100.0,2.0,0.0,25.0,3.0,4.5,0.0,1.0,0.0,1.3448275862069,0.0,0.636363636363636,0.0,6.0,7.0,0.8318923930225774,0.16810760697742247,1
1958,0,4.0,1.0,3.0,2182.0,1.0,3.0,0.19,3.0,88.0,2.0,1.0,43.0,3.0,4.76,0.0,1.0,1.0,1.32142857142857,0.0,0.5,0.0,8.0,10.0,0.8037781601890798,0.1962218398109202,1
1965,0,4.0,2.0,2.0,2182.0,0.0,5.0,0.2,2.0,86.0,2.0,0.0,33.0,2.0,4.0,0.0,1.0,1.0,1.38888888888889,0.0,0.777777777777778,0.0,3.0,6.0,0.7945696859965207,0.20543031400347936,1
1966,0,1.0,1.0,4.0,2182.0,0.0,6.0,0.23,4.0,88.0,3.0,0.0,17.0,2.0,5.33333333333333,0.0,1.0,1.0,1.35714285714286,0.0,0.8,0.0,5.0,10.0,0.8069972573993184,0.1930027426006818,1
498,0,12.0,1.0,2.0,624.0,3.0,84.0,0.51,0.0,100.0,1.0,1.0,194.0,2.0,6.11363636363636,0.0,1.0,1.0,0.865979381443299,0.0,0.6,0.0,5.0,3.0,0.8205033377231523,0.17949666227684777,1
565,0,10.0,2.0,4.0,2182.0,0.0,0.0,0.25,1.0,94.0,2.0,1.0,30.0,2.0,2.625,0.0,1.0,1.0,1.75555555555556,0.0,0.4,0.0,3.0,7.0,0.7921191266315388,0.20788087336846114,1
766,0,2.0,1.0,4.0,236.0,0.0,2.0,0.42,0.0,100.0,1.0,0.0,37.0,2.0,6.475,0.0,1.0,0.0,0.840909090909091,0.0,0.875,0.0,5.0,0.0,0.6629789534105384,0.33702104658946164,1
831,0,4.0,1.0,0.0,140.0,0.0,30.0,0.25,0.0,96.0,1.0,3.0,19.0,2.0,9.04938271604938,0.0,1.0,0.0,0.550561797752809,0.0,0.454545454545455,0.0,7.0,0.0,0.6913833841357448,0.30861661586425515,1
1431,0,3.0,1.0,0.0,2182.0,1.0,16.0,0.17,0.0,97.0,2.0,1.0,8.0,2.0,1.67469879518072,0.0,0.0,1.0,0.252525252525253,0.0,0.428571428571429,0.0,5.0,9.0,0.8346727160147093,0.16532728398529076,1
