test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
251,0,10.0,28.0,1.0,0.0,7.0,2.0,80.2744140625,7.0,39.0,8.0,0.84,0.0,100.0,4.0,21.0,70.0,8.0,13.009756097561,0.0,0.0,0.0,162.0,0.705882352941177,0.0,6.0,11.0,0.5234140458948184,0.4765859541051815,1,86.12888487104769
302,0,6.4990234375,0.0,1.0,2.0,6.0,2.0,500.458251953125,22.0,30.0,6.0,0.68,0.0,100.0,4.0,72.0,45.0,2.0,3.34,0.0,0.0,0.0,126.0,0.454545454545455,0.0,6.0,8.0,0.5520680449139155,0.4479319550860845,2,4500976562500.0
352,0,7.0,0.0,1.0,0.0,6.0,2.0,96.48516845703125,3.0,0.0,9.0,0.72,0.0,75.0,2.0,0.0,21.0,2.0,4.57894736842105,1.0,1.0,0.0,27.0,0.75,0.0,6.0,3.0,0.5115836624030323,0.4884163375969677,1,4.119925976709094
507,0,20.0,7.0,1.0,0.0,5.0,3.0,320.9643162637949,11.0,6.0,4.0,0.4,1.0,100.0,2.0,6.0,33.0,2.0,16.855421686747,0.0,1.0,0.0,5.47900390625,0.466666666666667,0.0,6.0,6.0,0.5719466603082141,0.42805333969178594,2,91520996093750.0
531,0,6.0,5.0,1.0,0.0,5.0,2.0,386.0,6.0,9.0,6.0,0.68,0.0,94.0,3.0,39.0,21.0,3.0,3.32727272727273,0.0,0.0,0.0,5.48046875,0.571428571428571,0.0,7.0,5.0,0.9514220173320699,0.04857798266793017,1,140519531250000.0
1923,0,1.0,0.0,2.0,0.0,6.0,2.0,62.49444580078125,2.0,7.0,3.0,0.57,1.0,90.0,3.0,3.0,19.0,1.0,6.75,0.0,1.0,0.0,13.0,0.75,0.0,5.0,1.0,0.5000618870014579,0.49993811299854213,1,3.2040986972314824
1956,0,4.0,0.0,2.0,1.0,6.0,3.0,200.0,4.0,4.0,11.0,0.58,1.0,100.0,3.0,4.0,19.0,2.0,4.63636363636364,1.0,1.0,0.0,14.498046875,0.714285714285714,0.0,4.0,1.0,0.5136958765321018,0.4863041234678982,1,37501953125000.0
834,0,6.4990234375,0.0,1.0,0.0,6.0,2.0,320.99522100389004,16.0,8.0,29.0,0.7,0.0,100.0,5.0,1.0,89.0,2.0,9.9375,0.0,1.0,0.0,100.0,0.681818181818182,1.0,5.0,9.0,0.5584199117364863,0.44158008826351364,2,4500976562500.0
2359,0,0.0,0.0,1.0,0.0,2.0,1.0,96.4921875,5.0,3.0,3.0,0.26,2.0,69.0,3.0,0.0,23.0,2.0,1.35,0.0,0.0,0.0,90.0,0.75,0.0,4.0,2.0,0.6386914122349385,0.36130858776506153,1,1.6625143329285592
30,0,8.0,0.0,1.0,2.0,6.0,1.0,320.9534912109375,7.0,17.0,18.0,0.95,0.0,100.0,5.0,3.0,27.0,1.0,1.1832578339747006,0.0,0.0,0.0,6.0,0.5,0.0,4.0,8.0,0.5946108041754876,0.40538919582451244,2,10.571564709515911
2549,0,6.5,0.0,1.0,1.0,6.0,2.0,271.0,7.0,5.0,18.0,0.6,1.0,100.0,5.0,0.0,11.0,2.0,3.73529411764706,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.8384745709593474,0.1615254290406526,1,16500000000000.0
62,0,0.0,0.0,1.0,0.0,7.0,3.0,49.0,1.0,2.0,3.0,0.845044566988945,2.0,60.0,3.0,0.0,5.0,1.0,4.66666666666667,2.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,0.8019205566176274,0.1980794433823726,1,0.3787987495860352
2623,0,5.49951171875,0.0,1.0,8.0,6.0,2.0,385.0,2.0,0.0,9.0,0.7,0.0,92.0,1.0,0.0,8.0,2.0,10.6545454545455,0.0,1.0,0.0,80.0,0.571428571428571,0.0,4.0,1.0,0.6319400245721196,0.3680599754278804,1,5500488281250.0
824,0,0.0,0.0,1.0,10.0,6.0,2.0,291.99937731027603,1.0,2.0,2.0,1.11,0.0,71.0,1.0,1.0,6.0,2.0,4.72549019607843,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5109402591723451,0.48905974082765485,1,3.9987966453585386
