test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
10,0,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,12.499879598617554,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,6.48046875,0.914331465172138,0.0,2.0,0.55,0.45,2,81519531250000.0
1955,0,50.0,0.0,1.0,59.0,1.0,3.0,37.939453125,3.0,0.0,18.0,24.0,0.5,1.0,97.0,2.0,0.0,3.0,1.0,4.54054054054054,1.0,0.0,0.564102564102564,0.0,1604.0,0.929274292742927,0.0,0.0,0.5,0.5,1,7.907664966856125
16,0,5.0,1.0,1.0,0.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,6.469970703125,0.429503916449086,0.0,1.5,0.53,0.47,2,274530029296875.0
1956,0,1.0,0.0,1.0,0.0,0.0,12.0,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,6.46484375,0.938388625592417,0.0,4.0,0.64,0.36,1,237535156250000.0
1957,0,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,5.0,1.0,3.8,1.0,1.0,0.714285714285714,0.0,16.97509765625,0.945205479452055,0.0,0.0,0.51,0.49,1,158024902343750.0
1958,0,3.0,17.0,2.0,2.0,0.0,18.0,423.0,1.0,0.0,13.5,0.0,0.74,2.0,89.0,1.0,0.0,9.0,1.0,7.55,2.0,2.0,1.90909090909091,0.0,6.276123046875,0.790307548928239,0.0,0.0,0.5,0.5,2,1130723876953125.0
19,0,8.0,5.0,1.0,3.0,0.0,0.0,60.0,1.0,2.0,2.0,17.49199104309082,0.06,0.0,97.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,0.06662323173967383,0.0,17.0,0.49563838223632,0.0,6.0,0.5,0.5,2,15.44587910109953
23,0,7.0,1.0,1.0,0.0,0.0,4.0,244.0,1.0,3.0,8.0,30.0,0.35,1.0,87.0,2.0,0.0,17.0,2.0,6.21951219512195,1.0,1.0,1.2093023255814,0.0,6.4423828125,0.7753746043532737,0.0,4.0,0.5,0.5,2,301557617187500.0
1959,0,2.0,0.0,1.0,0.0,0.0,11.0,107.0,1.0,0.0,3.0,4.0,1.45,0.0,61.0,2.0,0.0,7.0,1.0,4.0,1.0,2.0,1.25,0.0,188.49560546875,0.733990147783251,0.0,1.0,0.5,0.5,1,31504394531250.0
1960,0,2.0,0.0,1.0,0.0,0.0,10.0,118.0,1.0,0.0,5.0,5.0,1.26,0.0,60.0,2.0,0.0,7.0,1.0,4.14285714285714,1.0,0.0,1.33333333333333,1.0,7.499267578125,0.905982905982906,0.0,1.0,0.56,0.44,1,265500732421875.0
