test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1
16,0,5.0,1.0,8.0,290.0,0.0,5.0,186.0,1.0,3.0,4.0,4.0,2.77,1.0,59.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,27.0,1.4,5.0,281.0,0.429503916449086,5.0,0.0,0.51,0.49
1956,0,1.0,0.0,1.0,28.0,0.0,12.0,107.0,1.0,0.0,4.0,4.0,21.69,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,244.0,0.938388625592417,0.0,4.0,0.52,0.48
1957,0,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,5.0,1.0,3.8,52.0,1.0,2.9,0.0,175.0,0.945205479452055,0.0,0.0,0.51,0.49
19,0,8.0,5.0,1.0,3.0,0.0,0.0,60.0,1.0,2.0,2.0,86.0,20.16,0.0,0.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,1.12621359223301,0.0,17.0,0.49563838223632,0.0,0.0,0.52,0.48
23,0,7.0,1.0,7.0,0.0,0.0,4.0,244.0,1.0,53.0,8.0,30.0,26.64,30.0,78.0,0.0,49.0,17.0,2.0,308.7,44.0,1.0,4.7,3.0,8343.0,1.0,0.0,8.0,0.51,0.49
1959,0,2.0,0.0,1.0,0.0,0.0,11.0,107.0,1.0,0.0,3.0,4.0,1.45,0.0,61.0,2.0,0.0,7.0,1.0,4.0,1.0,22.0,1.5,0.0,220.0,0.733990147783251,0.0,1.0,0.52,0.48
34,0,102.0,0.0,1.0,112.0,70.0,1.0,463.0,1.0,30.0,8.0,1.0,24.05,34.0,26.0,1.0,12.0,13.0,2.0,4.07441860465116,93.0,0.0,0.493087557603687,3.0,11.0,0.579288025889968,3.0,4.0,0.53,0.47
41,0,0.0,0.0,7.0,0.0,5.0,2.0,31.0,1.0,0.0,0.0,5.0,0.22,2.0,0.0,1.0,0.0,4.0,1.0,4.6,4.0,5.0,2.42857142857143,0.0,1.0,0.43010752688172,0.0,2.0,0.52,0.48
67,0,5.0,4.0,2.0,1.0,0.0,2.0,104.0,1.0,2.0,20.0,14.0,0.36,0.0,75.0,1.0,1.0,11.0,1.0,5.04,2.0,1.0,1.0,0.0,133.0,0.562780269058296,0.0,0.0,0.53,0.47
69,0,102.0,4.0,1.0,112.0,70.0,2.0,200.0,3.0,30.0,11.0,1.0,24.05,34.0,26.0,3.0,12.0,9.0,2.0,29.0555555555556,93.0,1.0,0.45,3.0,50.0,0.636531365313653,3.0,2.0,0.51,0.49
1963,0,1.0,0.0,1.0,0.0,0.0,13.0,125.0,1.0,3.0,6.0,33.0,1.54,0.0,78.0,2.0,0.0,5.0,1.0,3.42857142857143,1.0,1.0,1.0,0.0,237.0,0.991341991341991,0.0,1.0,0.51,0.49
