test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
1956,0,1.0,0.0,1.0,0.0,0.0,12.0,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,6.0,0.938388625592417,0.0,4.0,0.64,0.36,1,238000000000000.0,0.738434405866617
27,0,0.0,5.0,4.0,0.0,0.0,1.0,123.0,1.0,1.0,7.0,28.0,0.29,0.0,88.0,1.0,1.0,7.0,2.0,5.23255813953488,0.0,1.0,1.30952380952381,0.0,10.0,0.533261802575107,0.0,5.0,0.55,0.45,6,6000000000000.0,2.2237500758017044
129,0,0.0,0.0,2.0,0.0,1.0,1.0,123.0,1.0,4.0,7.0,15.0,0.39,0.0,92.0,1.0,0.0,12.0,2.0,5.23255813953488,0.0,1.0,2.11538461538462,0.0,18.0,0.75868544600939,0.0,4.0,0.5,0.5,10,47286361670147.555,2.761030233862104
160,0,3.0,0.0,2.0,6.0,0.0,4.0,122.0,1.0,10.0,11.0,0.0,0.79,1.0,84.0,1.0,0.0,5.0,1.0,5.75,2.0,1.0,1.8,0.0,0.0,0.838926174496644,0.0,5.0,0.57,0.43,3,2236067977499.7896,0.6520828916553528
171,0,153.0,1.0,2.0,4.0,6.0,13.0,2618.0,1.0,25.0,2.0,4.0,0.51,5.0,96.0,2.0,0.0,53.0,1.0,5.68965517241379,0.0,1.0,1.90625,0.0,6.0,0.993548387096774,0.0,12.0,0.5,0.5,9,118127050246757.61,3.3755795158973343
645,0,2.0,0.0,1.0,0.0,0.0,25.0,440.0,3.0,3.0,4.0,9.0,1.59,3.0,68.0,1.0,0.0,10.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.851990049751244,0.0,2.0,0.57,0.43,2,3.1622776601683795,1.1960731783369263
807,0,0.0,4.0,1.0,0.0,0.0,1.0,123.0,1.0,1.0,7.0,38.0,1.04,0.0,61.0,1.0,1.0,31.0,2.0,5.23255813953488,0.0,1.0,0.952380952380952,0.0,18.0,0.806930693069307,0.0,7.0,0.55,0.45,12,18973665961010.277,4.685949874547267
820,0,0.0,0.0,1.0,0.0,0.0,18.0,195.0,1.0,0.0,6.0,8.0,1.06,5.0,75.0,2.0,0.0,32.0,1.0,5.61538461538461,1.0,1.0,1.3125,0.0,28.0,0.980645161290323,0.0,2.0,0.57,0.43,9,21000000000000.0,1.8670063693618182
857,0,6.0,1.0,2.0,3.0,1.0,11.0,624.0,1.0,1.0,9.0,34.0,0.82,2.0,85.0,5.0,0.0,30.0,2.0,3.60869565217391,0.0,1.0,1.12,0.0,6.0,0.633886255924171,0.0,2.0,0.52,0.48,10,66196676653741.46,1.765790867980348
875,0,1.0,0.0,3.0,0.0,0.0,45.0,256.0,1.0,0.0,0.0,2.0,1.03,6.0,0.0,3.0,0.0,19.0,1.0,5.14285714285714,3.0,1.0,2.28571428571429,0.0,73.0,0.667883211678832,0.0,1.0,0.53,0.47,7,328010670558139.0,3.039191665173238
