test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
194,0,0.0,0.0,1.0,0.0,9.0,2.0,113.0,3.0,1.0,0.0,0.81,1.0,93.0,2.0,0.0,7.0,2.0,3.44444444444444,0.0,1.0,0.0,25.0,0.461538461538462,0.0,4.0,6.0,0.52,0.48
194,1,0.0,0.0,1.0,0.0,6.0,1.0,107.0,3.0,2.0,2.0,1.07,0.0,8.0,4.0,0.0,10.0,2.0,2.08333333333333,1.0,1.0,0.0,9.0,0.5,0.0,3.0,1.0,0.57,0.43
194,2,2.0,1.0,1.0,0.0,3.0,1.0,105.0,8.0,3.0,2.0,0.42,2.0,100.0,2.0,0.0,10.0,2.0,1.61538461538462,0.0,0.0,0.0,7.0,0.1,0.0,5.0,2.0,0.51,0.49
251,0,2.0,14.0,1.0,0.0,18.0,2.0,39.0,1.0,41.0,15.0,1.0,0.0,39.0,2.0,225.0,57.0,3.0,1.4,0.0,0.0,0.0,649.0,0.294117647058824,4.0,4.0,10.0,0.59,0.41
302,0,4.0,30.0,17.0,10.0,7.0,2.0,635.0,11.0,11.0,8.0,0.85,0.0,38.0,6.0,4.0,41.0,3.0,3.74285714285714,0.0,20.0,0.0,263.0,0.5,1.0,2.0,5.0,0.53,0.47
352,0,0.0,0.0,1.0,0.0,4.0,1.0,187.0,2.0,0.0,15.0,0.92,0.0,65.0,1.0,0.0,29.0,2.0,1.45454545454545,1.0,1.0,0.0,26.0,0.5,0.0,2.0,3.0,0.52,0.48
352,1,0.0,0.0,1.0,32.0,6.0,2.0,161.0,1.0,0.0,3.0,10.1,0.0,75.0,2.0,3.0,5.0,1.0,4.52380952380952,0.0,0.0,0.0,15.0,0.4,0.0,5.0,3.0,0.51,0.49
507,0,2.0,0.0,1.0,0.0,5.0,2.0,495.0,6.0,0.0,16.0,0.67,0.0,93.0,1.0,0.0,21.0,2.0,2.4,0.0,1.0,0.0,2.0,0.375,0.0,4.0,4.0,0.52,0.48
531,0,0.0,0.0,1.0,0.0,7.0,2.0,315.0,8.0,10.0,8.0,1.09,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,0.0,0.0,0.0,2.0,0.285714285714286,0.0,4.0,5.0,0.57,0.43
531,1,4.0,6.0,1.0,15.0,3.0,2.0,307.0,11.0,0.0,12.0,0.36,0.0,82.0,2.0,7.0,15.0,2.0,3.28169014084507,0.0,0.0,0.0,1008.0,1.0,0.0,2.0,6.0,0.53,0.47
1923,0,0.0,0.0,1.0,0.0,5.0,2.0,138.0,1.0,2.0,3.0,2.34,0.0,20.0,6.0,4.0,8.0,2.0,3.16666666666667,29.0,2.0,0.0,15.0,0.333333333333333,0.0,2.0,1.0,0.53,0.47
1956,0,3.0,0.0,1.0,0.0,4.0,2.0,204.0,4.0,1.0,13.0,0.68,30.0,87.0,1.0,1.0,9.0,2.0,15.1034482758621,0.0,1.0,2.0,78.0,0.7,0.0,4.0,5.0,0.53,0.47
1956,1,3.0,1.0,3.0,0.0,11.0,6.0,447.0,1.0,3.0,4.0,0.41,4.0,79.0,1.0,2.0,1.0,2.0,5.76923076923077,2.0,1.0,0.0,76.0,0.263157894736842,0.0,3.0,3.0,0.52,0.48
834,0,0.0,7.0,1.0,0.0,7.0,17.0,635.0,11.0,0.0,8.0,0.85,0.0,59.0,3.0,4.0,71.0,4.0,3.74285714285714,0.0,0.0,0.0,263.0,0.391304347826087,1.0,4.0,5.0,0.53,0.47
1291,0,3.0,0.0,1.0,0.0,4.0,2.0,204.0,4.0,1.0,3.0,0.68,0.0,87.0,1.0,1.0,4.0,2.0,15.1034482758621,0.0,1.0,0.0,78.0,0.153846153846154,0.0,4.0,5.0,0.61,0.39
30,0,2.0,0.0,1.0,0.0,5.0,2.0,495.0,6.0,0.0,16.0,0.67,0.0,85.0,1.0,0.0,4.0,2.0,2.4,0.0,1.0,0.0,8.0,0.375,0.0,4.0,4.0,0.51,0.49
30,1,0.0,5.0,1.0,2.0,11.0,1.0,479.0,7.0,7.0,19.0,1.08,0.0,100.0,6.0,3.0,20.0,1.0,2.12727272727273,0.0,0.0,0.0,6.0,0.428571428571429,0.0,2.0,4.0,0.53,0.47
2623,0,0.0,3.0,1.0,0.0,5.0,1.0,200.0,1.0,0.0,5.0,1.0,0.0,91.0,2.0,1.0,9.0,1.0,7.69642857142857,1.0,1.0,0.0,17.0,0.222222222222222,0.0,3.0,4.0,0.55,0.45
824,0,0.0,7.0,1.0,10.0,7.0,2.0,371.0,1.0,2.0,2.0,1.21,0.0,73.0,1.0,1.0,5.0,2.0,2.78723404255319,1.0,1.0,0.0,957.0,0.5,0.0,1.0,3.0,0.58,0.42
