test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.4998779892921448,0.734375,1.0,0.6430904491709944,0.35690955082900555,1,500122010707.855
78,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,849.0,7.0,21.0,62.0,0.75,0.0,97.0,1.0,2.0,0.498046875,9.0,5.14705882352941,0.0,0.0,0.0,0.5,0.527452745274527,4.0,0.6152170049465739,0.38478299505342606,2,500000000000.0
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,0.5,0.539735099337748,4.0,0.5308275551945894,0.4691724448054107,1,500000000000.0
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,4.5,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,0.0,1.0,0.0,0.4921875,0.442211055276382,4.0,0.509045409485111,0.490954590514889,2,35507812500000.0
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,1.498046875,3.0,3.64705882352941,1.0,0.0,0.0,0.0,0.566552901023891,3.0,0.7269349479594248,0.2730650520405752,1,3.8789805493714153
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,78.3505859375,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,53.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.642458100558659,5.0,0.5163593860787621,0.48364061392123786,1,93.52772292520923
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.2,0.0,75.0,1.0,0.0,8.499634861946106,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0,0.6995697331856261,0.30043026681437396,1,0.5059912107289182
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,12.496337890625,1.0,5.16666666666667,1.0,1.0,0.0,0.5,0.470715835140998,2.0,0.5111748272173542,0.48882517278264576,2,1500000000000.0
134,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,65.0,2.0,8.11940298507463,0.0,0.0,0.0,0.46142578125,0.408026755852843,5.0,0.84758361527542,0.15241638472457997,1,377538574218750.0
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,65.4921875,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,5.49609375,1.0,3.32142857142857,0.0,1.0,0.0,1.0,0.659147869674185,1.0,0.5097615891386353,0.49023841086136466,2,11.488331645459674
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,5.843300887533546,0.0,1.0,0.0,0.496826171875,0.547058823529412,3.0,0.5964940698748333,0.4035059301251666,2,36503173828125.0
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,121.0,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,1.0,2.0,3.92307692307692,1.0,1.0,0.0,0.498291015625,0.495867768595041,2.0,0.6477630612696533,0.35223693873034667,1,12501708984375.0
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,12.0,0.23,0.0,82.0,1.0,3.0,22.499757289886475,2.0,4.48275862068965,0.0,0.0,0.0,0.498291015625,0.326653306613226,2.0,0.5695676423921818,0.4304323576078181,2,12501708984375.0
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,22.0,2.0,2.75,0.0,0.0,0.0,0.4990234375,0.796190476190476,2.0,0.5096326178585018,0.4903673821414983,1,6500976562500.0
