,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
202,0,32,1,0,0,4,1,189,1,0,0,3.5,0,0,1,1,6,1,7.791666666666665,0,0,0,0,0.715277777777778,0
1866,0,0,1,0,0,0,2,21,1,2,0,0.14,0,0,1,2,5,2,2.25,0,1,0,169,0.605263157894737,0
1941,0,6,1,0,0,0,1,50,16,0,3,0.1,0,95,3,1,23,2,2.93650793650794,0,0,0,1,0.956591639871383,1
1940,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,
960,0,0,1,1,0,1,2,36,1,6,0,0.33,1,88,2,1,19,1,7.135714285714285,1,1,0,1,0.716763005780347,2
172,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,
1165,0,0,1,0,2,0,1,54,2,1,15.0,0.16,0,95,5,0,4,2,0.40454545454545454,0,0,0,0,0.757028112449799,2
805,,,,,,,,,,,,,,,,,,,,,,,,,
863,,,,,,,,,,,,,,,,,,,,,,,,,
873,2,1,2,1,0,0,3,43,4,2,26,0.1,1,90,2,0,18,2,0.40454545454545454,0,1,0,0,0.577249575551783,2
927,,,,,,,,,,,,,,,,,,,,,,,,,
990,0,0,1,4,4,4,2,57,1,0,6,0.59,0,91,1,0,0,1,7.791666666666665,1,1,0,4,0.52,1
929,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,4,1,4,0,8,2,1049,6,22,23,1.37,0,95,1,1,53,6,7.135714285714285,0,0,0,0,0.642458100558659,5
792,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,0,1,1,1,0,2,24,2,23,2.5,0.05,0,88,3,0,4.0,2,7.791666666666665,0,1,0,37,0.547058823529412,3
432,4,6,1,18,0,0,2,56,3,3,19,0.09,0,94,1,1,13,2,7.791666666666665,0,1,0,2,0.749670619235837,3
795,4,1,1,2,0,1,2,108,7,4,15.0,0.2,0,92,1,0,31,5,7.791666666666665,0,0,0,0,0.556005398110661,5
1942,20,1,1,9,0,0,2,155,30,11,53,0.13,0,100,2,2,35,2,7.135714285714285,0,0,0,140,0.969341161121983,2
85,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,
1023,1,0,1,0,0,0,2,39,2,0,3,0.65,0,74,2,0,18.5,4,1.3,0,1,0,0,0.342105263157895,0
267,,,,,,,,,,,,,,,,,,,,,,,,,
809,2,0,2,2,0,0,3,35,1,4,4,0.1,0,80,3,0,19,2,4.625,0,0,0,0,0.514705882352941,1
916,0,4,1,3,0,0,3,21,1,0,8,0.15,1,77,1,0,17,1,7.791666666666665,1,1,0,68,0.621890547263682,0
268,,,,,,,,,,,,,,,,,,,,,,,,,
1014,3,0,1,0,15,1,3,43,2,0,2,0.16,0,53.0,1,0,4.0,1,5.78260869565217,0,1,0,0,0.571428571428571,1
275,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,12,1,1,0,0,2,29,1,1,5,0.2,0,44.0,1,0,10,2,3.05882352941176,1,1,0,0,0.533980582524272,2
263,0,0,1,2,0,0,2,29,3,0,6,0.32,0,44.0,1,0,9,2,2.63636363636364,0,1,0,0,0.547445255474453,2
299,,,,,,,,,,,,,,,,,,,,,,,,,
962,1,0,1,3,0,0,2,45,1,1,7.0,0.18,0,89,1,1,8,3,2.46428571428571,0,0,0,6,0.681159420289855,1
909,0,0,1,1,0,1,3,53,4,16,4.5,0.11,3,90,1,0,4.0,2,13.0,3,1,0,6,0.846645367412141,3
16,0,0,1,0,1,2,2,58,1,3,5,0.51,0,85,2,0,2,1,0.40454545454545454,0,1,0,3,0.734375,1
302,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2,0,1,1,2,0,2,22,8,3,9,0.09,1,81,4,0,5,2,2.41176470588235,0,1,0,92,0.632786885245902,0
147,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,1,1,1,0,0,1,27,7,0,12,0.18,1,75,2,0,5,2,2.83333333333333,1,2,0,66,1.0,0
1950,,,,,,,,,,,,,,,,,,,,,,,,,
773,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,0,2,1,0,1,4,34,1,4,4,0.14,1,81,2,1,26,1,7.135714285714285,0,1,0,0,0.586538461538462,2
729,0,0,1,0,0,1,2,44,1,0,1,0.32,1,53.0,2,0,4.0,2,2.1875,0,0,0,4,0.506787330316742,1
1535,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,
2032,0,0,1,1,0,0,5,17,1,1,6,0.15,5,40.5,2,0,0,1,0.488888888888889,1,2,0,11,1.0,0
104,0,0,1,2,0,0,2,38,1,7,2,0.1,0,87,2,0,0.5,1,7.135714285714285,1,1,0,2,0.470715835140998,2
282,,,,,,,,,,,,,,,,,,,,,,,,,
1061,0,0,1,1,0,0,1,19,1,11,14,0.14,0,87,3,3,4,1,7.135714285714285,1,0,0,0,0.790960451977401,0
546,,,,,,,,,,,,,,,,,,,,,,,,,
1996,0,0,1,0,0,0,1,21,2,3,1,0.36,1,85.5,2,2,8,2,0.625,0,1,0,4,1.0,0
854,,,,,,,,,,,,,,,,,,,,,,,,,
