,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
78,,,,,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,12,1,1,0,0,2,29,1,1,5,0.2,0,75,1,0,1,2,3.05882352941176,1,1,0,0,0.533980582524272,2
548,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
795,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,
854,,,,,,,,,,,,,,,,,,,,,,,,,
861,0,0,1,1,0,0,2,23,1,0,4,0.35,0,65,2,0,0,2,2.75,1,1,0,16,0.682692307692308,0
172,4,0,1,2,4,2,2,121,2,3,16,0.38,0,92,1,0,1,2,3.92307692307692,1,1,0,0,0.495867768595041,2
863,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,
916,0,4,1,3,0,0,3,21,1,0,8,0.15,1,77,1,0,0,1,4.18181818181818,1,1,0,68,0.621890547263682,0
192,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,
927,,,,,,,,,,,,,,,,,,,,,,,,,
929,1,0,1,1,0,1,2,108,2,5,21,0.35,0,93,4,4,15,2,2.06818181818182,0,0,0,0,0.404907975460123,2
213,0,0,1,0,0,0,1,21,1,0,10,0.17,0,69,3,0,0,1,9.93333333333333,1,1,0,1,0.44578313253012,0
934,,,,,,,,,,,,,,,,,,,,,,,,,
960,0,0,1,1,0,1,2,36,1,6,0,0.33,1,88,2,1,19,1,3.77777777777778,1,1,0,0,0.716763005780347,2
267,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,
263,0,0,1,2,0,0,2,29,3,0,6,0.32,0,72,1,0,0,2,2.63636363636364,0,1,0,0,0.547445255474453,2
962,1,0,1,3,0,0,2,45,1,1,15,0.18,0,89,1,1,8,3,2.46428571428571,0,0,0,0,0.681159420289855,1
972,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,,,,,,,,,,,,,,,,,,,,,,,
1950,0,0,1,2,0,1,1,22,3,2,3,0.21,2,46,5,0,4,2,2.75,1,2,0,0,0.577181208053691,1
284,,,,,,,,,,,,,,,,,,,,,,,,,
1970,0,1,1,2,0,0,1,18,4,0,6,0.17,0,69,3,0,0,3,2.4,0,1,0,4,0.986486486486487,1
1165,,,,,,,,,,,,,,,,,,,,,,,,,
1255,0,0,1,2,0,0,1,23,2,9,10,0.14,0,79,2,2,4,2,3.07142857142857,0,1,0,0,0.52803738317757,3
1996,0,0,1,0,0,0,1,21,2,3,1,0.36,1,25,2,2,1,2,0.625,0,1,0,4,1.0,0
1998,2,1,1,1,0,0,1,27,7,0,12,0.18,1,75,2,0,0,2,2.83333333333333,1,2,0,66,1.0,0
2004,2,0,1,1,2,0,2,22,8,3,9,0.09,1,81,4,0,11,2,2.41176470588235,0,1,0,0,0.632786885245902,0
299,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,
1535,3,1,1,3,0,5,2,140,6,0,1,0.41,5,79,5,2,10,2,1.91304347826087,1,1,0,0,0.514469453376206,1
2032,0,0,1,1,0,0,5,17,1,1,6,0.15,5,61,2,0,8,1,2.66666666666667,1,2,0,0,1.0,0
1732,5,0,1,5,2,2,3,49,3,4,13,0.21,1,84,1,0,8,2,4.25,0,0,0,0,0.420886075949367,3
2042,,,,,,,,,,,,,,,,,,,,,,,,,
2064,1,0,2,1,0,2,4,29,1,0,5,0.39,2,45,1,0,0,1,4.75,3,2,0,11,0.816666666666667,0
302,,,,,,,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,
755,1,0,1,2,0,0,3,55,3,5,11,0.13,0,2,2,0,23,2,2.83333333333333,1,1,0,0,0.443181818181818,2
773,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,,,,,,,,,,
1941,0,6,1,0,0,0,1,50,16,0,3,0.1,0,95,3,1,3,2,2.93650793650794,0,0,0,1,0.956591639871383,3
909,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,
1061,0,0,1,1,0,0,1,19,1,11,2,0.14,0,87,3,3,4,1,3.6875,1,0,0,0,0.790960451977401,0
1956,1,0,1,12,0,0,2,51,2,6,7,0.19,1,85,2,0,2,2,3.33333333333333,0,2,0,3,1.0,0
1744,,,,,,,,,,,,,,,,,,,,,,,,,
1866,0,0,1,0,0,0,2,21,1,2,0,0.14,0,0,1,2,2,2,2.25,0,1,0,169,0.605263157894737,0
283,3,0,2,1,0,1,4,34,1,4,4,0.14,1,81,2,1,0,1,3.92857142857143,0,1,0,0,0.586538461538462,2
873,2,1,2,1,0,0,3,43,4,2,26,0.1,1,90,2,0,0,2,2.9,0,1,0,0,0.577249575551783,5
1467,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,,,,,,
928,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1,0,2,0,0,2,3,64,6,1,22,0.21,2,61,2,0,11,2,6.73333333333333,0,1,0,1,0.97624703087886,1
80,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,1,0,1,2,2,22.0,1,3,5,0.51,0,85,2,0,2,1,2.0,0,1,0,3,0.734375,1
86,0,0,1,0,0,4,2,23,1,7,7,0.79,0,78,2,2,13,3,3.64705882352941,1,0,0,0,0.566552901023891,3
