test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
7,0,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,3.0,0.6875,0.0,2.0,2.0,0.9759077,0.024092313,1
185,0,1.0,0.0,1.0,1.0,6.0,2.0,114.0,1.0,9.0,0.0,0.73,1.0,96.0,3.0,9.0,15.0,1.0,2.69230769230769,1.0,0.0,0.0,3.0,0.3,0.0,3.0,6.0,0.9675575,0.0324425,1
187,0,7.0,0.0,1.0,0.0,4.0,2.0,323.0,11.0,4.0,13.0,0.54,1.0,100.0,5.0,1.0,19.0,2.0,3.5,0.0,0.0,0.0,3.0,0.380952380952381,3.0,5.0,5.0,0.7678503,0.23214974,1
238,0,2.0,14.0,1.0,0.0,7.0,2.0,1660.0,14.0,41.0,15.0,1.0,0.0,100.0,2.0,34.0,57.0,3.0,10.3222222222222,0.0,0.0,0.0,3.0,0.294117647058824,2.0,4.0,8.0,0.63489395,0.36510605,1
264,0,0.0,3.0,1.0,0.0,5.0,1.0,362.0,1.0,0.0,10.0,1.0,0.0,91.0,2.0,1.0,9.0,1.0,1.8,1.0,1.0,0.0,17.0,0.222222222222222,0.0,3.0,4.0,0.78681576,0.21318422,1
279,0,0.0,0.0,1.0,0.0,7.0,2.0,99.0,2.0,8.0,3.0,1.19,0.0,79.0,6.0,2.0,12.0,1.0,3.88,0.0,1.0,0.0,0.0,0.333333333333333,0.0,5.0,4.0,0.50083315,0.49916682,1
291,0,7.0,0.0,1.0,0.0,6.0,2.0,62.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0,0.56621,0.43379003,1
292,0,6.0,0.0,1.0,2.0,6.0,2.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,4.58823529411765,0.0,0.0,0.0,3.0,0.37037037037037,3.0,4.0,6.0,0.5914826,0.40851742,1
365,0,0.0,0.0,1.0,0.0,7.0,2.0,315.0,8.0,10.0,8.0,1.09,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,0.0,0.0,0.0,13.0,0.285714285714286,0.0,4.0,5.0,0.5710645,0.42893553,1
371,0,3.0,0.0,1.0,0.0,6.0,1.0,62.0,2.0,5.0,7.0,1.69,0.0,84.0,6.0,1.0,6.0,1.0,2.38888888888889,0.0,1.0,0.0,30.0,0.4,0.0,5.0,2.0,0.844764,0.15523604,1
396,0,20.0,1.0,1.0,1.0,5.0,2.0,520.0,17.0,14.0,17.0,0.66,1.0,100.0,6.0,10.0,11.0,3.0,3.32051282051282,0.0,0.0,0.0,3.0,0.454545454545455,0.0,3.0,3.0,0.9486006,0.05139941,1
416,0,1.0,1.0,1.0,0.0,6.0,2.0,162.0,2.0,10.0,4.0,0.74,0.0,95.0,4.0,238.0,20.0,2.0,3.25,0.0,1.0,0.0,3.0,0.285714285714286,0.0,4.0,2.0,0.7929374,0.2070626,1
468,0,0.0,0.0,1.0,0.0,3.0,1.0,82.0,1.0,1.0,1.0,2.73,0.0,87.0,5.0,4.0,1.0,1.0,5.0,0.0,2.0,0.0,13.0,0.428571428571429,0.0,1.0,2.0,0.513801,0.486199,1
493,0,12.0,5.0,2.0,0.0,6.0,3.0,434.0,7.0,6.0,4.0,0.48,1.0,92.0,2.0,3.0,20.0,2.0,16.051724137931,0.0,1.0,0.0,0.0,0.227272727272727,1.0,4.0,5.0,0.6691675,0.33083248,1
515,0,8.0,7.0,1.0,0.0,7.0,2.0,635.0,11.0,11.0,8.0,0.85,0.0,94.0,3.0,4.0,30.0,3.0,3.74285714285714,0.0,0.0,0.0,3.0,0.391304347826087,1.0,4.0,5.0,0.60903645,0.39096355,1
516,0,2.0,1.0,1.0,1.0,4.0,1.0,141.0,3.0,2.0,3.0,0.84,0.0,92.0,1.0,2.0,8.0,3.0,2.73076923076923,0.0,0.0,0.0,3.0,0.333333333333333,0.0,3.0,2.0,0.7715708,0.22842917,1
534,0,2.0,0.0,1.0,0.0,5.0,2.0,99.0,6.0,0.0,16.0,0.67,0.0,93.0,1.0,0.0,21.0,2.0,2.4,0.0,1.0,0.0,8.0,0.375,0.0,4.0,4.0,0.597991,0.40200898,1
538,0,3.0,0.0,1.0,0.0,4.0,2.0,204.0,4.0,1.0,13.0,0.68,0.0,87.0,1.0,1.0,28.0,2.0,15.1034482758621,0.0,1.0,0.0,3.0,0.153846153846154,0.0,4.0,5.0,0.6569326,0.34306744,1
549,0,0.0,0.0,2.0,1.0,9.0,3.0,62.0,4.0,10.0,4.0,0.63,1.0,92.0,1.0,1.0,29.0,3.0,3.3125,1.0,1.0,0.0,359.0,0.346153846153846,3.0,5.0,3.0,0.9127308,0.087269165,1
563,0,0.0,0.0,1.0,0.0,9.0,2.0,113.0,3.0,1.0,0.0,0.81,1.0,93.0,2.0,0.0,22.0,2.0,3.44444444444444,0.0,1.0,0.0,3.0,0.461538461538462,0.0,4.0,6.0,0.975075,0.02492498,1
569,0,3.0,1.0,3.0,0.0,11.0,6.0,192.0,1.0,3.0,4.0,0.41,4.0,79.0,1.0,2.0,28.0,2.0,5.76923076923077,2.0,1.0,0.0,0.0,0.263157894736842,0.0,3.0,3.0,0.71765256,0.2823474,1
578,0,0.0,0.0,1.0,0.0,5.0,1.0,191.0,1.0,0.0,12.0,0.99,0.0,93.0,1.0,0.0,1.0,2.0,1.8,1.0,1.0,0.0,8.0,0.333333333333333,0.0,2.0,5.0,0.8619249,0.13807508,1
