Antecedent,Antecedent Coverage %,Confidence,Lift
CountDeclInstanceVariable <= -0.21,0.10536,0.99576,1.10367
CountClassBase <= 0.86,0.1308,0.98976,1.09701
MAJOR_LINE <= -0.078,0.08705,0.98974,1.09699
CountClassCoupled <= 0.04,0.15937,0.9888,1.09594
CountDeclMethodPublic <= 0.7,0.17813,0.98747,1.09447
RatioCommentToCode > 1.805,0.19777,0.98194,1.08835
PercentLackOfCohesion <= 3.5,0.22813,0.97652,1.08233
1.075 < RatioCommentToCode <= 1.805,0.1942,0.97471,1.08033
OWN_LINE > 0.976,0.2067,0.97192,1.07724
-0.21 < CountDeclInstanceVariable <= 0.67,0.31518,0.97167,1.07696
