test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
19,0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,3.4998779892921448,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,0.0,0.0,0.5433814379570198,0.45661856204298024,1,0.3373276748330756
20,0,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,0.8425466652684563,1.0,0.0,2.499878168106079,0.5019274551430235,0.4980725448569765,2,6.773526453193429
25,0,3.0,17.0,2.0,2.0,0.0,18.0,93.4482421875,1.0,0.0,18.0,0.0,0.73,89.0,1.0,0.0,11.0,1.0,11.35,2.0,2.0,1.90909090909091,0.0,0.0,0.793900184842883,0.0,0.0,0.0,0.5398156897459467,0.4601843102540533,1,6.007557173345839
30,0,4.0,3.0,1.0,0.0,0.0,4.0,231.0,1.0,2.0,6.0,30.0,0.33,84.0,2.0,0.0,16.0,2.0,7.1025641025641,1.0,1.0,1.21951219512195,0.0,27.0,0.9994708739306084,0.666666666666667,0.0,1.5,0.5396035664450581,0.46039643355494186,2,10.970942329629974
41,0,12.0,9.0,1.0,9.0,0.0,2.0,344.4935985803604,1.0,35.0,36.0,94.0,0.28,96.0,1.0,1.0,36.0,3.0,5.4,0.0,0.0,0.907894736842105,0.0,10.0,0.98193461397827,1.0,0.0,8.0,0.5068816908866822,0.4931183091133178,2,8.855784543278533
44,0,25.0,19.0,2.0,13.0,0.0,1.0,239.0,1.0,6.0,28.0,35.0,0.24,94.0,1.0,1.0,29.0,1.0,8.36470588235294,0.0,0.0,0.632183908045977,0.0,0.0,0.592727272727273,0.0,0.0,1.498779296875,0.5729442386785075,0.42705576132149253,1,3.7105225300966476
59,0,0.0,8.0,1.0,9.0,1.0,4.0,156.0,1.0,8.0,9.0,8.0,0.8,94.0,1.0,2.0,9.0,2.0,7.75,0.0,0.0,0.615384615384615,0.0,2.0,0.8224007383318441,1.0,0.0,3.0,0.500636977489133,0.49936302251086695,1,5.860536656249443
60,0,0.0,2.0,1.0,0.0,0.0,1.0,87.0,1.0,3.0,3.0,41.0,0.2,64.0,1.0,2.0,14.0,2.0,5.65217391304348,0.0,1.0,1.10416666666667,0.0,0.0,0.6731387380826274,0.0,0.0,4.0,0.539425375250725,0.4605746247492751,1,3.651239216509522
67,0,25.0,24.0,1.0,22.0,2.0,3.0,103.44140625,2.0,4.0,12.0,77.0,0.25,93.0,2.0,2.0,37.0,3.0,7.99230769230769,0.0,1.0,1.11278195488722,0.0,0.0,0.9995090257396391,0.0,0.0,9.0,0.5137627081179568,0.48623729188204323,2,12.930357828159732
71,0,76.0,12.0,1.0,29.0,0.0,2.0,256.37109375,1.0,16.0,53.0,206.0,0.23,96.0,1.0,1.0,40.0,3.0,7.35161290322581,0.0,0.0,1.38461538461538,0.0,0.0,0.9818303620512154,0.0,0.0,7.0,0.5028303496071398,0.49716965039286026,2,16.97970665224215
