,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,1,0,1,0,1,1,25,1,0,0,1,0.96,0,0,0,13,1,1.5,1,2,1.0,0,6,0.859375,0.75,0,2
2487,0,0,1,2,1,5,49,1,0,0,4,0.88,75,0,0,3,1,2.25,2,2,0.833333333333333,0,0,0.736842105263158,0.0,0,0
203,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,7,0,1,8,2,6,209,4,0,4,15,0.42,91,0,0,9,2,3.13636363636364,0,2,1.14814814814815,0,0,0.578814627994956,0.0,0,0
1717,3,0,2,3,3,3,79,4,1,0,11,0.22,83,4,0,9,2,1.46666666666667,0,1,1.15,0,1,0.859405940594059,0.5,0,0
1730,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,25,19,2,13,0,1,239,1,6,28,35,0.24,94,1,1,29,1,8.36470588235294,0,0,0.632183908045977,0,0,0.592727272727273,0.0,0,0
120,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,30,13,1,0,0,4,428,1,9,13,5,0.54,93,0,1,23,1,5.17543859649123,1,1,1.11864406779661,0,0,0.630637079455977,0.0,0,0
145,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,0,0,1,23,0,6,76,1,0,0,6,2.05,100,0,1,2,0,2.66666666666667,0,0,0.111111111111111,0,0,0.594202898550725,0.0,0,0
209,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,0,1,13,3,9,194,3,4,3,2,0.73,80,1,0,1,2,5.4,0,1,2.28571428571429,0,49,0.84394250513347,0.0,0,0
254,0,0,1,0,0,8,246,1,0,6,27,0.88,59,1,0,5,3,5.03703703703704,0,1,0.586206896551724,0,0,0.547169811320755,0.0,0,0
287,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,6,2,3,2,0,11,228,1,0,11,6,0.65,69,1,0,8,1,6.71428571428571,2,1,2.5625,0,152,0.9258114374034,1.0,0,2
668,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,0,4,1,4,0,4,257,1,0,0,28,3.62,100,1,2,13,1,1.5,0,0,0.0,0,0,0.593516209476309,0.0,0,0
955,7,1,2,3,1,11,311,1,1,11,15,0.78,86,0,0,34,1,3.83333333333333,0,1,1.15384615384615,0,43,0.858866103739445,1.0,0,2
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,1,0,1,0,0,9,68,1,1,4,3,0.37,44,4,0,17,1,6.6,3,3,2.71428571428571,0,0,0.972508591065292,0.0,0,0
739,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,,,,,,,
