"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'CountClassCoupled <= 1.35'","b'target = 0'",0.20625,462,0.20402,457,0.98918,0.03699,1.22148,4.48167e-40,0.80982,1814
"b'000001'","b'MAJOR_LINE <= -0.05'","b'target = 0'",0.10759,241,0.10536,236,0.97925,0.01823,1.20922,3.06242e-17,0.80982,1814
"b'000002'","b'Del_lines <= -27'","b'target = 0'",0.07277,163,0.07098,159,0.97546,0.01205,1.20454,3.67696e-11,0.80982,1814
"b'000003'","b'OWN_COMMIT > 1'","b'target = 0'",0.10313,231,0.09866,221,0.95671,0.01515,1.18138,6.8472e-12,0.80982,1814
"b'000004'","b'1.35 < CountClassCoupled <= 4.3'","b'target = 0'",0.20313,455,0.19375,434,0.95385,0.02926,1.17785,7.36471e-23,0.80982,1814
"b'000005'","b'-27 < Del_lines <= 5'","b'target = 0'",0.42009,941,0.39821,892,0.94793,0.05802,1.17054,1.1051e-51,0.80982,1814
"b'000006'","b'MINOR_LINE <= 0.94'","b'target = 0'",0.09821,220,0.09286,208,0.94545,0.01332,1.16749,1.25226e-09,0.80982,1814
"b'000007'","b'CountOutput_Mean <= 1.78'","b'target = 0'",0.19911,446,0.18795,421,0.94395,0.02671,1.16562,3.79739e-19,0.80982,1814
"b'000008'","b'RatioCommentToCode > 1.64'","b'target = 0'",0.19777,443,0.18661,418,0.94357,0.02645,1.16515,6.82916e-19,0.80982,1814
"b'000009'","b'AvgLineComment <= 0.08'","b'target = 0'",0.22455,503,0.21161,474,0.94235,0.02976,1.16365,2.50735e-21,0.80982,1814
