,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
662,2,0,1,0,2,0,79,23,0,2,0.16,0,14.5,33,4,0,10.5,2,2.62903225806452,0,4.83870967741935,2,1,0.325581395348837,0,0,0.0,0,1,2
683,0,0,2,0,7,0,36,2,0,0,0.31,0,1,0,1,0,9.0,2,3.375,2,7.625,2,1,1.54545454545455,0,5.5,0.5,3,3,2
468,1,0,1,4,37,0,57,2,1,7,0.12,0,11,93,2,0,9.0,2,3.33333333333333,1,6.10416666666667,1,1,0.842105263157895,0,5.5,0.666666666666667,0,4,1
603,3,2,2,0,1,2,86,3,1,4,0.28,1,15,62,1,0,9.0,2,3.4375,0,2.4,1,1,1.45,0,5.5,0.666666666666667,0,4,2
702,3,0,1,13,17,0,84,2,2,2,0.12,1,45.0,7.0,3,0,10.5,2,3.08219178082192,0,5.64383561643836,1,1,0.552631578947368,0,3,0.8,0,5,1
649,6,3,1,3,29,0,46,11.0,0,4,0.12,0,17,100,3,0,10.0,2,2.67391304347826,0,4.89130434782609,1,1,0.459016393442623,0,6.0,0.25,0,4,1
656,6.0,1,2,2,45,2,259,5,3,2,0.21,2,33,96,4,1,6.5,2,4.02564102564103,0,8.28205128205128,1,1,1.11904761904762,0,3.5,0.666666666666667,1,4,0
638,8,4,1,3,5,3,612,4,17,7,0.81,0,44.0,98,1,1,6.5,8,15.9015151515152,0,4.09848484848485,0,1,0.467153284671533,0,16.0,0.75,0,2,0
660,2,0,1,1,6,2,174,2,1,1,0.31,0,51,94,4,0,10.5,2,6.96491228070175,0,5.28070175438596,1,1,0.683333333333333,0,5.5,0.352941176470588,0,4,2
270,6,0,1,3,7,0,70,3,0,31,0.13,1,52,96,1,0,10.5,3,5.72881355932203,1,2.4,1,1,0.333333333333333,0,5.5,1.0,0,1,2
542,13.0,0,2,5,50,1,137,4,0,3,0.14,1,11,97,1,0,18.5,2,5.0655737704918,0,8.60655737704918,1,1,0.959459459459459,3,385,0.906976744186046,2,3,0
496,2.5,0,1,22,1,2,216,2,7,10,0.19,2,14.0,95,2,1,10.5,2,7.76363636363636,2,7.61818181818182,1,1,1.22413793103448,0,1068,1.0,0,1,1
640,0,1,2,4,13,1,163,1,0,1,0.25,0,32.5,88,5,0,4.5,1,4.36111111111111,0,5.76388888888889,1,1,0.810810810810811,0,11,0.555555555555556,0,6,0
669,8,0,1,1,6.5,1,174,8,0,0,0.15,1,10,100,4,5,10.5,2,3.71428571428571,0,6.49206349206349,1,1,0.651851851851852,0,9.0,0.342857142857143,0,6,2
539,9,0,1,1,11,0,18,3,1,2,0.05,1,15.5,86,3,3,8.5,2,4.45945945945946,0,5.83783783783784,1,1,0.829268292682927,0,14.0,1.0,2,2,11.0
551,4.0,0,1,2,7,0,68,1,2,5,0.12,0,29.0,87,5,0,10.5,1,5.015625,0,5.40625,1,1,0.742424242424242,0,3.5,0.833333333333333,0,4,2
696,2.5,2,2,3,14,0,90,5,0,14,0.14,0,32.5,90,3,0,2.5,2,3.3125,0,3.85,0,1,0.674418604651163,0,48,1.0,0,1,2
552,2,0,2,2,9,0,43,2,3,1,0.18,0,4.0,61.5,3,2,9.0,2,4.12121212121212,0,4.09090909090909,1,1,0.5,0,5.5,1.0,0,3,2
680,2,1,1,6,29,2,261,4,10,0,0.43,0,14.5,100,3,5,6.5,2,7.5049504950495,0,3.63366336633663,1,1,0.4,0,24,0.428571428571429,0,5,3
625,0,0,1,7.0,24.5,1,555,1,2,4,0.14,0,8,99,1,0,10.5,2,4.66835443037975,1,4.31645569620253,1,1,0.183879093198992,0,21.0,0.666666666666667,0,2,0
817,8.0,1,4,15,22,0,56,0,0,8,0.09,1,13,92,1,2,6.0,2,5.37142857142857,1,3.71428571428571,1,1,1.47619047619048,0,1.0,0.538461538461538,0,3,1
685,0,0,1,1,4,0,53,2,0,4,0.28,1,18,77,3,0,10.5,2,6.22727272727273,0,0.875,1,1,0.48,0,5.5,0.727272727272727,0,3,2
567,5.0,0,1,2,6.5,0,71,2,0,1,0.05,0,3,100,2,0,8.5,1,5.59656652360515,0,3.90557939914163,1,1,0.48728813559322,0,3.5,0.607142857142857,0,2,0
643,7,0,1,5,9,1,192,9,6,9.0,0.18,0,38.0,96,4,3,4.5,2,6.71074380165289,0,4.41322314049587,1,1,0.778625954198473,0,8.0,0.8125,3,3,0
653,6,3,1,1,4.5,0,39,2,3,6,0.13,0,21,89,3,0,2.5,2,6.60416666666667,1,4.60416666666667,2,1,0.385964912280702,0,56,0.75,0,1,0.0
665,8.0,1,2,37,0,0,86,5,3,65,0.07,0,26.5,100,1,7,13.0,2,4.26271186440678,0,2.99152542372881,1,0,0.524193548387097,0,124,0.53125,0,1,0
256,8,0,1,0,0,0,171,7.0,14,2.5,0.08,1,8.5,93,1,2,2.5,2,5.80645161290323,0,5.62672811059908,0,1,0.280172413793103,0,7.0,0.821428571428571,0,1,1
547,8.0,38,1,14,21,0,157,22,2,45,0.1,0,55.0,98,4,4,2.5,2,3.13142857142857,0,5.17142857142857,0,0,0.722222222222222,0,98.0,1.0,0,5,0
652,5,0,1,0,6.5,0,38,54,0,9.0,0.03,1,55.0,16,1,0,10.5,2,4.55474452554745,1,5.47445255474453,2,1,0.682291666666667,0,5.5,0.8,0,5,1
635,25,4.5,1,3,12,0,575,8,0,187,0.21,0,20.5,100,2,4,14.5,2,13.8152866242038,0,2.92356687898089,0,1,0.261954261954262,0,19.0,0.666666666666667,4,4,0
637,11.0,0,2,5,29,1,461,12,0,6,0.15,0,290.0,85,3,1,2.5,2,6.05956112852665,0,5.16300940438872,1,1,0.903614457831325,0,8.0,0.314285714285714,0,6,3
853,29.0,4,2,13,30,1,161,4.5,0,54,0.16,0,54,100,2,5,0.5,2,4.15476190476191,0,4.5,0,0,1.13,0,3.5,0.392857142857143,0,3,0
778,2,0,2,6,2,1,189,12.0,29,4.5,0.21,1,14.5,91,2,5,10.5,2,4.43243243243243,0,5.47297297297297,0,0,1.13636363636364,0,240,0.321428571428571,0,3,0
823,6.0,0,2,4,4,2,306,3,0,12,0.28,1,14.5,87,2,0,2.5,3,3.94117647058824,0,5.37647058823529,0,1,1.30337078651685,0,6.0,0.588235294117647,0,4,0
692,7.0,20,2,9,44,0,403,7,3,15,0.07,0,55.0,100,3,0,6.5,2,5.50619469026549,0,6.04424778761062,1,0,0.830715532286213,0,6.0,0.346938775510204,4,2,0
474,1,1,1,1,5,0,33,2,0,0,0.26,0,4,87,3,1,16,2,4.11111111111111,2,7.0,2,1,0.75,0,1,1.0,0,3,0
515,1,0,1,0,0,1,145,3,0,13,1.03,0,21,100,1,0,4,1,3.76190476190476,0,3.33333333333333,1,0,0.52,0,145,0.0,0,3,4
602,1,0,1,0,9,0,43,10,1,4,0.11,0,33,60,4,1,11,2,2.95238095238095,0,4.71428571428571,2,1,0.679245283018868,0,16.0,0.5,0,7,4
477,3,19,1,8,9,0,40,7,3,10,0.09,0,53,100,5,2,23,4,2.69354838709677,0,3.37096774193548,0,1,0.414285714285714,0,19,0.454545454545455,0,4,0
668,3,0,1,4,34,0,45,18,4,2,0.07,1,20,100,4,2,37,2,2.77777777777778,0,6.37037037037037,1,1,0.849315068493151,0,16.0,0.739130434782609,0,1,0
675,24,0,1,10,9,1,538,2,23,26,0.25,0,268.0,100,3,12.0,12.5,2,6.79061371841155,0,4.57039711191336,1,1,0.693103448275862,0,14.0,0.933333333333333,0,6,9
689,5.0,17,2,11,56,0,155,3,0,7,0.09,0,2.5,100,3,0,0.5,3,5.73015873015873,0,6.31746031746032,1,0,1.0530303030303,0,156,1.0,0,3,0
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
