,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,0,0,2,0,7,0,36,2,0,0,0.31,0,1,0,1,0,15,2,3.375,2,7.625,2,1,1.54545454545455,0,44,0.5,0,4,0
653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,20,2,2,3,14,0,90,5,0,14,0.14,0,66,90,3,0,16,2,3.3125,0,3.85,0,1,0.674418604651163,0,48,1.0,0,6,0
817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,9,0,1,1,11,0,18,3,1,2,0.05,1,26,86,3,3,1,2,4.45945945945946,0,5.83783783783784,1,1,0.829268292682927,0,47,1.0,0,2,0
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,6,3,1,4,29,0,46,14,0,4,0.12,0,17,100,3,0,16,2,2.67391304347826,0,4.89130434782609,1,1,0.459016393442623,0,23.0,0.25,0,4,0
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,8,0,1,1,116,1,174,8,0,0,0.15,1,10,100,4,5,60,2,3.71428571428571,0,6.49206349206349,1,1,0.651851851851852,0,24.0,0.342857142857143,0,6,0
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
