test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
256,0,8.0,0.0,1.0,0.0,0.0,0.0,171.0,14.0,14.0,15.0,0.08,1.0,217.0,93.0,1.0,2.0,13.4921875,2.0,1.1537665910618282,0.0,5.62672811059908,0.0,1.0,0.280172413793103,0.0,145.0,0.821428571428571,0.0,1.0,1.0,0.5177762632079204,0.48222373679207964,2,8.724505460369235
270,0,6.0,0.0,1.0,3.5,7.0,0.0,70.0,3.0,0.0,31.0,0.13,1.0,52.0,96.0,1.0,0.0,24.0,3.0,5.72881355932203,1.0,1.8712592690677976,1.0,1.0,0.333333333333333,0.0,45.0,1.0,0.0,1.0,2.0,0.5187407342096766,0.4812592657903234,2,14500000000000.0
468,0,1.0,0.0,1.0,4.0,37.0,0.0,57.0,8.0,1.0,7.0,0.12,0.0,11.0,93.0,2.0,0.0,17.0,2.0,3.33333333333333,1.0,3.553530900428695,1.0,1.0,0.842105263157895,0.0,0.9833984375,0.666666666666667,0.0,4.0,2.0,0.5244409392689966,0.47555906073100335,2,75016601562500.0
474,0,1.0,1.0,1.0,1.0,5.0,0.0,33.0,2.0,0.0,0.0,0.26,0.0,4.0,87.0,6.0,1.0,13.499755859375,2.0,4.11111111111111,2.0,2.825509207589287,2.0,1.0,0.75,0.0,1.0,1.0,0.0,4.0,3.0,0.503532314673125,0.496467685326875,2,2.183436172819679
477,0,3.0,19.0,1.0,8.0,9.0,0.0,40.0,7.0,3.0,10.0,0.09,0.0,53.0,100.0,5.0,2.0,23.0,4.0,2.69354838709677,0.0,3.37096774193548,0.0,1.0,0.414285714285714,0.0,19.0,0.454545454545455,0.0,4.0,0.5,0.544228543040173,0.455771456959827,1,3500000000000.0
496,0,26.0,0.0,1.0,2.49755859375,1.0,2.0,216.0,2.0,7.0,10.0,0.19,2.0,54.0,95.0,2.0,1.0,42.0,2.0,7.76363636363636,2.0,7.61818181818182,1.0,1.0,1.22413793103448,0.0,1068.0,1.0,0.0,1.0,0.49951171875,0.539604008266483,0.460395991733517,2,19662086930152.734
515,0,1.0,0.0,1.0,0.0,0.0,1.0,145.0,3.0,0.0,13.0,1.03,0.0,21.0,100.0,1.0,0.0,4.0,1.0,3.76190476190476,0.0,3.33333333333333,1.0,0.0,0.52,0.0,145.0,0.6875,0.0,3.0,0.5,0.7208069378612612,0.27919306213873885,1,3500000000000.0
539,0,9.0,0.0,1.0,1.0,11.0,0.0,18.0,3.0,1.0,2.0,0.05,1.0,26.0,86.0,3.0,3.0,23.0,2.0,4.45945945945946,0.0,3.55354503499035,1.0,1.0,0.829268292682927,0.0,47.0,1.0,0.0,2.0,0.0,0.5053426434250585,0.4946573565749414,1,1.172297903501214
542,0,13.0,0.0,2.0,5.0,50.0,1.0,137.0,11.0,0.0,3.0,0.14,1.0,11.0,97.0,1.0,0.0,58.0,2.0,5.0655737704918,0.0,8.60655737704918,1.0,1.0,0.959459459459459,0.0,385.0,0.906976744186046,2.0,3.0,0.498779296875,0.6777378216027562,0.3222621783972438,1,8501220703125.0
547,0,29.0,38.0,1.0,14.0,1.4970703125,0.0,157.0,22.0,2.0,45.0,0.1,0.0,154.0,98.0,4.0,4.0,47.0,2.0,3.13142857142857,0.0,5.17142857142857,0.0,0.0,0.722222222222222,0.0,374.0,1.0,0.0,5.0,0.499267578125,0.5181196353615021,0.48188036463849787,2,20015515449992.43
551,0,16.499148547649384,0.0,1.0,2.0,7.0,0.0,68.0,1.0,2.0,5.0,0.12,0.0,57.0,87.0,5.0,0.0,9.499267578125,1.0,5.015625,0.0,5.40625,1.0,1.0,0.742424242424242,0.0,18.98876953125,0.833333333333333,0.0,4.0,7.0,0.5455494276453947,0.4544505723546053,3,49217460071168.39
552,0,2.0,0.0,2.0,2.0,9.0,0.0,43.0,2.0,3.0,1.0,0.18,0.0,24.0,93.0,3.0,2.0,14.0,2.0,4.12121212121212,0.0,4.09090909090909,1.0,1.0,0.5,0.0,38.5,1.0,0.0,3.0,0.4990234375,0.5035061197894762,0.49649388021052376,2,38059331264043.17
567,0,15.0,0.0,1.0,2.0,230.0,0.0,71.0,2.0,0.0,1.0,0.05,0.0,3.0,100.0,2.0,0.0,9.499267578125,1.0,5.59656652360515,0.0,3.90557939914163,1.0,1.0,0.48728813559322,0.0,43.0,0.607142857142857,0.0,2.0,0.49951171875,0.5016226739093574,0.4983773260906426,2,5500488281250.0
602,0,1.0,0.0,1.0,0.0,9.0,0.0,43.0,10.0,1.0,4.0,0.11,0.0,33.0,60.0,4.0,1.0,11.0,2.0,2.95238095238095,0.0,4.71428571428571,2.0,1.0,0.679245283018868,0.0,19.0,0.5,0.0,7.0,4.0,0.5261122984080457,0.4738877015919542,1,17000000000000.0
603,0,3.0,2.0,2.0,0.0,1.0,2.0,86.0,3.0,1.0,4.0,0.28,1.0,15.0,62.0,1.0,0.0,15.0,2.0,3.4375,0.0,8.125,1.0,1.0,1.45,0.0,34.0,0.666666666666667,0.0,5.0,0.5,0.5029311104869743,0.49706888951302575,1,7500000000000.0
625,0,0.0,0.0,1.0,138.0,387.0,1.0,555.0,1.0,2.0,4.0,0.14,0.0,8.0,99.0,1.0,0.0,11.49755859375,2.0,4.66835443037975,1.0,1.8712173655063284,1.0,1.0,0.183879093198992,0.0,8702.0,0.666666666666667,0.0,2.0,1.0,0.5041671896153249,0.4958328103846751,2,13.968267047205503
