test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
1628,0,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,2.0,4.0,0.61,0.39,1
1628,1,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,4.0,0.72,0.28,2
1628,2,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,4.0,0.74,0.26,3
1628,3,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,21.0,2.0,6.6,1.0,5.9,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,4.0,0.75,0.25,4
1628,4,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,4.0,0.77,0.23,4
1628,5,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,1.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,4.0,0.8,0.2,5
1628,6,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,1.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,0.9,0.0,1.0,0.0,1.0,0.0,4.0,0.81,0.19,5
1628,7,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,21.0,2.0,6.6,1.0,5.9,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,4.0,0.73,0.27,3
1628,8,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,3.8,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.72,0.28,2
1628,9,0.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,3.8,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.74,0.26,3
1628,10,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,3.8,1.0,5.9,0.0,1.0,0.9,0.0,0.5,0.0,1.0,0.0,4.0,0.76,0.24,3
1628,11,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.7,0.3,2
1628,12,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,1.13513513513514,0.0,1.0,0.0,1.0,0.0,4.0,0.75,0.25,3
1628,13,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,3.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.73,0.27,2
1628,14,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,3.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,4.0,0.79,0.21,3
1628,15,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,3.8,1.0,5.9,0.0,1.0,0.9,0.0,0.5,0.0,1.0,0.0,4.0,0.78,0.22,4
1628,16,3.0,1.0,1.0,5.0,237.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,3.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.74,0.26,3
1628,17,3.0,1.0,1.0,5.0,37.0,0.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.71,0.29,3
1628,18,3.0,1.0,1.0,5.0,37.0,0.0,0.54,1.0,86.0,1.0,2.0,0.0,2.0,6.6,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,0.0,4.0,0.78,0.22,4
10,0,0.0,2.0,0.0,7.0,133.0,5.0,0.47,0.0,81.0,2.0,0.0,23.0,1.0,5.71428571428571,1.0,7.0,1.0,1.0,1.625,0.0,0.533333333333333,0.0,4.0,0.0,4.0,0.51,0.49,1
10,1,0.0,2.0,0.0,7.0,133.0,5.0,0.47,0.0,81.0,2.0,0.0,7.0,1.0,5.71428571428571,1.0,7.0,1.0,1.0,1.625,0.0,0.533333333333333,0.0,4.0,0.0,4.0,0.66,0.34,2
10,2,0.0,2.0,0.0,7.0,61.0,5.0,0.47,0.0,81.0,2.0,0.0,7.0,1.0,5.71428571428571,1.0,7.0,1.0,1.0,1.625,0.0,0.533333333333333,0.0,4.0,0.0,4.0,0.82,0.18,3
10,3,0.0,2.0,0.0,7.0,61.0,5.0,0.47,0.0,81.0,2.0,0.0,7.0,1.0,5.71428571428571,1.0,7.0,1.0,1.0,1.625,0.0,0.0,0.0,4.0,0.0,4.0,0.88,0.12,4
10,4,0.0,2.0,0.0,7.0,0.0,5.0,0.47,0.0,81.0,2.0,0.0,7.0,1.0,5.71428571428571,1.0,7.0,1.0,1.0,1.625,0.0,0.0,0.0,4.0,0.0,4.0,0.89,0.11,4
