,Flipped,Plan,TP,Flip_rate
jruby@2,20,20,20,1.0
hive@1,26,26,26,1.0
camel@0,38,38,38,1.0
hive@0,72,72,78,1.0
camel@1,31,31,31,1.0
activemq@3,66,66,79,1.0
activemq@2,67,67,67,1.0
lucene@2,3,3,3,1.0
derby@0,380,380,395,1.0
jruby@0,37,37,37,1.0
derby@1,164,164,164,1.0
jruby@1,44,44,44,1.0
groovy@0,7,7,8,1.0
hbase@1,148,148,148,1.0
hbase@0,102,102,106,1.0
camel@2,21,21,21,1.0
groovy@1,23,23,24,1.0
wicket@0,34,34,34,1.0
activemq@0,46,46,46,1.0
wicket@1,9,9,9,1.0
activemq@1,37,37,37,1.0
lucene@0,128,128,128,1.0
lucene@1,107,107,107,1.0
