,Flipped,Plan,TP,Flip_Rate
jruby@2,20,20,20,1.0
hive@1,26,26,26,1.0
camel@0,38,38,38,1.0
hive@0,76,78,78,0.9743589743589743
camel@1,31,31,31,1.0
activemq@3,78,79,79,0.9873417721518988
activemq@2,67,67,67,1.0
lucene@2,3,3,3,1.0
derby@0,392,395,395,0.9924050632911392
jruby@0,37,37,37,1.0
derby@1,164,164,164,1.0
jruby@1,44,44,44,1.0
groovy@0,8,8,8,1.0
hbase@1,148,148,148,1.0
hbase@0,106,106,106,1.0
camel@2,21,21,21,1.0
groovy@1,24,24,24,1.0
wicket@0,34,34,34,1.0
activemq@0,46,46,46,1.0
wicket@1,9,9,9,1.0
activemq@1,37,37,37,1.0
lucene@0,117,128,128,0.9140625
lucene@1,107,107,107,1.0
