,Flipped,Plan,TP,Flip_Rate
jruby@2,2,20,20,0.1
hive@1,5,24,26,0.19230769230769232
camel@0,12,38,38,0.3157894736842105
hive@0,9,78,78,0.11538461538461539
camel@1,2,11,31,0.06451612903225806
activemq@3,12,78,79,0.1518987341772152
activemq@2,39,66,67,0.582089552238806
lucene@2,3,3,3,1.0
derby@0,28,394,395,0.07088607594936709
jruby@0,3,37,37,0.08108108108108109
derby@1,19,164,164,0.11585365853658537
jruby@1,2,44,44,0.045454545454545456
groovy@0,2,8,8,0.25
hbase@1,25,148,148,0.16891891891891891
hbase@0,14,106,106,0.1320754716981132
camel@2,0,3,21,0.0
groovy@1,3,24,24,0.125
wicket@0,12,30,34,0.35294117647058826
activemq@0,16,46,46,0.34782608695652173
wicket@1,4,7,9,0.4444444444444444
activemq@1,10,24,37,0.2702702702702703
lucene@0,19,128,128,0.1484375
lucene@1,31,107,107,0.2897196261682243
