,Explainer,Strategy,Ratio
0,LIMEHPO,,2.8180089322440094
1,LIMEHPO,,1.4888337228213122
2,LIMEHPO,,1.412687948968151
3,LIMEHPO,,4.056264654715982
4,LIMEHPO,,2.696823457156734
5,LIMEHPO,,5.9408674578115015
6,LIMEHPO,,4.130298193524903
7,LIMEHPO,,6.70859495827199
8,LIMEHPO,,15.292680650620422
9,LIMEHPO,,2.1801636890011213
10,LIMEHPO,,14.8482655414156
11,LIMEHPO,,3.374638416256908
12,LIMEHPO,,2.9852821059831327
13,LIMEHPO,,3.285433490802099
14,LIMEHPO,,3.0263125783190734
15,LIMEHPO,,2.295061899482936
16,LIMEHPO,,2.4421379254463975
17,LIMEHPO,,2.7014776080171914
18,LIMEHPO,,3.1013801938765773
19,LIMEHPO,,2.6846710977856447
20,LIMEHPO,,2.829752761587836
21,LIMEHPO,,4.159299586917127
22,LIMEHPO,,2.9702707598867573
23,TimeLIME,,11.953304777226421
24,TimeLIME,,17.674545569499816
25,TimeLIME,,2.796180291936676
26,TimeLIME,,2.0985605573475077
27,TimeLIME,,4.98899874446588
28,TimeLIME,,2.56474123399399
29,TimeLIME,,6.554709235161791
30,TimeLIME,,4.071438929217154
31,TimeLIME,,7.98234831938787
32,TimeLIME,,5.668100569600156
33,TimeLIME,,40.64107808599421
34,TimeLIME,,3.2307542974267003
35,TimeLIME,,3.910377460804018
36,TimeLIME,,4.654765022007757
37,TimeLIME,,1.9140393574855714
38,TimeLIME,,5.638982396527098
39,TimeLIME,,1.1006293583951898
40,TimeLIME,,4.972136713158261
41,TimeLIME,,1.7510100563272286
42,TimeLIME,,9.39273426113169
43,TimeLIME,,3.427559454207671
44,TimeLIME,,3.1137478335726323
45,TimeLIME,,6.0331196113195045
46,SQAPlanner,confidence,3.165478911747569
47,SQAPlanner,confidence,3.58157096448011
48,SQAPlanner,confidence,1.9607843137254901
49,SQAPlanner,confidence,6.58803361116325
50,SQAPlanner,confidence,7.152496626180836
51,SQAPlanner,confidence,5.029838022165388
52,SQAPlanner,confidence,5.296078431372549
53,SQAPlanner,confidence,1.3215859030837005
54,SQAPlanner,confidence,3.7878787878787876
55,SQAPlanner,confidence,3.162492513572169
56,SQAPlanner,confidence,6.5634433703869135
57,SQAPlanner,confidence,5.533596837944664
58,SQAPlanner,confidence,3.2679738562091503
59,SQAPlanner,confidence,4.695431472081218
60,SQAPlanner,confidence,2.8875379939209727
61,SQAPlanner,confidence,2.282421316252466
62,SQAPlanner,confidence,3.543307086614173
63,SQAPlanner,confidence,5.087719298245614
64,SQAPlanner,confidence,4.050775903893641
65,SQAPlanner,confidence,0.9946236559139789
66,SQAPlanner,confidence,4.291015107341632
67,SQAPlanner,coverage,1.3513513513513513
68,SQAPlanner,coverage,0.8526234567901236
69,SQAPlanner,coverage,1.293103448275862
70,SQAPlanner,coverage,1.3194444444444444
71,SQAPlanner,coverage,12.078067509198528
72,SQAPlanner,coverage,0.9447004608294929
73,SQAPlanner,coverage,0.7147962830593281
74,SQAPlanner,coverage,1.2295081967213115
75,SQAPlanner,coverage,1.2125411397886714
76,SQAPlanner,coverage,0.7363770250368189
77,SQAPlanner,coverage,0.7501874413586369
78,SQAPlanner,coverage,1.999739022639786
79,SQAPlanner,coverage,1.625
80,SQAPlanner,coverage,2.6143790849673203
81,SQAPlanner,coverage,0.7465888612374496
82,SQAPlanner,coverage,2.0
83,SQAPlanner,coverage,0.5028954587016153
84,SQAPlanner,coverage,0.30435705368289606
85,SQAPlanner,coverage,3.6458333333333335
86,SQAPlanner,coverage,0.6419529837251357
87,SQAPlanner,coverage,1.4516129032258065
88,SQAPlanner,coverage,2.482051282051282
89,SQAPlanner,lift,3.165478911747569
90,SQAPlanner,lift,3.58157096448011
91,SQAPlanner,lift,1.9607843137254901
92,SQAPlanner,lift,6.72086247086247
93,SQAPlanner,lift,7.152496626180836
94,SQAPlanner,lift,5.029838022165388
95,SQAPlanner,lift,5.296078431372549
96,SQAPlanner,lift,1.3215859030837005
97,SQAPlanner,lift,4.500862265631946
98,SQAPlanner,lift,3.162492513572169
99,SQAPlanner,lift,8.67925849585117
100,SQAPlanner,lift,5.533596837944664
101,SQAPlanner,lift,3.2679738562091503
102,SQAPlanner,lift,5.0761421319796955
103,SQAPlanner,lift,2.8875379939209727
104,SQAPlanner,lift,2.282421316252466
105,SQAPlanner,lift,3.543307086614173
106,SQAPlanner,lift,5.087719298245614
107,SQAPlanner,lift,4.050775903893641
108,SQAPlanner,lift,0.9946236559139789
109,SQAPlanner,lift,4.291015107341632
