,Flipped,Plan,TP,Flip_Rate
jruby@2,10,20,20,0.5
hive@1,14,26,26,0.5384615384615384
camel@0,6,38,38,0.15789473684210525
hive@0,5,78,78,0.0641025641025641
camel@1,18,31,31,0.5806451612903226
activemq@3,11,79,79,0.13924050632911392
activemq@2,24,67,67,0.3582089552238806
lucene@2,3,3,3,1.0
derby@0,59,395,395,0.14936708860759493
jruby@0,2,37,37,0.05405405405405406
derby@1,35,164,164,0.21341463414634146
jruby@1,1,44,44,0.022727272727272728
groovy@0,4,8,8,0.5
hbase@1,39,148,148,0.2635135135135135
hbase@0,39,106,106,0.36792452830188677
camel@2,16,21,21,0.7619047619047619
groovy@1,9,24,24,0.375
wicket@0,7,34,34,0.20588235294117646
activemq@0,2,46,46,0.043478260869565216
wicket@1,7,9,9,0.7777777777777778
activemq@1,26,37,37,0.7027027027027027
lucene@0,14,128,128,0.109375
lucene@1,43,107,107,0.40186915887850466
