,Flipped,Plan,TP,Flip_Rate
jruby@2,6,20,20,0.3
hive@1,8,24,26,0.3333333333333333
camel@0,18,38,38,0.47368421052631576
hive@0,21,78,78,0.2692307692307692
camel@1,6,11,31,0.5454545454545454
activemq@3,21,78,79,0.2692307692307692
activemq@2,31,66,67,0.4696969696969697
lucene@2,3,3,3,1.0
derby@0,102,395,395,0.2582278481012658
jruby@0,17,37,37,0.4594594594594595
derby@1,91,164,164,0.5548780487804879
jruby@1,7,44,44,0.1590909090909091
groovy@0,0,8,8,0.0
hbase@1,108,148,148,0.7297297297297297
hbase@0,50,106,106,0.4716981132075472
camel@2,0,3,21,0.0
groovy@1,14,24,24,0.5833333333333334
wicket@0,21,30,34,0.7
activemq@0,25,46,46,0.5434782608695652
wicket@1,5,7,9,0.7142857142857143
activemq@1,12,24,37,0.5
lucene@0,101,128,128,0.7890625
lucene@1,46,107,107,0.42990654205607476
