,Flipped,Plan,TP,Flip_Rate
jruby@2,20,20,20,1.0
hive@1,26,26,26,1.0
camel@0,38,38,38,1.0
hive@0,17,78,78,0.21794871794871795
camel@1,31,31,31,1.0
activemq@3,32,79,79,0.4050632911392405
activemq@2,55,67,67,0.8208955223880597
lucene@2,3,3,3,1.0
derby@0,142,395,395,0.3594936708860759
jruby@0,36,37,37,0.972972972972973
derby@1,157,164,164,0.9573170731707317
jruby@1,36,44,44,0.8181818181818182
groovy@0,8,8,8,1.0
hbase@1,145,148,148,0.9797297297297297
hbase@0,96,106,106,0.9056603773584906
camel@2,21,21,21,1.0
groovy@1,20,24,24,0.8333333333333334
wicket@0,32,34,34,0.9411764705882353
activemq@0,34,46,46,0.7391304347826086
wicket@1,9,9,9,1.0
activemq@1,37,37,37,1.0
lucene@0,81,128,128,0.6328125
lucene@1,107,107,107,1.0
