,Flipped,Plan,TP,Flip_Rate
jruby@2,8,20,20,0.4
hive@1,10,24,26,0.4166666666666667
camel@0,18,38,38,0.47368421052631576
hive@0,22,78,78,0.28205128205128205
camel@1,6,11,31,0.5454545454545454
activemq@3,23,78,79,0.2948717948717949
activemq@2,34,66,67,0.5151515151515151
lucene@2,3,3,3,1.0
derby@0,240,395,395,0.6075949367088608
jruby@0,22,37,37,0.5945945945945946
derby@1,110,164,164,0.6707317073170732
jruby@1,7,44,44,0.1590909090909091
groovy@0,0,8,8,0.0
hbase@1,110,148,148,0.7432432432432432
hbase@0,52,106,106,0.49056603773584906
camel@2,0,3,21,0.0
groovy@1,14,24,24,0.5833333333333334
wicket@0,24,30,34,0.8
activemq@0,25,46,46,0.5434782608695652
wicket@1,5,7,9,0.7142857142857143
activemq@1,12,24,37,0.5
lucene@0,112,128,128,0.875
lucene@1,76,107,107,0.7102803738317757
