,Flipped,Plan,TP,Flip_Rate
jruby@2,20,20,20,1.0
hive@1,26,26,26,1.0
camel@0,38,38,38,1.0
hive@0,69,69,78,0.8846153846153846
camel@1,31,31,31,1.0
activemq@3,64,64,79,0.810126582278481
activemq@2,67,67,67,1.0
lucene@2,3,3,3,1.0
derby@0,353,353,395,0.8936708860759494
jruby@0,37,37,37,1.0
derby@1,164,164,164,1.0
jruby@1,44,44,44,1.0
groovy@0,6,6,8,0.75
hbase@1,148,148,148,1.0
hbase@0,98,98,106,0.9245283018867925
camel@2,21,21,21,1.0
groovy@1,22,22,24,0.9166666666666666
wicket@0,34,34,34,1.0
activemq@0,44,44,46,0.9565217391304348
wicket@1,9,9,9,1.0
activemq@1,37,37,37,1.0
lucene@0,120,120,128,0.9375
lucene@1,107,107,107,1.0
