,Project,Flip,Computed,Plan,TP
jruby@2,jruby@2,8,20,20,20
hive@1,hive@1,13,26,26,26
camel@0,camel@0,26,38,38,38
hive@0,hive@0,16,78,78,78
camel@1,camel@1,16,31,31,31
activemq@3,activemq@3,20,79,79,79
activemq@2,activemq@2,20,67,67,67
lucene@2,lucene@2,3,3,3,3
derby@0,derby@0,67,395,395,395
jruby@0,jruby@0,8,37,37,37
derby@1,derby@1,42,164,164,164
jruby@1,jruby@1,4,44,44,44
groovy@0,groovy@0,4,8,8,8
hbase@1,hbase@1,65,148,148,148
hbase@0,hbase@0,39,106,106,106
camel@2,camel@2,13,21,21,21
groovy@1,groovy@1,17,24,24,24
wicket@0,wicket@0,22,34,34,34
activemq@0,activemq@0,13,46,46,46
wicket@1,wicket@1,2,9,9,9
activemq@1,activemq@1,23,37,37,37
lucene@0,lucene@0,31,128,128,128
lucene@1,lucene@1,62,107,107,107
