,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
6733,4,0,1,1,1,1,3,51,2,9,4,0,1,3,0,17,1,1,7.52631578947368,1,1,0,0.4,0,1,2
779,0,0,1,0,0,0,1,39,1,3,10,22,0,1,0,1,2,1,2.2,1,1,0,0.666666666666667,0,3,3
2825,4,0,1,1,0,5,5,111,1,0,12,11,7,2,0,8,2,2,10.4666666666667,1,1,0,0.571428571428571,0,4,3
216,1,0,1,1,51,1,1,102,5,1,2,56,0,2,0,15.5,2,0,2.48275862068966,1,1,0,1.0,0,3,3
2994,1,0,1,1,0,0,2,37,3,6,11,11.0,0,3,0,9,1,0,4.0,0,1,0,0.5,0,4,3
3919,0,0,1,1,0,0,1,48,1,1,16,46,0,5,0,14,2,0,1.72340425531915,1,1,0,0.2,0,4,0
770,3,0,1,1,0,1,2,62,7,9,6,18,1,3,1,10,4,0,3.73333333333333,1,1,0,0.2,0,2,5
589,4,0,1,0,0,2,1,300,1,4,17,89,0,3,0,8.5,1,0,2.52577319587629,1,1,0,0.2,0,3,5
601,1,0,1,0,0,1,1,104,2,0,13,52,0,5,0,10,2,0,1.88679245283019,1,1,0,0.2,0,3,5
939,3,0,2,2,70,5,3,495,4,0,4,78,0,2,0,7,2,0,3.39506172839506,0,1,0,0.2,0,4,4
3912,1,0,1,1,0,1,3,55,1,5,3,7.0,0,1,3,22,2,0,8.0,1,1,0,0.2,0,2,5
491,2,0,1,0,0,1,1,164,1,4,25,91,0,3,0,8.0,2,0,2.03092783505155,1,1,0,0.2,0,3,7
599,1,2,1,0,0,8,1,1598,1,11,7,3.0,0,3,27,94,2,0,3.57435897435897,0,1,0,0.2,0,4,4
115,4,0,2,1,0,4,3,132,4,9,13,25,1,3,0,18.0,2,0,5.02631578947368,1,1,0,0.333333333333333,0,3,7
4145,10,0,1,6,0,1,3,99,3,10,25,51,0,5,0,18.0,2,0,4.12676056338028,0,1,0,0.2,0,4,7
4304,2,0,1,0,2,0,1,97,1,7,10,167,0,3,2,32,4,0,2.59659090909091,1,1,0,0.2,0,2,8
3877,0,0,1,1,0,0,1,42,1,0,17,25.5,0,5,2,4.5,2,0,1.85106382978723,1,1,0,0.2,0,6,0
104,15,0,3,3,4,5,5,197,2,5,10,2.5,2,1,0,4.5,2,2,8.06060606060606,1,1,0,0.2,0,2,2
148,2,0,2,0,0,6,3,178,2,12,9,2,2,5,2,6.5,2,1,5.78260869565217,0,1,0,0.2,0,3,0
196,0,4,1,0,0,0,1,50,1,5,13,2.5,0,3,0,4.5,3,0,2.75,1,1,0,0.642857142857143,0,2,0
152,1,1,1,2,0,0,1,115,2,7,40,33.5,0,4,2,4.5,2,0,1.88181818181818,1,1,0,0.375,0,4,2
731,5,0,1,1,1,5,3,270,6,19,25,2.5,1,2,3,4.5,4,0,5.19607843137255,0,1,0,0.6095238095238095,0,4,4
57,17,7,1,1,0,2,1,418,26,2,32,3.0,0,3,19,2.5,2,0,2.08474576271186,0,0,0,0.428571428571429,0,7,8
141,0,0,3,0,1,6,5,44,1,1,1,24.5,3,6,1,10,1,1,14.25,2,1,0,0.2,0,2,3
2936,0,0,1,1,0,0,1,37,1,8,38,76,0,3,0,32.0,1,0,1.63095238095238,0,1,0,0.714285714285714,0,3,1
897,1,0,2,0,17,6,3,133,1,0,0,7.0,0,1,0,9,2,0,3.61111111111111,1,1,0,1.0,0,2,1
1669,0,0,1,0,0,0,1,42,2,2,0,35,0,6,0,0,1,0,1.86486486486486,1,1,0,1.0,0,1,2
3926,1,0,2,1,3,5,5,95,1,7,4,5,2,3,0,18.0,1,1,10.8461538461538,1,1,0,0.2,0,6,6
6734,6,0,1,1,1,1,3,58,2,10,14,7.0,0,3,0,19,2,0,6.96428571428571,1,1,0,0.2,0,6,2
331,0,0,1,1,0,1,1,38,2,0,4,28,0,1,0,9,2,1,2.25,1,1,0,0.666666666666667,0,6,2
310,0,0,1,0,0,0,2,45,1,0,18,11.0,0,1,0,22,2,1,2.83333333333333,1,1,0,1.0,0,3,5
655,7,0,1,2,0,2,2,175,7,7,35,49,1,3,0,31,5,0,4.33333333333333,1,1,0,0.2,0,1,5
946,2,0,1,1,18,4,4,106,1,0,0,17,0,1,0,5,1,0,2.63157894736842,1,1,0,0.2,0,6,5
4147,1,0,1,1,1,2,3,47,1,4,2,6,1,3,0,19,2,1,7.81818181818182,1,1,0,0.2,0,6,5
3867,1,0,1,1,0,1,3,56,1,5,3,13,0,1,4,22,2,0,8.1578947368421,1,1,0,0.6,0,6,3
637,0,0,1,0,0,1,1,97,1,1,12,47,0,4,0,13,2,0,1.95833333333333,1,1,0,0.2,0,1,1
4555,4,0,1,0,0,0,5,20,1,0,4,8.5,1,1,0,1,1,2,17.4,3,1,0,1.0,0,1,1
