,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
331,0,0,1,1,0,1,1,38,2,0,4,28,0,1,0,9,2,1,2.25,1,0,0,0.666666666666667,0,1,2
310,0,0,1,0,0,0,2,45,1,0,18,36,0,1,0,22,2,1,2.83333333333333,1,0,0,1.0,0,3,5
4555,4,0,1,0,5.0,0,5,20,1,0,4,1,1,1,0,1,1,2,17.4,3,1,0,1.0,0,1,1
779,0,0,1,0,0,0,1,39,1,3,3,22,0,1,0,6,2,1,2.2,1,1,0,0.666666666666667,0,3,3
1669,0,0,1,0,0,0,1,42,2,2,0,35,0,6,0,5,1,0,1.86486486486486,1,1,0,1.0,0,1,1
3912,1,0,1,1,0,1,3,18.5,1,5,3,13,0,1,3,22,2,0,8.0,1,1,0,0.5,0,2,5
196,0,4,1,0,0,0,1,18.5,1,5,13,35,0,3,0,19,3,0,2.75,1,1,0,1.0,0,2,5
141,0,0,3,0,1,6,5,44,1,1,1,3,3,6,1,8,1,1,14.25,2,1,0,1.0,0,3,3
770,3,0,1,1,0,1,2,18.5,7,9,6,18,1,3,1,10,4,0,3.73333333333333,1,1,0,0.5,0,2,5
148,2,0,2,0,0,6,3,24.5,2,12,9,9,2,5,2,20,2,1,5.78260869565217,0,1,0,0.75,0,1,5
2994,1,0,1,1,0,0,2,37,3,6,11,20,0,3,0,9,1,0,4.0,0,1,0,0.5,0,2,3
3867,1,22.0,1,1,0,1,3,56,1,5,3,13,0,1,4,22,2,0,8.1578947368421,1,1,0,0.6,0,2,3
946,2,0,1,1,18,4,4,30.5,1,0,0,17,0,1,0,5,1,0,2.63157894736842,1,1,0,1.0,0,2,5
3926,1,0,2,1,3,5,5,95,1,7,4,5,2,3,0,8.5,1,1,10.8461538461538,1,1,0,0.666666666666667,0,3,6
4147,1,0,1,1,1,2,3,26.5,1,4,2,6,1,3,0,19,2,1,7.81818181818182,1,1,0,0.75,0,1,5
115,4,0,2,1,0,4,3,18.5,4,9,13,25,1,3,0,19,2,0,5.02631578947368,1,1,0,0.333333333333333,0,3,7
655,7,0,1,2,0,2,2,175,7,7,35,7.0,1,3,0,31,5,0,4.33333333333333,1,1,0,1.0,0,1,5
6733,4,12.0,1,1,1,1,3,51,2,9,4,6,1,3,0,17,1,1,7.52631578947368,1,1,0,0.4,0,1,2
731,5,0,1,1,1,5,3,270,6,19,25,27,1,2,3,6.5,4,0,5.19607843137255,0,1,0,0.888888888888889,0,1,8
897,1,0,2,0,17,6,3,68.0,1,0,0,17,0,1,0,8,2,0,3.61111111111111,1,1,0,1.0,0,2,3
6734,6,22.0,1,1,1,1,3,32.5,2,10,14,12,0,3,0,19,2,0,6.96428571428571,1,1,0,0.4,0,1,2
216,1,12.0,1,1,51,1,1,102,5,1,2,56,0,2,0,5,2,0,2.48275862068966,1,1,0,1.0,0,3,0
637,0,22.0,1,0,0,1,1,97,1,1,12,47,0,4,0,13,2,0,1.95833333333333,1,1,0,0.666666666666667,0,1,1
152,1,1,1,2,0,0,1,115,2,7,40,101,0,4,2,8.5,2,0,1.88181818181818,1,1,0,1.0,0,1,5
57,17,3,1,1,0,2,1,312.0,26,2,32,151,0,3,19,14,2,0,2.08474576271186,0,0,0,1.0,0,1,1
601,1,22.0,1,0,0,1,1,104,2,0,13,52,0,5,0,10,2,0,1.88679245283019,1,1,0,0.8,0,3,5
2825,4,0,1,1,0,5,5,24.5,1,0,12,11,7,2,0,11,2,2,10.4666666666667,1,1,0,0.571428571428571,0,4,3
4145,10,0,1,6,0,1,3,99,3,10,25,41.5,0,5,0,18.0,2,0,4.12676056338028,0,1,0,0.428571428571429,0,4,7
3877,0,22.0,1,1,0,0,1,34.5,1,0,17,47,0,5,2,15,2,0,1.85106382978723,1,1,0,0.5,0,1,0
3919,0,0,1,1,0,0,1,32.5,1,1,16,46,0,5,0,14,2,0,1.72340425531915,1,1,0,0.5,0,2,3
939,3,0,2,2,19.0,5,2,495,4,0,4,78,0,2,0,11,2,0,3.39506172839506,0,1,0,0.75,0,4,4
491,2,0,1,0,0,1,1,30.5,1,4,25,91,0,3,0,8.0,2,0,2.03092783505155,1,1,0,0.5,0,3,7
2936,0,0,1,1,0,0,1,18.5,1,1,38,76,0,3,0,38,1,0,1.63095238095238,0,1,0,0.714285714285714,0,3,1
589,4,0,1,0,0,2,1,18.5,1,4,17,89,0,3,0,8.5,1,0,2.52577319587629,1,1,0,0.666666666666667,0,3,5
104,15,0,2,3,4,5,2,197,2,1,10,13,2,1,0,32,2,2,8.06060606060606,1,1,0,0.5,0,2,0
599,1,2,1,0,0,8,1,312.0,1,3,7,33.5,0,3,27,94,2,0,3.57435897435897,0,1,0,0.545454545454545,0,4,1
4304,2,0,1,0,2,0,1,97,1,7,10,167,0,3,2,32,4,0,2.59659090909091,1,1,0,0.625,0,2,4
