,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
157,1.0,118.0,1.9500000000000002,0.09000000000000008,0.0,0.0,254.0,144.0,2.0,5.0,0.09000000000000008,1.0,99.0,1.0,1.0,118.0,2.0,3.77003484320558,0.0,0.0,1.0,0.585648148148148,-3.469446951953614e-18,139.0,0.727272727272727,0.0,1.0,4.0
237,0.10000000000000009,19.0,4.0,2.0,26.0,0.0,51.0,5.0,1.0,3.0,0.10000000000000009,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,-3.469446951953614e-18,124.0,0.363636363636364,0.0,4.0,6.0
169,0.15999999999999992,20.0,6.58536585365854,7.0,6.999999999999998,0.0,71.0,1.0,0.0,17.0,0.15999999999999992,1.0,96.0,1.0,0.0,20.0,3.0,6.58536585365854,1.0,1.0,1.0,0.465116279069767,-3.469446951953614e-18,198.0,1.0,0.0,1.0,2.0
285,3.1497005988024,0.09999999999999998,42.0,3.0,19.0,0.0,144.0,16.0,2.0,35.0,0.10000000000000009,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,-3.469446951953614e-18,2.000000000000014,0.5,0.0,5.0,5.0
852,0.22999999999999998,62.99999999999999,4.25757575757576,7.0,9.0,0.0,143.0,36.0,0.0,8.0,0.22999999999999998,0.0,100.0,2.0,17.0,63.0,2.0,4.25757575757576,0.0,1.0,1.0,0.339805825242718,-3.469446951953614e-18,152.0,1.0,0.0,1.0,0.0
292,1.0,0.07999999999999996,34.0,3.3030303030303,6.0,0.0,88.0,57.0,0.0,1.0,0.08000000000000007,0.0,99.0,1.0,21.0,34.0,2.0,3.3030303030303,0.0,1.0,1.0,0.610526315789474,-3.469446951953614e-18,2598.0,0.9523809523809521,1.0000000000000002,1.0,8.0
357,1.0,0.08999999999999997,22.0,66.0,4.8695652173913,0.0,45.0,2.0,0.0,6.0,0.09000000000000008,1.0,66.0,1.0,0.0,22.0,1.0,4.8695652173913,1.0,2.0,1.0,1.06122448979592,-3.469446951953614e-18,811.0,0.6,0.0,4.0,5.0
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,0.84,98.0,1.0,31.0,1.9500000000000002,3.0,582.0,4.0,17.0,7.0,0.8399999999999999,0.0,98.0,1.0,1.0,31.0,8.0,15.928,0.0,0.0,1.0,0.453846153846154,-3.469446951953614e-18,100.0,0.35,0.0,3.0,5.0
359,0.1100000000000001,17.0,3.8846153846153797,7.0,21.999999999999996,0.0,138.0,3.0,0.0,4.0,0.1100000000000001,0.0,97.0,4.0,0.0,17.0,2.0,3.88461538461538,0.0,1.0,1.0,0.712962962962963,-3.469446951953614e-18,165.0,1.0,0.0,3.0,4.0
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
