,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
46,5.0,32.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,35.0,5.31,6.0,89.0,1.0,3.0,27.0,4.0,20.7,0.0,15.0,0.0,5.0,0.6,0.0,3.0,2.0
65,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.46,0.0,86.0,2.0,0.0,27.0,3.0,5.52173913043478,1.0,1.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0
92,1.0,0.0,1.0,5.0,21.0,1.0,2.0,5.0,33.0,64.0,143.0,8.23,0.0,85.0,1.0,2.0,2.0,2.0,6.19774011299435,12.0,0.0,0.0,22.0,0.818181818181818,0.0,3.0,2.0
104,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,21.0,0.84,0.0,79.0,3.0,0.0,25.0,8.0,3.24,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
147,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,4.0,0.0,10.0,0.9,0.0,3.0,1.0
148,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,2.2,0.0,85.0,1.0,2.0,13.0,5.0,2.95652173913043,0.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0
1762,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,7.0,5.0,0.25,0.0,73.0,3.0,2.0,11.0,2.0,3.18181818181818,0.0,1.0,1.0,4.0,0.75,0.0,1.0,1.0
149,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,26.0,0.47,0.0,92.0,1.0,2.0,12.0,8.0,2.74074074074074,1.0,1.0,0.0,13.0,0.846153846153846,0.0,2.0,0.0
154,0.0,0.0,2.0,2.0,0.0,1.0,6.0,1.0,6.0,11.0,7.0,7.28,0.0,87.0,2.0,0.0,13.0,2.0,28.4,0.0,5.0,0.0,6.0,0.666666666666667,0.0,2.0,0.0
157,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,27.0,0.25,0.0,69.0,2.0,0.0,14.0,1.0,2.35714285714286,0.0,1.0,0.0,10.0,0.9,0.0,2.0,0.0
203,0.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,13.4,1.0,1.0,0.0,11.0,0.909090909090909,0.0,3.0,1.0
218,0.0,32.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,12.0,30.0,5.31,6.0,89.0,2.0,2.0,25.0,2.0,20.7,0.0,15.0,0.0,17.0,0.764705882352941,0.0,3.0,1.0
219,7.0,4.0,1.0,2.0,0.0,1.0,6.0,12.0,7.0,22.0,7.0,7.28,0.0,94.0,2.0,1.0,50.0,2.0,28.4,0.0,5.0,0.0,39.0,0.692307692307692,0.0,3.0,1.0
225,0.0,0.0,1.0,2.0,0.0,14.0,2.0,1.0,7.0,19.0,7.0,3.47,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,32.0,31.0,0.0,10.0,0.8,0.0,3.0,1.0
230,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,3.0,11.0,7.0,7.28,1.0,88.0,2.0,1.0,45.0,2.0,28.4,0.0,5.0,0.0,18.0,0.777777777777778,0.0,3.0,2.0
