test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
7,0,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,9.483154296875,0.6875,0.0,2.0,2.0,0.5,0.5,1,207516845703125.0
8,0,3.0,0.0,1.0,1.0,5.0,2.0,116.0,2.0,1.0,8.0,0.66,0.0,84.0,7.0,0.0,13.0,1.0,2.0625,1.0,1.0,0.0,51.495849609375,0.7,0.0,1.0,1.0,0.5,0.5,1,140504150390625.0
185,0,1.0,0.0,1.0,1.0,6.0,2.0,114.0,1.0,9.0,0.0,0.73,1.0,96.0,3.0,9.0,15.0,1.0,2.69230769230769,1.0,0.0,0.0,6.49462890625,0.3,0.0,3.0,6.0,0.56,0.44,1,40505371093750.0
187,0,7.0,0.0,1.0,0.0,4.0,2.0,198.9882915019989,11.0,4.0,13.0,0.54,1.0,100.0,5.0,1.0,19.0,2.0,3.5,0.0,0.0,0.0,1.47509765625,0.380952380952381,3.0,5.0,5.0,0.5,0.5,2,104524902343750.0
238,0,2.0,14.0,1.0,0.0,7.0,2.0,103.148193359375,14.0,41.0,15.0,1.0,0.0,100.0,2.0,34.0,57.0,3.0,10.3222222222222,0.0,0.0,0.0,1.4970703125,0.294117647058824,2.0,4.0,8.0,0.5,0.5,2,1020502929687500.0
264,0,0.0,3.0,1.0,0.0,5.0,1.0,362.0,1.0,0.0,10.0,1.0,0.0,91.0,2.0,1.0,9.0,1.0,4.208435267210006,1.0,1.0,0.0,17.0,0.222222222222222,0.0,3.0,4.0,0.5,0.5,1,2.5664937303381206
279,0,0.0,0.0,1.0,0.0,7.0,2.0,75.4892578125,2.0,8.0,3.0,1.19,0.0,79.0,6.0,2.0,12.0,1.0,3.88,0.0,1.0,0.0,0.0,0.333333333333333,0.0,5.0,4.0,0.5,0.5,1,6.812839704460327
291,0,7.0,0.0,1.0,0.0,6.0,2.0,187.49038636684418,18.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,1.39453125,0.315789473684211,0.0,5.0,5.0,0.5,0.5,2,950605468750000.0
292,0,6.0,0.0,1.0,2.0,6.0,2.0,103.4091796875,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,4.58823529411765,0.0,0.0,0.0,1.42822265625,0.37037037037037,3.0,4.0,6.0,0.5,0.5,2,583571777343750.0
365,0,0.0,0.0,1.0,0.0,7.0,2.0,45.9404296875,8.0,10.0,8.0,1.09,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,0.0,0.0,0.0,167.0,0.285714285714286,0.0,4.0,5.0,0.5,0.5,1,12.098546261634423
371,0,3.0,0.0,1.0,0.0,6.0,1.0,190.49917483329773,2.0,5.0,7.0,1.69,0.0,84.0,6.0,1.0,6.0,1.0,2.38888888888889,0.0,1.0,0.0,30.0,0.4,0.0,5.0,2.0,0.5,0.5,1,2.405720813287462
396,0,20.0,1.0,1.0,1.0,5.0,2.0,520.0,17.0,14.0,17.0,0.66,1.0,100.0,6.0,10.0,11.0,3.0,3.32051282051282,0.0,0.0,0.0,6.474609375,0.454545454545455,0.0,3.0,3.0,0.53,0.47,1,435525390625000.0
416,0,1.0,1.0,1.0,0.0,6.0,2.0,162.0,2.0,10.0,4.0,0.74,0.0,95.0,4.0,238.0,20.0,2.0,3.25,0.0,1.0,0.0,5.478515625,0.285714285714286,0.0,4.0,2.0,0.5,0.5,1,249521484375000.0
468,0,0.0,0.0,1.0,0.0,3.0,1.0,82.0,1.0,1.0,1.0,2.73,0.0,87.0,5.0,4.0,1.0,1.0,5.0,0.0,2.0,0.0,9.49963665008545,0.428571428571429,0.0,1.0,2.0,0.51,0.49,1,46500363349914.55
474,0,0.0,0.0,1.0,0.0,7.0,2.0,33.0,1.0,0.0,0.0,1.43,2.0,100.0,1.0,0.0,8.0,2.0,3.0,3.0,7.0,1.0,7.4970703125,0.2,0.0,1.0,1.0,0.5,0.5,1,55502929687500.0
493,0,12.0,5.0,2.0,0.0,6.0,3.0,209.461669921875,7.0,6.0,4.0,0.48,1.0,92.0,2.0,3.0,20.0,2.0,16.051724137931,0.0,1.0,0.0,0.969970703125,0.227272727272727,1.0,4.0,5.0,0.5,0.5,2,136030029296875.0
515,0,8.0,7.0,1.0,0.0,7.0,2.0,635.0,11.0,11.0,8.0,0.85,0.0,94.0,3.0,4.0,10.49914687871933,3.0,3.74285714285714,0.0,0.0,0.0,1.476806640625,0.391304347826087,1.0,4.0,5.0,0.5,0.5,2,261523193359375.0
516,0,2.0,1.0,1.0,1.0,4.0,1.0,141.0,3.0,2.0,3.0,0.84,0.0,92.0,1.0,2.0,8.0,3.0,2.73076923076923,0.0,0.0,0.0,6.5,0.333333333333333,0.0,3.0,2.0,0.64,0.36,1,45500000000000.0
534,0,2.0,0.0,1.0,0.0,5.0,2.0,190.93359375,6.0,0.0,16.0,0.67,0.0,93.0,1.0,0.0,21.0,2.0,2.4,0.0,1.0,0.0,8.0,0.375,0.0,4.0,4.0,0.5,0.5,1,13.67266541885815
