test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
59,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,21.482421875,26.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.5370309369494009,0.4629690630505992,1,133.3864758278924
106,0,16.0,0.0,3.0,3.0,4.0,5.0,5.0,204.0,2.0,5.0,11.0,13.0,2.0,1.0,0.0,35.0,2.0,2.0,8.52941176470588,1.0,1.0,0.0,0.857142857142857,2.0,3.499878168106079,0.5456495588275454,0.45435044117245454,1,3500121831893.921
117,0,7.0,0.0,2.0,0.5,0.0,4.0,3.0,137.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,5.41463414634146,1.0,1.0,0.0,0.8,3.0,7.0,0.8209314818985038,0.17906851810149613,1,500000000000.0
160,0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,122.0,2.0,8.0,44.0,112.0,0.0,4.0,2.0,28.0,2.0,0.0,1.8595041322314,1.0,1.0,0.0,0.666666666666667,1.0,1.499878168106079,0.5293122694792821,0.4706877305207179,1,3500121831893.921
204,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,75.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,7.499634504318237,5.0,0.0,4.26086956521739,0.0,1.0,0.0,0.0,2.0,6.0,0.5319139697037599,0.4680860302962401,1,3.541199748980919
205,0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,4.5,0.7177776595740073,0.28222234042599276,1,500000000000.0
212,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,2.0,8.0,25.0,0.0,3.0,0.0,9.0,2.0,0.0,1.55555555555556,1.0,1.0,0.0,0.0,3.5,1.0,0.6288994807022223,0.3711005192977777,1,1500000000000.0
624,0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,66.5,1.0,12.0,7.0,182.0,0.0,3.0,27.0,94.0,2.0,0.0,3.60913705583756,0.0,1.0,0.0,0.875,4.0,10.0,0.6314361204284111,0.3685638795715889,1,527.9576419801268
807,0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,19.499755859375,1.0,5.0,14.0,28.0,0.0,1.0,0.0,14.0,2.0,1.0,2.72222222222222,1.0,1.0,0.0,0.666666666666667,2.0,4.0,0.5067379444593132,0.49326205554068675,1,14.670256353908785
3061,0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,109.0,1.0,0.0,13.0,12.0,6.0,2.0,0.0,8.499755859375,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0,0.519441178677289,0.48055882132271105,1,0.8431957846432472
3216,0,7.0,0.0,1.0,0.5,0.0,1.0,1.0,57.0,28.0,0.0,2.0,52.0,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0,0.5382571047163814,0.46174289528361856,1,3500000000000.0
3399,0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,83.0,5.0,16.0,39.0,86.0,0.0,3.0,2.0,30.0,4.0,0.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,3.5,0.5482803295253622,0.45171967047463774,1,2500000000000.0
4195,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,19.0,42.49793088436127,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0,0.5430294132235809,0.4569705867764191,1,2.8672835274638704
4237,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,1.0,18.0,10.495026588439941,0.0,5.0,0.0,16.0,2.0,0.0,1.72549019607843,1.0,1.0,0.0,0.5,4.0,3.0,0.532750894285989,0.467249105714011,1,13.322869759728428
4474,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,14.0,20.49927067756653,0.0,6.0,0.0,12.0,1.0,1.0,1.78125,1.0,1.0,0.0,0.666666666666667,4.0,1.0,0.5880908073835498,0.4119091926164502,1,3.8785678276101416
4637,0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,106.0,1.0,7.0,9.0,176.0,0.0,3.0,2.0,36.0,4.0,0.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,4.5,0.5830861153125924,0.4169138846874077,1,4500000000000.0
5371,0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,65.0,4.0,3.499878168106079,11.0,19.0,1.0,4.0,0.0,20.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0,0.8083217427236439,0.19167825727635615,1,2.36079983265315
5440,0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,71.0,2.0,4.49951171875,9.0,23.0,0.0,3.0,0.0,7.0,2.0,1.0,4.62857142857143,1.0,1.0,0.0,0.0,2.0,5.0,0.6869986474879521,0.31300135251204786,1,1.6865562398815013
5525,0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,35.0,1.0,3.499878168106079,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0,0.5114550582251846,0.48854494177481544,1,2.36079983265315
5528,0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,32.0,1.0,3.0,11.0,29.499945163726807,0.0,3.0,0.0,12.0,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0,0.5116569366631354,0.4883430633368646,1,0.16864118314886944
6488,0,5.5,0.0,1.0,4.0,0.0,0.0,2.0,27.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0,0.7125040759501509,0.28749592404984914,1,4500000000000.0
6739,0,9.0,0.0,1.0,2.0,4.0,1.0,2.0,41.498660922050476,3.0,2.499878406524658,18.0,34.0,1.0,3.0,0.0,17.0,1.0,0.0,4.39622641509434,0.0,1.0,0.0,0.5,2.0,3.0,0.5037445371116138,0.49625546288838623,2,19.714894773105453
