,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
853,1.0,0.0,1.0,22.0,1.0,0.0,2.0,2.0,6.0,4.0,0.07,0.0,87.0,4.0,0.0,12.0,1.0,4.53333333333333,1.0,1.0,1.0,0.277777777777778,0.4,0.0,4.0,0.0
847,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.29,0.0,91.0,4.0,0.0,6.0,1.0,0.714285714285714,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.4
908,8.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,8.0,0.41,0.0,82.0,0.666666666666667,0.0,7.0,1.0,6.62962962962963,1.0,1.0,1.0,1.26666666666667,1.0,0.0,1.0,1.0
915,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.18,1.0,0.0,3.0,0.0,5.0,1.0,3.15384615384615,3.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0
830,3.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,15.0,10.0,0.56,1.0,82.0,4.0,0.0,0.4,1.0,5.0,0.0,1.0,1.0,1.13333333333333,6.0,0.0,2.0,0.0
82,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.51,3.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,19.0,16.0,6.0,0.0,0.0,2.0,2.0
54,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,0.18,3.0,76.0,4.0,0.0,0.4,1.0,2.5,0.0,2.0,1.0,1.375,5.0,0.0,4.0,8.0
43,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.54,0.0,0.0,4.0,0.0,3.0,1.0,1.42857142857143,0.0,1.0,1.0,0.6,5.0,0.0,4.0,0.0
159,4.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,3.0,23.0,0.26,1.0,95.0,4.0,0.0,0.75,1.0,2.03703703703704,0.0,1.0,1.0,0.5,0.0,0.0,4.0,18.0
838,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,14.0,0.12,0.0,0.0,4.0,0.0,9.0,1.0,4.0,1.0,2.0,1.0,0.235294117647059,0.4,0.0,3.0,0.0
80,2.0,1.0,1.0,6.0,0.0,3.0,3.0,2.0,24.0,1.0,0.36,1.0,81.0,9.0,7.0,11.0,1.0,8.78571428571429,2.0,1.0,1.0,1.11111111111111,0.0,0.0,3.0,0.666666666666667
850,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,12.0,0.22,0.0,68.0,4.0,0.0,11.0,1.0,2.66666666666667,1.0,2.0,1.0,0.263157894736842,0.5,0.0,2.0,2.0
852,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,12.0,0.31,1.0,75.0,4.0,0.0,10.0,1.0,2.14285714285714,0.0,1.0,1.0,0.388888888888889,0.25,0.0,2.0,0.0
854,,,,,,,,,,,,,,,,,,,,,,,,,,
925,7.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,7.0,6.0,0.34,1.0,83.0,2.0,0.0,0.714285714285714,1.0,3.26315789473684,1.0,1.0,1.0,1.36363636363636,2.0,0.0,1.0,3.0
928,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,6.0,25.0,0.45,0.0,84.0,2.0,0.0,1.0,1.0,3.3,0.0,0.0,1.0,0.818181818181818,2.0,0.0,2.0,1.0
201,6.0,2.0,2.0,7.0,4.0,4.0,4.0,0.0,17.0,11.0,0.6,0.0,72.0,3.0,0.0,0.5,1.0,4.05263157894737,1.0,1.0,1.0,1.125,6.0,0.0,4.0,4.0
914,,,,,,,,,,,,,,,,,,,,,,,,,,
929,2.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,19.0,5.0,0.36,3.0,100.0,2.0,0.0,0.5,2.0,2.77777777777778,0.0,0.0,1.0,0.59375,2.0,0.0,2.0,2.0
226,1.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,6.0,33.0,0.16,0.0,95.0,4.0,0.0,18.0,1.0,2.05555555555556,0.0,1.0,1.0,0.536585365853659,1.0,0.0,2.0,0.0
1017,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,1.3,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,0.5
1040,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.53,5.0,0.0,2.0,0.0,0.666666666666667,1.0,3.0,1.0,1.0,1.0,1.5,2.0,0.0,1.0,1.0
1046,1.0,1.0,1.0,5.0,1.0,1.0,2.0,7.0,7.0,34.0,0.32,1.0,100.0,0.5,2.0,2.0,1.0,3.37777777777778,0.0,0.0,1.0,0.5,0.0,0.0,2.0,36.0
200,16.0,0.0,1.0,19.0,12.0,2.0,11.0,6.0,26.0,0.5,0.52,0.0,95.0,7.0,0.0,20.0,2.0,3.29896907216495,0.0,0.0,1.0,0.724770642201835,2.0,0.0,2.0,2.0
831,6.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,35.0,22.0,0.63,1.0,87.0,3.0,3.0,5.0,2.0,2.78787878787879,0.0,0.0,1.0,0.519480519480519,0.15,0.0,2.0,0.0
1060,7.0,0.0,1.0,1.0,1.0,2.0,7.0,3.0,7.0,43.0,0.21,1.0,97.0,4.0,0.0,0.666666666666667,1.0,2.6984126984127,0.0,0.0,1.0,0.52112676056338,0.0,0.0,2.0,53.0
205,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.5,0.1,9.0,71.0,4.0,0.0,10.0,1.0,4.42857142857143,1.0,2.0,1.0,0.666666666666667,6.0,0.0,2.0,0.0
326,4.0,0.0,2.0,5.0,5.0,10.0,1.0,0.0,0.0,1.0,0.61,3.0,72.0,8.0,0.0,1.0,1.0,5.4,2.0,1.0,1.0,2.14285714285714,1.0,0.0,3.0,4.0
204,,,,,,,,,,,,,,,,,,,,,,,,,,
384,10.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,1.0,0.3,0.0,72.0,3.0,1.0,2.0,2.0,3.3030303030303,0.0,0.0,1.0,0.810810810810811,0.0,0.0,3.0,22.0
388,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.36,0.0,78.0,4.0,0.0,4.0,1.0,3.5,0.0,1.0,1.0,0.75,9.0,0.0,3.0,0.375
398,1.0,0.0,1.0,4.0,2.0,5.0,2.0,0.0,8.0,22.0,1.26,0.0,86.0,8.0,1.0,9.0,1.0,9.17391304347826,1.0,1.0,1.0,0.444444444444444,2.0,0.0,3.0,0.6
408,5.0,1.0,1.0,5.0,4.0,6.0,3.0,3.0,6.0,11.0,1.15,0.0,72.0,5.0,36.0,0.533333333333333,1.0,17.05,1.0,0.0,1.0,0.666666666666667,2.0,0.0,3.0,13.0
424,7.0,1.0,1.0,2.0,5.0,5.0,8.0,1.0,50.0,9.0,0.38,3.0,78.0,23.0,0.0,0.4,1.0,6.55555555555556,0.0,1.0,1.0,1.25925925925926,2.0,0.0,2.0,0.0
916,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,6.0,9.0,1.0,0.0,4.0,2.0,7.0,11.0,41.0,0.625,0.25,0.0,87.0,0.0,1.0,1.0,2.0,4.02325581395349,0.0,1.0,1.0,0.978723404255319,2.0,0.0,4.0,1.0
437,12.0,8.0,1.0,0.0,0.0,1.0,3.0,1.0,15.0,17.0,0.22,0.0,79.0,2.0,0.0,0.0,2.0,6.73684210526316,0.0,1.0,1.0,1.16666666666667,2.0,0.0,3.0,0.75
377,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,,,
457,3.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,8.0,17.0,0.44,0.0,79.0,26.0,0.0,0.8,2.0,3.55555555555556,0.0,1.0,1.0,0.789473684210526,2.0,0.0,2.0,6.0
459,0.0,1.0,1.0,0.0,0.0,1.0,4.0,7.0,13.0,26.0,0.27,0.0,87.0,15.0,1.0,0.6,2.0,2.65,0.0,1.0,1.0,0.784615384615385,2.0,0.0,5.0,3.0
462,2.0,14.0,1.0,4.0,0.0,2.0,1.0,0.0,16.0,3.0,0.35,0.0,77.0,1.0,0.0,7.0,1.0,7.78947368421053,1.0,1.0,1.0,1.15,1.0,0.0,2.0,1.0
442,,,,,,,,,,,,,,,,,,,,,,,,,,
467,4.0,33.0,1.0,2.0,10.0,1.0,5.0,10.0,45.0,22.0,0.24,0.0,92.0,2.0,1.0,0.95,2.0,6.02272727272727,0.0,1.0,1.0,0.851063829787234,2.0,0.0,4.0,4.0
