,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,effort
59,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,150.0,0.0,3.0,19.0,5.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.00020349423965349
106,16.0,0.0,3.0,3.0,4.0,5.0,5.0,204.0,2.0,5.0,11.0,13.0,2.0,1.0,0.0,35.0,2.0,2.0,8.52941176470588,1.0,1.0,0.0,1.1,2.0,1.0,0.0004132040473416865
117,7.0,0.0,2.0,1.0,0.0,4.0,3.0,137.0,4.0,23.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,5.41463414634146,1.0,1.0,0.0,0.8,3.0,0.0,0.005956365519272144
160,1.0,0.0,1.0,11.0,0.0,0.0,1.0,122.0,2.0,34.0,44.0,112.0,0.0,4.0,2.0,28.0,2.0,0.0,1.8595041322314,1.0,1.0,0.0,0.666666666666667,1.0,5.0,0.012066504129890743
165,0.0,0.0,1.0,0.0,0.0,2.0,2.0,50.0,1.0,4.0,6.0,2.0,0.0,1.0,0.0,10.0,2.0,0.0,4.2,1.0,1.0,0.0,1.0,1.0,2.0,0.0029318123407849894
204,2.0,0.0,1.0,1.0,0.0,2.0,2.0,75.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,18.0,5.0,0.0,4.26086956521739,0.0,1.0,3.0,0.0,1.0,6.0,0.0007860332049685059
205,0.0,4.0,1.0,19.0,0.0,0.0,2.0,53.0,1.0,5.0,11.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,5.0,0.033210787431016464
212,0.0,0.0,1.0,0.0,0.0,0.0,21.0,22.0,1.0,2.0,8.0,25.0,0.0,3.0,0.0,9.0,2.0,0.0,1.55555555555556,1.0,1.0,0.0,0.0,5.0,1.0,0.12200616158090327
624,1.0,2.0,1.0,1.0,0.0,10.0,1.0,1632.0,1.0,12.0,7.0,182.0,0.0,3.0,27.0,94.0,2.0,0.0,3.60913705583756,0.0,1.0,0.0,0.0,4.0,10.0,8.803693292147585e-07
913,0.0,0.0,1.0,1.0,0.0,2.0,2.0,65.0,1.0,2.0,9.0,15.0,0.0,1.0,103.0,2.0,1.0,2.0,2.95,0.0,1.0,0.0,0.6,2.0,2.0,0.00032874252249170954
3061,4.0,3.0,1.0,1.0,0.0,7.0,5.0,109.0,1.0,0.0,13.0,12.0,6.0,2.0,0.0,11.0,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0,0.0005160111755024843
3399,0.0,3.0,1.0,1.0,0.0,0.0,2.0,83.0,5.0,16.0,39.0,86.0,0.0,3.0,2.0,30.0,3.0,0.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,6.0,5.8411918822720565e-05
4185,1.0,0.0,1.0,1.0,0.0,1.0,3.0,58.0,1.0,7.0,2.0,13.0,0.0,1.0,4.0,23.0,2.0,0.0,7.85714285714286,1.0,1.0,0.0,1.0,2.0,2.0,0.00011816159802069404
4195,0.0,0.0,1.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,19.0,42.0,0.0,5.0,2.0,16.0,5.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0,0.005814780645945206
4237,0.0,0.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,1.0,18.0,50.0,0.0,5.0,0.0,16.0,2.0,0.0,8.0,1.0,1.0,0.0,0.5,4.0,3.0,0.003515506949861358
4637,1.0,0.0,1.0,10.0,2.0,0.0,1.0,106.0,1.0,7.0,9.0,176.0,0.0,3.0,2.0,36.0,4.0,0.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,9.0,0.0011404161909754906
5371,1.0,5.0,1.0,2.0,0.0,1.0,3.0,65.0,4.0,7.0,11.0,19.0,1.0,4.0,0.0,20.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,6.0,4.0,0.003854479768285124
5528,8.0,0.0,1.0,3.0,0.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,12.0,2.0,0.0,1.48484848484848,0.0,1.0,3.0,0.0,3.0,2.0,0.01591240133363392
6488,10.0,0.0,1.0,4.0,0.0,0.0,3.0,27.0,1.0,2.0,4.0,2.0,0.0,9.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0,0.017017242096608043
6739,9.0,0.0,1.0,2.0,4.0,1.0,2.0,98.0,3.0,1.0,18.0,34.0,1.0,3.0,0.0,17.0,1.0,0.0,4.39622641509434,0.0,1.0,0.0,0.5,2.0,3.0,0.003487080549068766
7400,16.0,0.0,2.0,0.0,0.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,9.15,1.0,1.0,0.0,0.0,4.0,5.0,1.6476276392118905e-06
