,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
3061,4,0,1,1,0,5,5,109,1,0,13,12,6,2,0,11,2,2,10.0,1,1,0,0.25,4,3
205,0,4,1,1,0,0,2,53,1,3,13,35,0,3,0,20,3,0,2.88636363636364,1,1,0,1.0,2,5
165,0,0,1,0,0,2,4,2,1,1,6,6,0,1,0,10,2,0,4.2,1,2,0,1.0,1,50
212,0,0,1,0,0,0,1,22,1,2,0,8,0,9,0,25,2,0,1.55555555555556,1,1,3,0.0,5,1
204,2,0,1,1,0,2,2,75,3,8,5,13,0,2,0,18,5,0,4.26086956521739,0,1,0,0.0,2,6
160,1,0,1,2,0,0,1,122,2,8,44,112,0,4,2,28,2,0,1.8595041322314,1,1,0,0.666666666666667,1,0
913,0,0,1,1,0,1,2,65,1,5,9,15,0,1,103,2,2,2,2.95,0,1,0,0.6,2,2
624,1,2,1,1,0,8,1,1632,1,3,7,182,0,3,27,94,2,0,3.60913705583756,0,1,0,0.875,4,10
4185,1,0,1,1,0,1,3,47,1,7,3,13,0,1,4,23,2,0,7.85714285714286,1,1,0,1.0,2,2
3399,1,3,1,1,0,0,2,83,5,3,39,86,0,3,2,30,4,0,3.19811320754717,0,1,0,0.75,6,6
5371,1,0,1,2,0,1,3,65,4,7,1,19,1,4,0,20,2,0,6.25925925925926,0,1,0,1.0,2,4
6488,10,0,1,4,0,0,2,27,1,2,2,2,0,3,0,9,1,0,5.14285714285714,1,1,0,0.5,3,2
5528,0,0,1,3,0,0,1,32,1,3,11,21,0,3,0,12,2,0,1.48484848484848,0,1,0,0.0,3,2
4195,0,0,1,1,0,0,1,43,1,0,8,51,0,5,2,16,2,0,1.7843137254902,1,1,0,1.0,2,3
4237,0,0,1,1,0,0,1,49,1,1,18,50,0,5,0,4,2,0,1.72549019607843,1,1,0,0.5,4,3
6739,9,0,1,2,4,1,2,98,3,10,1,34,1,3,0,17,1,0,4.39622641509434,0,1,0,0.5,2,3
117,7,0,2,1,0,4,1,137,4,9,13,25,1,3,0,19,2,0,5.41463414634146,1,1,0,0.25,3,7
7400,16,0,2,0,0,6,5,365,3,0,1,4,2,2,0,2,2,2,9.15,1,1,0,0.666666666666667,4,5
106,16,0,3,3,4,5,5,44,2,5,11,13,2,1,0,35,2,2,8.52941176470588,1,1,0,0.857142857142857,2,7
4637,1,0,1,0,2,0,1,36,1,7,9,176,0,3,2,36,4,0,2.54891304347826,1,1,0,0.4,2,9
59,0,7,1,1,0,2,1,417,26,2,10,150,0,3,19,14,2,0,2.19318181818182,0,0,0,0.5,1,2
