test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
42,0,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,34.0,0.666666666666667,0.0,2.0,5.0,0.5282734923155894,0.47172650768441055,1
62,0,1.0,1.0,1.0,6.0,0.0,0.7,0.0,91.0,1.0,19.0,15.0,3.0,8.25174825174825,0.0,4.52447552447552,1.0,1.0,0.56,0.0,43.0,0.272727272727273,0.0,4.0,15.0,0.725564581959695,0.27443541804030497,1
64,0,16.0,2.0,12.0,2.0,7.0,0.29,0.0,95.0,3.0,12.0,15.0,3.0,4.72222222222222,0.0,5.05555555555556,1.0,1.0,1.0,0.0,199.0,0.3,0.0,3.0,15.0,0.6452665360245737,0.3547334639754262,1
65,0,1.0,1.0,1.0,4.0,0.0,0.53,0.0,88.0,2.0,1.0,9.0,2.0,17.8736842105263,0.0,3.95789473684211,1.0,1.0,0.5,0.0,48.0,0.571428571428571,0.0,5.0,7.0,0.5220911980184917,0.47790880198150837,2
73,0,0.0,2.0,9.0,5.0,0.0,0.63,0.0,77.0,3.0,8.0,13.0,2.0,4.78947368421053,0.0,3.84210526315789,0.0,1.0,0.785714285714286,0.0,93.0,0.5,0.0,1.0,3.0,0.5708540189505256,0.4291459810494745,1
177,0,1.0,2.0,23.0,5.0,0.0,0.63,0.0,92.0,1.0,2.0,17.0,2.0,20.9672131147541,0.0,4.32786885245902,1.0,1.0,0.650793650793651,0.0,6.0,0.333333333333333,0.0,2.0,10.0,0.5109167315885379,0.4890832684114621,1
247,0,9.0,1.0,8.0,4.0,21.0,0.4,0.0,92.0,2.0,0.0,15.0,2.0,5.32835820895522,0.0,6.41791044776119,1.0,1.0,0.987179487179487,0.0,34.0,0.25,0.0,3.0,6.0,0.5537449384999036,0.4462550615000964,2
1125,0,1.0,1.0,64.0,7.0,0.0,0.4,0.0,97.0,2.0,0.0,123.0,1.0,9.41538461538462,0.0,12.5692307692308,1.0,1.0,1.78571428571429,0.0,1.0,0.571428571428571,0.0,2.0,10.0,0.5374296075881952,0.4625703924118047,1
1126,0,0.0,1.0,64.0,6.0,0.0,0.67,0.0,0.0,1.0,0.0,15.0,1.0,4.72307692307692,0.0,7.10769230769231,1.0,1.0,0.434782608695652,0.0,41.0,0.333333333333333,0.0,3.0,4.0,0.5536849573199264,0.4463150426800736,1
1127,0,0.0,1.0,15.0,5.0,0.0,0.73,0.0,0.0,1.0,0.0,1.0,1.0,3.4375,0.0,5.375,1.0,1.0,0.944444444444444,0.0,15.0,0.5,0.0,3.0,1.0,0.6174714490436635,0.3825285509563366,1
