test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
852,0,4.0,6.0,1.0,34.0,9.0,0.0,143.0,36.0,0.0,8.0,0.23,0.0,100.0,2.0,17.0,146.0,2.0,4.25757575757576,0.0,1.0,1.0,0.339805825242718,0.0,152.0,1.0,0.0,1.0,0.0,0.6228417154876928,0.3771582845123072,1
233,0,1.0,0.0,1.0,3.0,29.0,0.0,50.0,136.0,1.0,6.0,0.13,0.0,93.0,2.0,0.0,16.0,2.0,3.325,1.0,1.0,1.0,0.857142857142857,0.0,142.0,1.0,0.0,3.0,4.0,0.6386440554070708,0.36135594459292925,1
237,0,3.0,1.0,1.0,11.0,26.0,0.0,745.0,5.0,1.0,3.0,0.1,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,0.0,124.0,0.363636363636364,0.0,4.0,6.0,0.5648524028227947,0.43514759717720536,1
285,0,92.0,38.0,1.0,12.0,19.0,0.0,144.0,16.0,2.0,35.0,0.1,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,0.0,2.0,0.5,0.0,5.0,5.0,0.6436850138397702,0.3563149861602298,1
289,0,21.0,0.0,1.0,1.0,7.0,0.0,745.0,1.0,2.0,3.0,0.12,0.0,78.0,5.0,0.0,21.0,1.0,4.890625,0.0,1.0,1.0,0.681818181818182,0.0,906.0,0.894736842105263,0.0,4.0,6.0,0.5385969684500056,0.46140303154999435,1
357,0,6.0,0.0,2.0,0.0,41.0,0.0,45.0,136.0,0.0,6.0,0.09,1.0,66.0,1.0,0.0,22.0,1.0,4.8695652173913,1.0,2.0,1.0,1.06122448979592,0.0,811.0,0.6,0.0,4.0,5.0,0.6352217467276424,0.3647782532723576,1
359,0,33.0,0.0,2.0,27.0,22.0,0.0,138.0,3.0,0.0,4.0,0.11,0.0,97.0,4.0,0.0,17.0,2.0,3.88461538461538,0.0,1.0,1.0,0.712962962962963,0.0,5928.0,1.0,0.0,3.0,4.0,0.7104526762189624,0.2895473237810376,1
363,0,6.0,0.0,1.0,5.0,9.0,1.0,745.0,8.0,6.0,14.0,0.19,0.0,96.0,4.0,3.0,29.0,2.0,6.52252252252252,0.0,1.0,1.0,0.725,0.0,1068.0,0.714285714285714,0.0,3.0,5.0,0.5280092030930593,0.4719907969069406,1
929,0,12.0,9.0,1.0,3.0,36.0,2.0,206.0,136.0,0.0,2.0,0.3,0.0,80.0,4.0,0.0,21.0,2.0,4.13698630136986,1.0,1.0,1.0,0.636363636363636,0.0,58.0,0.777777777777778,0.0,1.0,2.0,0.6441345737366151,0.3558654262633849,1
367,0,11.0,0.0,1.0,3.0,9.0,0.0,42.0,0.0,0.0,1.0,0.13,0.0,85.0,3.0,0.0,9.0,2.0,2.0,0.0,1.0,1.0,0.385964912280702,0.0,85.0,0.8,0.0,3.0,3.0,0.7580143634199059,0.24198563658009425,1
