test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba_col0,proba_col1,y0,y_cf,class0,class1,target_label,num_features_changed
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.9672670067365146,1.0,0.6325826644897461,0.3674173653125763,1,0,0,1,0,1
78,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,849.0,7.0,21.0,3.280884861800587,0.75,0.0,97.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,1.0,0.984290689321337,4.0,0.5065773129463196,0.4934226870536804,1,0,0,1,0,2
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.9672670067058979,4.0,0.5114383101463318,0.4885616898536682,1,0,0,1,0,1
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,24.0,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,0.0,1.0,0.0,36.0,0.9672670067415843,4.0,0.8985694646835327,0.10143053531646729,1,0,0,1,0,1
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,13.0,3.0,3.64705882352941,1.0,0.0,0.0,0.0,0.9672670067595771,3.0,0.5226089954376221,0.47739100456237793,1,0,0,1,0,1
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,53.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.9672670066414049,5.0,0.8241768479347229,0.1758231371641159,1,0,0,1,0,1
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,0.6041869818727719,1.0,1.0,5.0,0.2,0.0,75.0,1.0,0.0,10.0,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0,0.6077466011047363,0.39225342869758606,1,0,0,1,0,1
104,0,0.45946617430308834,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,3.280884861946106,0.1,0.0,87.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,1.0,0.0,0.1926079615659546,0.470715835140998,2.0,0.5052956342697144,0.49470436573028564,1,0,0,1,0,3
134,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,65.0,2.0,8.11940298507463,0.0,0.0,0.0,378.0,0.9672670066938449,5.0,0.8648216128349304,0.13517840206623077,1,0,0,1,0,1
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,155.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,1.0,0.9672670066427353,1.0,0.6086479425430298,0.3913520574569702,1,0,0,1,0,1
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,4.97368421052632,0.0,1.0,0.0,37.0,0.9672670067193945,3.0,0.5662853717803955,0.4337146282196045,1,0,0,1,0,1
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,121.0,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,2.1241112949792296,2.0,3.92307692307692,1.0,1.0,0.0,13.0,0.495867768595041,2.0,0.48984235525131226,0.5101576447486877,0,1,0,1,1,1
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,0.7905091345310211,0.23,0.0,82.0,1.0,3.0,28.0,2.0,4.48275862068965,0.0,0.0,0.0,13.0,0.326653306613226,2.0,0.6734194159507751,0.32658058404922485,1,0,0,1,0,1
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,22.0,2.0,2.75,0.0,0.0,0.0,7.0,0.9672670067382076,2.0,0.8344794511795044,0.1655205637216568,1,0,0,1,0,1
202,0,0.0,32.0,1.0,0.0,0.0,4.0,1.0,189.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,6.0,1.0,4.17073170731707,0.0,0.0,0.0,0.19260796159505844,0.715277777777778,0.0,0.15081840753555298,0.849181592464447,0,1,0,1,1,1
207,0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,61.0,1.0,0.0,3.0,0.65,0.0,61.0,2.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,0.9672670066733493,0.0,0.7865127325057983,0.21348728239536285,1,0,0,1,0,1
213,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,10.0,0.17,0.0,69.0,3.0,0.0,0.15865867580578197,1.0,9.93333333333333,1.0,1.0,0.0,0.1926079615659546,0.44578313253012,0.0,0.5259953737258911,0.4740046262741089,1,0,0,1,0,2
251,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,170.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,28.0,1.0,2.63529411764706,1.0,1.0,0.0,10.0,0.9672670066630531,3.0,0.8872654438018799,0.11273457854986191,1,0,0,1,0,1
263,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,29.0,3.0,0.0,6.0,0.32,0.0,72.0,1.0,0.0,9.0,2.0,2.63636363636364,0.0,1.0,0.0,0.19260796161835403,0.547445255474453,2.0,0.06535041332244873,0.9346495866775513,0,1,0,1,1,1
267,0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,132.0,4.0,9.0,14.0,0.24,0.0,89.0,2.0,2.0,26.0,2.0,4.025,0.0,0.0,0.0,39.0,0.967267006724218,2.0,0.76487135887146,0.23512861132621765,1,0,0,1,0,1
268,0,14.0,5.0,1.0,3.0,0.0,1.0,3.0,200.0,15.0,7.0,29.0,0.16,0.0,94.0,2.0,1.0,49.0,3.0,4.28712871287129,0.0,0.0,0.0,186.0,0.9672670066603477,3.0,0.8630088567733765,0.13699112832546234,1,0,0,1,0,1
275,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,37.0,1.0,7.0,19.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.33802816901408,0.0,0.0,0.0,18.0,0.9672670067213808,3.0,0.6697974801063538,0.33020251989364624,1,0,0,1,0,1
282,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.0,6.0,2.0,0.7905091344873654,0.15,1.0,85.0,2.0,1.0,40.0,2.0,3.23076923076923,0.0,0.0,0.0,40.0,0.416531604538088,3.0,0.6324191093444824,0.36758092045783997,1,0,0,1,0,1
283,0,3.0,0.0,2.0,1.0,0.0,1.0,4.0,34.0,1.1649503111839294,4.0,0.6348606048850343,0.14,1.0,81.0,2.0,1.0,26.0,1.0,3.92857142857143,0.0,1.0,0.0,0.0,0.586538461538462,2.0,0.5558686256408691,0.44413137435913086,1,0,0,1,0,2
284,0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,96.0,3.0,0.13427229969238397,13.0,0.28,0.0,90.0,2.0,0.0,26.0,2.0,2.91891891891892,0.0,1.0,0.0,17.0,0.459016393442623,2.0,0.668875515460968,0.331124484539032,1,0,0,1,0,1
299,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,173.0,4.0,13.0,38.0,0.16,0.0,95.0,1.0,1.0,71.0,4.0,3.15957446808511,0.0,1.0,0.0,162.0,0.9672670067828673,3.0,0.8303443193435669,0.16965565085411072,1,0,0,1,0,1
302,0,2.0,0.0,1.0,1.0747740865917876,0.0,0.1986919566988945,2.0,60.0,3.0,0.13427229966328014,16.0,0.2,0.0,92.0,1.0,2.0,19.0,3.0,5.15909090909091,1.0,1.9431113600730896,0.0,15.0,0.439320388349515,2.0,0.534743070602417,0.4652568995952606,1,0,0,1,0,4
432,0,4.0,6.0,1.0,18.0,0.0,0.0,2.0,56.0,3.0,0.13427229966328014,19.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.96491228070175,0.0,1.0,0.0,4.101896524545737,0.7586934269851748,3.0,0.5804227590560913,0.4195772409439087,1,0,0,1,0,3
455,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,127.0,1.0,3.0,9.0,0.29,0.0,89.0,2.0,0.0,18.0,2.0,4.22222222222222,0.0,1.0,0.0,0.0,0.9672670067193239,0.0,0.7440248727798462,0.2559751570224762,1,0,0,1,0,1
