,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1623,2,1,7,79,0,0,0.49,0,91,3,0,19,1,8.75,3,2,1,1.6,0,0.5,0,2,1
1945,10,1,3,255,0,4,0.03,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.4375,0,3,2
2241,5,2,1,41,0,8,0.03,0,80,3,0,28,2,4.38461538461539,0,0,1,1.5625,0,0.5,0,2,0
499,2,1,1,32,0,3,0.11,0,89,2,0,21,3,4.09090909090909,0,0,1,1.42857142857143,0,0.75,0,1,7
565,10,2,4,122.0,0,0,0.25,0,94,2,1,30,2,2.625,0,1,1,1.75555555555556,0,0.4,0,3,1
1581,1,3,12,66,1,2,0.25,10,50,3,0,30,1,30.25,2,2,1,2.66666666666667,0,0.0,0,2,1
1958,4,1,3,116,1,3,0.19,3,88,2,1,43,3,4.76,0,1,1,1.32142857142857,0,0.0,0,8,10
1798,0,1,3,37,1,0,0.45,0,50,2,0,8,1,3.0,1,1,1,1.0,0,0.666666666666667,0,3,0
1720,0,1,4,63,0,6,0.34,1,83,3,0,10,1,5.55555555555556,1,1,1,1.45454545454545,0,0.666666666666667,0,2,1
1851,1,1,1,41,0,2,0.1,0,30,2,0,24,2,4.25,0,0,1,1.16666666666667,0,0.8,0,2,1
1939,2,1,1,122.0,0,2,1.54,0,84,2,0,2,2,0.896551724137931,0,0,1,0.183333333333333,0,0.0,0,1,1
834,0,4,3,39.0,0,11,0.22,0,48,1,0,5,2,7.75,0,2,1,2.0,0,1.0,0,4,2
1789,0,1,0,29,2,1,0.03,1,0,2,0,9,2,2.5,1,2,1,0.625,0,0.666666666666667,0,3,0
1806,0,1,0,29,1,7,0.03,2,0,2,0,8,2,4.33333333333333,1,2,1,0.5,0,0.666666666666667,0,3,0
1853,4,1,1,39.0,0,3,0.03,0,66,2,0,27,2,4.41176470588235,0,0,1,1.17391304347826,0,0.666666666666667,0,1,1
1899,3,1,1,53,0,1,0.03,0,80,1,0,1,1,3.26666666666667,1,1,1,0.882352941176471,0,0.5,0,2,2
1998,2,2,1,34,0,5,0.03,0,100,2,0,9,2,2.91666666666667,0,1,1,1.26666666666667,0,0.75,0,3,1
645,16,1,0,40,0,15,0.08,0,88,3,0,18,1,4.0,1,1,1,1.23529411764706,0,0.0,0,1,1
376,8,2,2,28.5,0,22,0.2,0,100,2,0,25,3,4.5,0,1,0,1.3448275862069,0,0.636363636363636,0,6,0
1802,11.0,1,0,38,2,3,0.0,3.5,50,2,0,5,2,3.57142857142857,1,1,1,1.4,0,0.428571428571429,0,2,1
1817,3,1,0,12.5,0,11,0.03,22.0,86,1,0,8,2,2.64285714285714,0,1,1,1.3125,0,0.428571428571429,1,2,1
1855,7,1,1,12.5,2,28,0.0,22.0,90,1,0,4,1,3.70833333333333,1,1,1,0.75,0,0.5571428571428569,1,1,0
1922,77.5,1,2,12.5,0,0,0.03,0,97,1,0,2,2,5.47619047619048,1,1,1,1.03571428571429,0,0.428571428571429,0,2,1
1933,12,1,0,12.5,2,7,0.03,22.0,98,1,2,13,2,0.628712871287129,0,0,1,0.189320388349515,0,0.428571428571429,1,1,1
