test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
26,0,6.0,12.0,0.0,264.0,0.0,383.0,38.54,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.5,4.0,6.0,2.0,0.6931440386331904,0.3068559613668096
1581,0,1.0,3.0,12.0,66.0,1.0,2.0,0.25,10.0,50.0,3.0,0.0,30.0,1.0,30.25,35.0,2.0,1.0,2.66666666666667,0.0,0.2,0.0,2.0,1.0,0.5211664482332947,0.47883355176670533
1604,0,1.0,1.0,4.0,51.0,2.0,4.0,1.27,0.0,79.0,1.0,1.0,222.0,1.0,2.16666666666667,1.0,1.0,1.0,0.875,0.0,0.666666666666667,0.0,2.0,1.0,0.7383569568866587,0.2616430431133413
1605,0,1.0,1.0,5.0,65.0,2.0,4.0,13.44,0.0,85.0,1.0,1.0,4.0,1.0,2.28571428571429,2.0,0.0,1.0,1.8,0.0,0.666666666666667,0.0,2.0,1.0,0.5333987506317073,0.4666012493682927
1623,0,2.0,1.0,7.0,79.0,0.0,0.0,0.49,3.0,91.0,2.0,0.0,19.0,1.0,8.75,3.0,2.0,1.0,3.9,0.0,0.5,0.0,2.0,1.0,0.5176056723252287,0.48239432767477136
1650,0,0.0,1.0,1.0,24.0,0.0,0.0,0.55,5.0,0.0,2.0,0.0,4.0,1.0,7.9,17.0,7.0,2.0,1.0,1.0,0.666666666666667,0.0,2.0,0.0,0.8210478940123781,0.17895210598762187
1720,0,2.0,1.0,4.0,63.0,0.0,6.0,27.2,1.0,83.0,3.0,0.0,10.0,1.0,5.55555555555556,1.0,1.0,1.0,1.45454545454545,0.0,0.666666666666667,0.0,2.0,1.0,0.8081627243801075,0.19183727561989244
1789,0,0.0,1.0,0.0,29.0,2.0,1.0,4.62,1.0,0.0,2.0,0.0,9.0,2.0,2.5,1.0,2.0,1.0,0.625,0.0,0.1,0.0,3.0,0.0,0.9958558394972162,0.0041441605027837366
1793,0,0.0,1.0,0.0,29.0,1.0,3.0,0.43,2.0,0.0,2.0,0.0,24.0,2.0,3.0,1.0,2.0,1.0,0.5,0.0,0.666666666666667,0.0,3.0,0.0,0.5955436324033982,0.4044563675966017
1794,0,0.0,1.0,0.0,29.0,1.0,3.0,0.42,2.0,0.0,2.0,0.0,24.0,2.0,3.0,1.0,2.0,1.0,0.5,0.0,0.666666666666667,0.0,3.0,0.0,0.5955436324033982,0.4044563675966017
