test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
26,0,6.0,1.0,0.0,70.453857421875,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.15380859375,4.0,6.0,16.0,0.5677316688814624,0.4322683311185376,2,346191406250.0
1581,0,1.0,3.0,12.0,66.0,1.0,2.0,0.25,10.0,50.0,3.0,0.0,30.0,1.0,30.25,2.0,2.0,1.0,2.66666666666667,0.0,0.15380859375000003,0.0,2.0,1.0,0.978743042995673,0.021256957004326945,1,246191406249.99997
1604,0,1.0,1.0,4.0,51.0,2.0,4.0,1.27,0.0,79.0,1.0,1.0,4.0,1.0,2.16666666666667,1.0,1.0,1.0,0.875,0.0,0.5857109228769941,0.0,2.0,1.0,0.6194597531886747,0.3805402468113253,1,80955743789.67285
1605,0,1.0,1.0,5.0,65.0,2.0,4.0,1.81,0.0,85.0,1.0,1.0,4.0,1.0,2.28571428571429,2.0,0.0,1.0,0.666666666666667,0.0,0.15380859375000006,0.0,2.0,1.0,0.9726300388893059,0.027369961110694094,1,512858072916.66693
1623,0,2.0,1.0,7.0,79.0,0.0,0.0,0.49,3.0,91.0,3.0,0.0,19.0,1.0,8.75,3.0,2.0,1.0,1.6,0.0,0.15380859375,0.0,2.0,1.0,0.9683325244286258,0.03166747557137422,1,346191406250.0
1650,0,0.0,1.0,1.0,24.0,0.0,0.0,0.55,5.0,0.0,2.0,0.0,4.0,1.0,3.5,3.0,7.0,2.0,1.0,1.0,0.5857109228769941,0.0,2.0,0.0,0.7519473303719649,0.2480526696280351,1,80955743789.67285
1720,0,2.0,1.0,4.0,63.0,0.0,6.0,0.34,1.0,83.0,3.0,0.0,10.0,1.0,5.55555555555556,1.0,1.0,1.0,1.45454545454545,0.0,0.5214280684789024,0.0,2.0,1.0,0.5752643781438775,0.4247356218561224,1,145238598187.76453
1789,0,0.0,1.0,0.0,29.0,2.0,1.0,0.33,1.0,0.0,2.0,0.0,9.0,2.0,2.5,1.0,2.0,1.0,0.625,0.0,0.5214280684789024,0.0,3.0,0.0,0.5196608913824223,0.4803391086175776,1,145238598187.76453
1793,0,0.0,1.0,0.0,29.0,1.0,3.0,0.43,2.0,0.0,2.0,0.0,5.0,2.0,3.0,1.0,2.0,1.0,0.5,0.0,0.5857109228769941,0.0,3.0,0.0,0.7976647635008574,0.2023352364991426,1,80955743789.67285
1794,0,0.0,1.0,0.0,29.0,1.0,3.0,0.42,2.0,0.0,2.0,0.0,5.0,2.0,3.0,1.0,2.0,1.0,0.5,0.0,0.5857109228769941,0.0,3.0,0.0,0.7976647635008574,0.2023352364991426,1,80955743789.67285
1795,0,0.0,1.0,0.0,29.0,1.0,7.0,0.36,2.0,0.0,2.0,0.0,5.0,2.0,4.33333333333333,1.0,2.0,1.0,0.5,0.0,0.5857109228769941,0.0,2.0,1.0,0.7422966787514649,0.25770332124853507,1,80955743789.67285
1798,0,1.0,1.0,3.0,37.0,1.0,0.0,0.45,1.0,50.0,2.0,0.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.9375152389208476,0.0,3.0,0.0,0.8685527565177237,0.1314472434822763,1,270848572254.18066
1799,0,1.0,1.0,3.0,45.0,1.0,2.0,0.51,1.0,50.0,2.0,0.0,8.0,1.0,3.66666666666667,1.0,2.0,1.0,1.0,0.0,0.5214280684789024,0.0,3.0,0.0,0.6226592501903128,0.37734074980968724,1,145238598187.76453
1802,0,0.0,1.0,0.0,38.0,2.0,3.0,0.29,0.0,50.0,2.0,0.0,5.0,2.0,3.57142857142857,1.0,1.0,1.0,1.4,0.0,0.5857109228769941,0.0,2.0,1.0,0.5508096036049436,0.4491903963950564,1,80955743789.67285
1805,0,0.0,1.0,0.0,29.0,1.0,3.0,0.39,2.0,0.0,2.0,0.0,8.0,2.0,3.0,1.0,2.0,1.0,0.833333333333333,0.0,0.5857109228769941,0.0,3.0,0.0,0.5591920622546969,0.4408079377453032,1,80955743789.67285
