,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
26,,,,,,,,,,,,,,,,,,,,,,,
1958,4,1,3,116,1,3,0.19,3,88,2,1,43,3,4.76,0,1,1,1.32142857142857,0,0.0,0,8,10
499,2,1,1,32,0,3,0.11,3,89,2,0,21,3,4.09090909090909,0,0,1,1.42857142857143,0,0.0,0,1,7
1623,2,1,7,79,0,0,0.49,3,91,3,0,19,1,8.75,3,2,1,1.6,0,0.0,0,2,1
1650,0,1,1,24,0,0,0.55,5,0,2,0,4,1,3.5,3,7,2,1.0,1,0.0,0,2,0
2049,7,4,9,166,0,1,0.44,4,80,2,0,29,2,4.6,2,2,1,2.5,0,0.0,0,3,2
831,,,,,,,,,,,,,,,,,,,,,,,
1720,2,1,4,63,0,6,0.34,1,83,3,0,10,1,5.55555555555556,1,1,1,1.45454545454545,0,0.0,0,2,1
851,,,,,,,,,,,,,,,,,,,,,,,
1789,0,1,0,29,2,1,0.33,1,0,2,0,9,2,2.5,1,2,1,0.625,0,0.0,0,3,0
984,0,1,1,34,0,0,0.42,1,0,3,0,5,1,2.75,0,1,1,0.9,0,0.0,0,3,0
1955,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,
834,1,4,3,2,0,11,0.22,2,48,1,0,5,2,7.75,0,2,1,2.0,0,1.0,0,4,2
1798,1,1,3,37,1,0,0.45,1,50,2,0,8,1,3.0,1,1,1,1.0,0,0.0,0,3,0
1805,0,1,0,29,1,3,0.39,2,0,2,0,8,2,3.0,1,2,1,0.833333333333333,0,0.0,0,3,0
1806,0,1,0,29,1,7,0.34,2,0,2,0,8,2,4.33333333333333,1,2,1,0.5,0,0.0,0,3,0
1794,0,1,0,29,1,3,0.42,0,0,2,0,5,2,3.0,1,2,1,0.5,0,0.666666666666667,0,3,0
1915,0,1,2,110,0,3,0.53,0,84,1,0,5,1,3.63636363636364,1,1,1,0.457142857142857,0,0.0,0,2,1
1922,0,1,2,6,0,0,0.33,1,97,1,0,2,2,5.47619047619048,1,1,1,1.03571428571429,0,0.6,0,2,1
1933,12,1,0,46,2,7,0.05,0,98,1,2,13,2,0.628712871287129,0,0,1,0.189320388349515,0,0.0,0,1,1
1937,0,1,1,6,0,0,1.67,0,0,1,0,1,2,0.2,0,0,1,0.230769230769231,0,1.0,0,2,0
1899,3,1,1,53,0,1,0.3,0,80,1,0,1,1,3.26666666666667,1,1,1,0.882352941176471,0,0.0,0,2,2
1939,,,,,,,,,,,,,,,,,,,,,,,
565,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,
1581,1,3,12,19.0,1,2,0.25,10,50,3,0,30,1,30.25,2,2,1,2.66666666666667,0,0.4,0,2,1
1604,,,,,,,,,,,,,,,,,,,,,,,
1605,,,,,,,,,,,,,,,,,,,,,,,
1793,0,1,0,15.0,1,3,0.43,2,0,2,0,5,2,3.0,1,2,1,0.5,0,0.666666666666667,0,3,0
1795,0,1,0,15.0,1,7,0.36,2,0,2,0,5,2,4.33333333333333,1,2,1,0.5,0,0.666666666666667,0,2,1
1814,6,1,2,15.0,0,3,0.37,1,93,2,0,29,3,2.96,0,0,1,1.18518518518519,0,0.666666666666667,0,2,1
1817,3,1,0,20.0,0,11,0.22,0,86,1,0,8,2,2.64285714285714,0,1,1,1.3125,0,0.8,0,2,1
1850,,,,,,,,,,,,,,,,,,,,,,,
1851,1,1,1,17.0,0,2,0.1,3,30,2,0,24,2,4.25,0,0,1,1.16666666666667,0,0.8,0,2,1
1853,4,1,1,12,0,3,0.09,3,66,2,0,27,2,4.41176470588235,0,0,1,1.17391304347826,0,0.666666666666667,0,1,1
1938,2,1,6,17.0,0,0,0.73,0,86,1,0,3,2,3.30769230769231,0,1,1,0.866666666666667,0,0.666666666666667,0,2,1
1944,0,2,1,12,0,7,0.38,0,86,1,0,3,1,4.05,1,1,1,0.608695652173913,0,0.6,0,2,0
1945,10,1,3,15.0,0,4,0.21,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.4375,0,3,2
305,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,
1965,4,2,2,14.0,0,5,0.2,2,86,2,0,33,2,4.0,0,1,1,1.38888888888889,0,0.777777777777778,0,3,6
1966,1,1,4,15.0,0,6,0.23,4,88,3,0,17,2,5.33333333333333,0,1,1,1.35714285714286,0,0.8,0,5,10
429,,,,,,,,,,,,,,,,,,,,,,,
1998,2,2,1,16.0,0,5,0.2,0,100,2,0,9,2,2.91666666666667,0,1,1,1.26666666666667,0,0.75,0,3,1
645,16,1,0,14.0,0,15,0.08,0,88,3,0,18,1,4.0,1,1,1,1.23529411764706,0,0.5,0,1,1
677,,,,,,,,,,,,,,,,,,,,,,,
766,2,1,4,13.0,0,2,0.42,0,100,1,0,37,2,6.475,0,1,0,0.840909090909091,0,0.875,0,5,7
1059,2,1,5,15.0,2,8,0.26,6,61,2,0,14,1,5.0,2,1,1,1.2,0,0.75,0,3,3
2128,0,1,0,15.0,2,5,0.27,0,81,2,0,4,2,1.73333333333333,0,1,1,0.166666666666667,0,0.666666666666667,0,1,0
1280,0,2,0,16.0,0,40,0.16,0,40,1,0,26,2,4.14285714285714,2,2,1,0.681818181818182,0,0.8,0,5,3
2241,5,2,1,13.0,0,8,0.17,1,80,3,0,28,2,4.38461538461539,0,0,1,1.5625,0,0.5,0,2,0
1431,,,,,,,,,,,,,,,,,,,,,,,
1438,2,1,0,14.0,1,14,0.17,0,97,2,2,5,2,1.47058823529412,0,0,1,0.2625,0,1.0,0,3,1
