,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1795,0,1,0,29,1,7,0.36,0,0,2,0,5,2,4.33333333333333,1,2,1,0.5,0,0.666666666666667,0,2,1
984,0,1,1,34,0,0,0.42,1,0,3,0,2,1,2.75,0,1,1,0.9,0,1.0,0,3,0
2241,5,2,1,32.5,0,8,0.17,0,80,3,0,28,2,4.38461538461539,0,0,1,1.5625,0,0.5,0,2,0
565,10,2,4,122.0,0,0,0.25,0,94,2,1,30,2,2.625,0,1,1,1.75555555555556,0,0.4,0,3,1
1899,3,1,1,53,0,1,0.3,5.5,80,1,0,1,1,3.26666666666667,1,1,1,0.882352941176471,0,0.5,0,2,2
1789,0,1,0,29,2,1,0.03,1,0,2,0,9,2,2.5,1,2,1,0.625,0,0.666666666666667,0,3,0
1958,4,1,3,116,1,3,0.19,3,88,2,1,43,3,4.76,0,1,1,1.32142857142857,0,0.0,0,8,10
1937,0,1,1,39.0,0,0,1.67,0,0,1,0,0,2,0.2,0,0,1,0.230769230769231,0,1.0,0,2,0
1939,0,1,1,374,0,2,1.54,7.5,84,2,0,2,2,0.896551724137931,0,0,0,0.183333333333333,0,0.0,0,1,1
1938,2,1,6,109,0,0,2.69,0,86,1,0,3,2,3.30769230769231,0,1,1,0.866666666666667,0,0.666666666666667,0,2,1
366,2,2,4,72,1,3,0.4,0,100,3,0,12,2,3.83333333333333,0,1,0,2.0,0,0.0,0,4,5
1793,0,1,0,29,1,3,0.43,0,0,2,0,5,2,3.0,1,2,1,0.5,0,0.666666666666667,0,3,0
1720,2,1,4,63,0,6,0.03,1,83,3,0,10,1,5.55555555555556,1,1,1,1.45454545454545,0,0.666666666666667,0,2,1
1794,0,1,0,29,1,3,0.42,0,0,2,0,5,2,3.0,1,2,1,0.5,0,0.666666666666667,0,3,0
1851,1,1,1,41,0,2,0.03,3,30,2,0,24,2,4.25,0,0,1,1.16666666666667,0,0.8,0,2,1
1945,10,1,3,255,0,4,0.03,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.4375,0,3,2
1604,0,1,4,6.5,2,4,1.27,0,35.0,1,1,0,1,2.16666666666667,1,1,1,0.875,0,0.428571428571429,0,2,1
1806,0,1,16.5,29,1,7,0.34,0,0,2,0,8,2,4.33333333333333,1,2,1,0.0491803278688525,0,0.428571428571429,0,0,0
1922,0,1,2,6.5,0,0,0.03,1,43.0,1,0,0,2,5.47619047619048,1,1,1,1.03571428571429,0,0.428571428571429,0,2,1
1438,0,1,0,6.5,1,14,0.03,0,66.5,2,2,5,2,1.47058823529412,0,0,1,0.2625,0,0.4142857142857145,0,3,1
851,0,1,0,12.5,0,2.5,0.27,1,100,2,0,15,1,6.63636363636364,0,1,1,0.933333333333333,0,0.428571428571429,1,1,1
1850,1,1,0,12.5,0,2,0.12,4,38,2,0,27,2,4.41666666666667,0,0,1,0.466666666666667,0,0.428571428571429,0,2,1
1998,0,2,1,34,13.0,1,0.2,22.0,100,2,0,9,2,2.91666666666667,0,1,1,1.26666666666667,0,0.428571428571429,0,3,1
2128,0,1,0,23,2,5,0.27,0,35.0,2,0,0,1,0.2983870967741935,0,1,1,0.166666666666667,0,0.428571428571429,0,1,0
308,3,2,1,12.5,0,22.5,0.16,22.0,99,1,0,3,1,9.46153846153846,0,1,0,0.714285714285714,0,0.0,0,3,3
1280,0,1,0,6.5,0,4.5,0.16,0,40,1,0,26,2,4.14285714285714,2,2,1,0.681818181818182,0,0.428571428571429,0,5,3
376,8,2,2,28.5,0,22,0.03,0,100,2,0,25,3,4.5,0,1,0,1.3448275862069,0,0.636363636363636,0,6,7
1802,0.0,1,0,38,2,3,0.0,0.0,50,2,0,2,2,3.57142857142857,1,1,1,1.4,0,0.428571428571429,0,2,1
209,2.5,1,1,32.5,3,22,0.06,0,100,1,1,79,3,6.48815165876777,0,1,0,1.59174311926605,0,0.428571428571429,0,5,4
305,6,1,2,32.5,0,10.0,0.065,0,94,1,0,10,1,5.03846153846154,1,1,1,0.574074074074074,0,0.0,0,6,4
1605,0,1,5,12.5,2,4,1.81,22.0,85,1,16.0,4,1,2.28571428571429,2,0,1,0.666666666666667,0,0.428571428571429,0,2,1
1623,2,1,7,12.5,0,0,0.49,0,56.0,3,66.5,19,1,8.75,3,2,1,1.6,0,0.5,0,2,1
645,8.0,1,0,8.0,0,15,0.08,22.0,56.0,3,0,18,1,4.0,1,1,0,1.23529411764706,0,0.5,0,1,1
766,2,1,4,32.5,0,2,0.21,22.0,100,1,0,37,2,6.475,0,1,0,0.840909090909091,0,0.428571428571429,1,5,7
831,4,1,0,68.5,0,2.5,0.25,0,66.5,1,3,19,2,2.19375,0,1,0,0.550561797752809,0,0.454545454545455,1,7,7
2049,5,4,9,32.5,0,1,0.21,4,80,2,0,29,2,4.6,2,2,1,2.5,0,0.428571428571429,0,3,2
208,0,2,4,20.5,0,0,0.31,10.5,96,1,0,26,2,5.50943396226415,1,1,1,1.36206896551724,0,0.428571428571429,0,4,1
834,1,4,3,47,0,11,0.22,2,48,1,0,5,2,7.75,0,2,1,2.0,0,0.153846153846154,0,4,2
1581,1,3,12,66,1,2,0.25,10,50,3,0,30,1,30.25,2,1,1,2.66666666666667,0,0.4,0,2,1
1966,1,1,4,6.5,8.0,6,0.0,4,88,3,0,17,2,5.33333333333333,0,1,1,1.35714285714286,0,0.428571428571429,0,5,1
1817,3,1,0,12.5,0,11,0.0,10.5,86,1,0,8,2,2.64285714285714,0,1,1,0.1530214424951265,0,0.428571428571429,0,2,1
1955,3,1,0,24.5,3,8,0.46,0,22.0,2,0,9,2,4.30769230769231,0,0,1,0.230769230769231,0,0.428571428571429,0,2,0
1650,47.5,1,1,24,0,88.0,0.55,0,0,2,0,4,1,3.5,3,4,2,1.0,1,0.428571428571429,0,2,0
677,8.0,2,7,20.5,5,46,0.22,4,97,2,1,190,2,8.65071770334928,1,1,1,1.85321100917431,0,0.428571428571429,3,6,1
1933,3,1,0,12.5,2,7,0.05,10.5,98,1,2,13,2,0.628712871287129,0,26.5,1,0.189320388349515,0,0.428571428571429,0,1,1
1855,4,1,1,55,2,11.0,0.21,3.5,56.0,1,0,4,1,3.70833333333333,1,1,1,0.75,0,0.3518518518518515,0,1,0
429,8.0,1,4,20.5,17,7,0.34,0.0,100,3,6,77,2,5.06578947368421,0,1,0,1.08620689655172,0,0.428571428571429,1,7,1
1944,77.5,2,1,12.5,0,7,0.38,0.0,86,1,16.0,3,1,4.05,1,1,1,0.608695652173913,0,0.428571428571429,0,2,0
498,12,1,2,81.0,3,39.0,5.390000000000001,18.0,100,1,1,13,2,6.11363636363636,0,1,1,0.865979381443299,0,0.0,0,5,3
350,7.0,2,1,6.5,1,31,0.15,3.5,100,3,1,28,2,4.61111111111111,0,1,1,1.225,0,0.0,0,4,6
1853,4,1,1,12.5,0,3,0.09,3,66,2,0,27,2,4.41176470588235,0,0,1,1.17391304347826,0,0.666666666666667,0,1,1
1965,2,2,2,28.5,0,5,0.2,2,86,2,0,33,2,4.0,0,1,1,1.38888888888889,0,0.777777777777778,0,3,6
1059,2,1,5,60,0,8,0.26,0,61,2,0,14,1,5.0,2,1,1,1.2,0,0.75,0,3,3
26,6,1,0,68.5,0,383,0.3,0,100,2,5,4,1,12.6617647058824,0,0,0,0.384615384615385,0,0.0,4,6,16
1798,1,1,3,37,1,0,0.10500000000000001,1,50,2,10.0,8,1,3.0,1,1,1,1.0,0,0.666666666666667,0,3,0
1431,3,1,0,12.5,0,16,0.17,0,84.5,2,1,8,2,1.67469879518072,0,0,1,0.252525252525253,0,0.428571428571429,0,5,9
1799,1,1,3,12.5,1,2,0.51,1,50,2,0,8,1,3.66666666666667,1,2,1,1.0,0,0.666666666666667,0,3,0
1805,0,1,0,29,1,3,0.065,2,0,2,0,8,2,3.0,1,2,1,0.833333333333333,0,0.666666666666667,0,3,0
1814,6,1,2,122.0,0,3,0.3,0,93,2,0,29,3,2.96,0,0,1,1.18518518518519,0,0.666666666666667,0,2,1
1915,0,1,2,110,5.5,3,0.53,0,84,1,0,5,1,3.63636363636364,1,1,1,0.457142857142857,0,0.5,0,2,1
499,2,1,1,32,0,3,0.11,3,89,2,0,18.0,3,4.09090909090909,0,0,1,1.42857142857143,0,0.75,0,1,7
