,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,1,0,1,0,0,0,2,0,9,7,0.23,0,61,2,0,2,1,3.25,0,4.0,1,1,0.545454545454545,125,0.25,0,1,4
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,7,0,1,2,0,2,3,0,7,13,0.55,0,75,2,0,20,2,3.9,0,3.65,0,1,0.68,53,0.0,0,2,4
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,0,0,1,2,0,4,2,0,7,8,1.0,0,71,2,1,0,1,20.25,1,4.625,1,1,0.583333333333333,204,0.545454545454545,0,5,6
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,2,0,1,0,0,2,1,6,7,26,0.4,0,76,2,0,0,2,3.67647058823529,0,3.14705882352941,1,1,0.805555555555556,46,0.5,0,3,6
937,1,0,1,0,3,11,1,6,2,5,1.01,0,66,2,0,9,1,6.5,2,4.83333333333333,2,1,2.14285714285714,192,0.0,0,4,4
65,0,0,1,2,0,5,3,0,4,6,0.81,0,66,2,0,0,1,3.5,2,5.0,2,1,0.545454545454545,452,0.384615384615385,0,4,4
941,28,0,5,10,3,0,1,1,11,7,0.01,0,88,1,0,3,2,5.11111111111111,1,4.80555555555556,1,1,1.68421052631579,10,0.0,0,5,4
1128,0,0,1,0,5,3,1,1,2,56,0.75,0,40,2,1,4,3,3.87719298245614,0,1.92982456140351,1,1,0.525423728813559,11,0.0,0,2,2
