,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,0,1,0,0,0,1,0,1,10,0.07,0,0,4,0,9.5,1,1.8,0,1.2,1,1,0.416666666666667,161,0.4,0,3,0
1012,0,0,2,0,0,0,1,0,0,4,0.215,0,0,2,0,0,1,1.25,0,1.75,1,1,0.5,59,0.5,0,3,0
89,0,0,1,0,0,0,2,0,2,5,0.07,0,87,4,0,11.5,1,1.0,0,2.2,1,1,0.0,124,0.428571428571429,0,2,0
90,2,0,1,0,0,0,2,0,0,6,0.5,0,0,4,0,7.5,1,2.0,0,2.75,1,1,0.545454545454545,167,0.5,0,5,1
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,0,0,2,0,0,0,1,0,0,4,0.215,0,0,2,0,0,1,1.25,0,1.75,1,1,0.5,59,0.4,0,3,0
80,0,0,1,0,0,1,2,0,3,3,0.07,0,0,2,1,9,1,6.33333333333333,4,7.33333333333333,3,1,0.714285714285714,113,0.444444444444444,0,3,0
0,0,1,1,3,2,5,3,0,4,8,1.02,0,100,2,0,5,1,3.0,1,4.55555555555556,1,1,0.571428571428571,318,0.461538461538462,0,5,0
580,0,1,1,0,0,0,3,0,6,7,0.07,0,0,4,0,5,1,1.875,0,5.0,2,1,0.0,116,0.333333333333333,0,6,0
675,1,0,1,1,0,3,1,0,0,6,0.1,9,71,4,0,5,1,4.42857142857143,1,7.85714285714286,2,1,0.666666666666667,127.0,0.666666666666667,0,2,1
27,0,0,1,2,1,5,3,0,5,12,1.03,0,75,2,1,5,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,346,0.384615384615385,0,4,3
63,0,0,1,1,0,8,2,0,5,10,0.82,0,70,2,1,5,1,5.2,2,6.7,2,1,1.42857142857143,361,0.333333333333333,0,3,1
85,2,0,1,0,0,3,1,0,0,5,0.07,0,0,4,0,3,1,2.0,0,1.85714285714286,1,1,0.0,192,0.428571428571429,0,1,2
731,1,0,3,0,3,2,3,0,3,9,0.07,3,50,3,0,16,2,2.7,0,4.6,1,1,1.35714285714286,119.5,0.333333333333333,0,3,8
761,0,0,1,1,0,2,2,0,5,6,0.07,0,45,2,0,5,1,4.5,2,4.83333333333333,3,1,0.333333333333333,127.0,0.5,0,7,1
48,0,0,1,2,1,5,3,0,6,13,0.87,0,72,2,1,5,1,3.69230769230769,1,4.0,1,1,0.5,364,0.363636363636364,0,6,1
1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,0,0,3,0,0,17,1,4,0,1,0.66,2,0,2,0,5,1,4.0,3,11.2,2,1,2.375,353,0.375,0,2,5
556,0,0,1,0,0,2,2,0,5,4,0.64,0,25,2,1,9,1,5.75,3,7.0,4,1,1.125,89,0.375,0,4,0
114,0,0,1,0,0,0,3,2,2,13,0.3,1,75,4,0,20.5,1,2.53333333333333,0,4.53333333333333,1,1,0.368421052631579,127.0,0.363636363636364,0,3,2
379,1,0,1,0,0,0,2,0,9,7,0.07,0,61,2,0,7,1,3.25,0,4.0,1,1,0.545454545454545,125,0.25,0,1,4
1308,0,0,1,0,0,0,1,0,0,52,0.07,0,0,4,1,31,1,0.615384615384615,0,3.01923076923077,1,1,0.0,51.0,0.5,0,2,3
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1,0,1,0,0,4,1,1,4,5,0.28,3,100,2,4,4.0,1,11.4285714285714,1,11.4285714285714,4,1,0.888888888888889,23,0.833333333333333,0,2,0
324,0,1,1,0,8,5,3,0,4,10,0.07,0,12,3,0,5,2,4.27272727272727,2,4.63636363636364,2,1,0.933333333333333,54,0.333333333333333,0,4,5
757,0,0,1,2,0,4,2,0,7,8,1.0,0,71,2,1,5,1,20.25,1,4.625,1,1,0.583333333333333,204,0.545454545454545,0,5,6
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,1,0,1,0,3,11,1,6,2,5,1.01,0,66,2,0,5,1,6.5,2,4.83333333333333,2,1,2.14285714285714,192,0.5,0,4,4
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,1,2,1,5,3,0,4,9,0.79,0,74,2,0,5,1,3.33333333333333,1,4.11111111111111,1,1,0.642857142857143,326,0.333333333333333,0,4,4
65,0,0,1,2,0,5,3,0,4,6,0.81,0,66,2,0,5,1,3.5,2,5.0,2,1,0.545454545454545,452,0.384615384615385,0,4,4
1230,1,0,1,0,0,1,3,0,1,13,0.07,2,50,3,0,25,1,2.42857142857143,0,5.0,1,1,0.5,57,0.75,0,4,3
1254,0,0,1,2,0,0,1,2,2,14,0.07,0,75,3,0,22,1,3.25,1,5.5,1,1,0.166666666666667,22,0.428571428571429,0,2,3
1159,0,0,1,0,0,0,1,1,2,4,0.24,0,70,4,0,5,1,2.0,1,7.6,2,1,0.857142857142857,35,0.666666666666667,0,7,2
