Antecedent,Antecedent Coverage %,Confidence,Lift
-0.018 < OWN_COMMIT <= 0.051,0.32567,0.99853,1.06157
CountClassCoupled <= 0.36,0.20833,0.9977,1.06069
0.36 < CountClassCoupled <= 1.62,0.20163,0.99762,1.06061
0.76 < CountInput_Mean <= 2.02,0.20594,0.99535,1.05819
1.62 < CountClassCoupled <= 3.06,0.25335,0.99433,1.05711
1.3 < CountOutput_Mean <= 2.64,0.21025,0.99317,1.05587
CountOutput_Mean <= 1.3,0.1954,0.99265,1.05532
CountInput_Mean <= 0.76,0.2045,0.98829,1.05069
2.02 < CountInput_Mean <= 3.14,0.18966,0.98737,1.04971
1.56 < MINOR_LINE <= 2.14,0.21504,0.98664,1.04893
