Antecedent,Antecedent Coverage %,Confidence,Lift
-0.019 < OWN_COMMIT <= 0.063,0.33655,1.0,1.0426
0.28 < CountClassCoupled <= 1.64,0.20615,1.0,1.0426
RatioCommentToCode > 1.89,0.20156,1.0,1.0426
CountClassCoupled <= 0.28,0.19697,1.0,1.0426
CountOutput_Mean <= 1.32,0.191,1.0,1.0426
1.64 < CountClassCoupled <= 3.2,0.21258,0.99784,1.04035
CountDeclInstanceMethod <= 1.7,0.20937,0.99781,1.04032
0.94 < CountInput_Mean <= 2.06,0.19743,0.99767,1.04018
0.955 < RatioCommentToCode <= 1.89,0.18871,0.99757,1.04007
1.32 < CountOutput_Mean <= 2.31,0.21625,0.99575,1.03818
