Antecedent,Antecedent Coverage %,Confidence,Lift
0.64 < CountInput_Mean <= 1.74,0.22768,1.0,1.03656
0.32 < CountClassCoupled <= 1.58,0.20714,1.0,1.03656
CountOutput_Mean <= 1.26,0.20357,1.0,1.03656
CountClassCoupled <= 0.32,0.20223,1.0,1.03656
1.26 < CountOutput_Mean <= 2.13,0.20179,0.99779,1.03426
0.64 < CountDeclInstanceVariable <= 1.56,0.18438,0.99758,1.03405
-0.013 < OWN_COMMIT <= 0.051,0.32455,0.99725,1.03371
0.888 < AvgCyclomaticModified <= 1.06,0.39866,0.99328,1.02959
-0.97 < CountDeclMethodPrivate <= 0.01,0.62634,0.99216,1.02843
0.67 < CountDeclClass <= 1.02,0.69911,0.98595,1.022
