test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,12.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.5959329383255205,0.40406706167447937,1
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,31.0,77.0,0.55,0.0,97.0,2.0,3.0,70.0,0.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.5480973352075719,0.45190266479242813,2
48,0,12.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,22.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,1.0,0.0,0.496396396396396,0.666666666666667,3.0,0.7210991824072865,0.27890081759271323,1
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,50.0,0.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.5601812925735985,0.4398187074264016,1
153,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,3.0,0.0,2.0,4.40740740740741,0.0,0.0,0.0,0.383474576271186,0.75,1.0,0.8212111602283391,0.1787888397716611,1
212,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,65.0,0.41,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,1.0,0.0,0.61100569259962,1.0,1.0,0.966061351121802,0.033938648878198065,1
228,0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,13.0,30.0,0.26,0.0,89.0,2.0,2.0,0.0,2.0,3.775,0.0,0.0,0.0,0.584239130434783,0.857142857142857,1.0,0.5753404053025145,0.4246595946974855,1
236,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,63.0,0.06,0.0,92.0,2.0,1.0,42.0,6.0,4.08571428571429,0.0,0.0,0.0,0.351648351648352,0.5,1.0,0.5998606714420879,0.4001393285579121,2
243,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,10.0,36.0,0.16,1.0,87.0,2.0,1.0,0.0,2.0,3.24390243902439,0.0,0.0,0.0,0.419354838709677,0.5,2.0,0.753956556123089,0.24604344387691088,1
259,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,0.0,76.0,0.15,0.0,95.0,1.0,1.0,71.0,4.0,3.12765957446809,0.0,1.0,0.0,0.69479090242113,0.5,1.0,0.6202871474940953,0.3797128525059048,1
262,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,16.0,39.0,0.21,0.0,92.0,1.0,2.0,0.0,3.0,4.83720930232558,1.0,1.0,0.0,0.463840399002494,0.5,1.0,0.8040544977654127,0.19594550223458745,1
523,0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,29.0,37.0,39.0,0.14,0.0,93.0,1.0,2.0,42.0,2.0,4.25714285714286,0.0,0.0,0.0,0.417142857142857,0.666666666666667,4.0,0.6833184834222051,0.3166815165777947,1
739,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,37.0,0.13,0.0,85.0,2.0,0.0,24.0,2.0,2.83720930232558,1.0,1.0,0.0,0.460820895522388,1.0,1.0,0.5384413787809501,0.46155862121904967,1
746,0,5.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,10.0,44.0,78.0,0.15,0.0,96.0,1.0,0.0,41.0,4.0,24.0,0.0,1.0,0.0,0.659197012138189,0.666666666666667,2.0,0.6714811416259353,0.3285188583740648,1
