,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1,1,1,1,0,28,4,15,0.83,0,90,2,1,3,2,1.82352941176471,1,1,1,0.487179487179487,0,1.0,0,3,4
4,5,2,5,3,112,6,4,0.795,2,88,1,0,27,2,4.54166666666667,1,1,1,1.84375,0,1.0,0,7,8
94,0,1,0,0,26,1,5,0.92,0,99,1,2,1,2,0.382978723404255,0,0,1,0.135416666666667,0,1.0,0,1,2
174,,,,,,,,,,,,,,,,,,,,,,,,
102,2,2,1,2,41,1,7,1.695,1,75,2,0,14,1,4.375,0,1,1,1.5,0,1.0,0,3,1
108,3,1,1,2,96,2,6,0.93,4,88,2,0,4,2,3.75,1,1,1,1.09677419354839,0,1.0,0,7,0
183,,,,,,,,,,,,,,,,,,,,,,,,
272,0,2,0,0,33,1,8,1.66,1,88,4,2,12,2,4.0,0,1,1,1.91666666666667,0,0.5,0,3,2
184,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
283,0,1,0,1,50,1,5,0.89,0,85,2,0,9,2,3.35294117647059,0,1,1,1.0,0,0.0,0,3,0
285,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,
328,0,2,15,2,52,1,0,1.785,1,86,1,0,26,1,6.73333333333333,2,1,1,1.76470588235294,0,0.666666666666667,0,2,1
313,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,
337,4,2,1,2,59,1,4,0.5200000000000001,2,86,2,0,31,2,3.75,0,0,1,1.33333333333333,0,0.75,0,2,4
357,7,2,0,1,83,0.935,30,1,1,80,2,0,14,1,7.72222222222222,2,1,1,1.80952380952381,0,1.0,0,3,2
360,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,,
454,2,1,2,1,33,1,3,1.495,3,90,2,0,20,3,3.58333333333333,0,0,1,1.33333333333333,0,1.0,0,1,6
512,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,
520,7,2,15,4,29,11,0,0.24,1,100,2,1,28,2,2.44444444444444,0,1,1,1.74358974358974,0,1.0,0,2,5
362,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,
559,1,1,3,2,46,4,0,0.86,0,0,1,0,29,2,1.875,0,1,1,0.846153846153846,0,1.0,0,2,0
522,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,
643,0,1,0,0,72,1,25,0.61,0,94,2,0,14,2,3.32727272727273,0,1,1,0.210526315789474,0,0.05,0,3,2
