,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1,1.0,1.0,1.0,0.0,28.0,4.0,1049.0,36.99,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0
4,5.0,2.0,5.0,3.0,112.0,239.0,4.0,0.18,2.0,88.0,1.0,0.0,27.0,2.0,4.54166666666667,1.0,1.0,1.0,1.84375,0.0,1.0,1.0,7.0,8.0
24,6.0,1.0,22.0,0.0,63.0,8.0,318.0,0.29,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,4.0,0.0,0.368421052631579,0.0,0.7,0.0,4.0,14.0
94,0.0,1.0,0.0,0.0,26.0,1.0,5.0,41.72,0.0,99.0,1.0,2.0,1.0,2.0,0.382978723404255,0.0,0.0,1.0,0.135416666666667,0.0,1.0,1.0,1.0,2.0
101,2.0,1.0,243.0,1.0,651.0,1.0,8.0,1.62,0.0,96.0,1.0,0.0,4.0,2.0,0.623762376237624,0.0,0.0,1.0,0.144230769230769,0.0,1.0,0.0,5.0,8.0
102,2.0,15.0,346.0,2.0,41.0,1.0,7.0,0.29,1.0,75.0,2.0,0.0,14.0,1.0,4.375,0.0,1.0,1.0,1.5,0.0,1.0,0.0,3.0,1.0
108,3.0,1.0,1.0,2.0,96.0,2.0,6.0,1.34,4.0,32.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,0.0,7.0,2.0
174,12.0,1.0,1.0,3.0,354.0,2.0,645.0,1.13,0.0,90.0,1.0,0.0,38.0,2.0,1.0,31.0,1.0,1.0,0.1,0.0,0.333333333333333,0.0,6.0,8.0
183,2.0,2.0,42.0,4.0,228.0,313.0,0.0,4.44,0.0,72.0,1.0,0.0,23.0,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.833333333333333,0.0,1.0,9.0
220,16.0,16.0,6.0,3.0,165.0,266.0,0.0,2.58,8.0,77.0,2.0,2.0,33.0,2.0,6.16279069767442,1.0,1.0,1.0,1.10869565217391,0.0,0.1,0.0,7.0,6.0
269,6.0,1.0,2.0,2.0,159.0,1.0,22.0,0.44,0.0,23.0,1.0,0.0,6.0,1.0,5.17021276595745,1.0,1.0,1.0,0.1,0.0,0.333333333333333,0.0,6.0,6.0
270,8.0,2.0,1.0,4.0,211.0,2.0,645.0,1.13,3.0,84.0,1.0,0.0,82.0,2.0,1.0,31.0,1.0,1.0,0.1,0.0,0.571428571428571,0.0,5.0,9.0
272,0.0,2.0,0.0,0.0,33.0,1.0,8.0,1.19,1.0,88.0,4.0,2.0,204.0,2.0,4.0,0.0,1.0,1.0,1.91666666666667,0.0,0.5,0.0,3.0,2.0
281,14.0,20.0,2.0,1.0,135.0,354.0,33.0,0.2,1.0,24.0,3.0,2.0,16.0,2.0,7.22857142857143,0.0,1.0,1.0,1.425,0.0,0.2,0.0,1.0,2.0
283,256.0,1.0,363.0,1.0,50.0,1.0,5.0,0.37,0.0,85.0,2.0,0.0,9.0,2.0,3.35294117647059,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
298,5.0,1.0,7.0,4.0,316.0,313.0,2.0,4.44,3.0,72.0,2.0,1.0,40.0,3.0,4.85714285714286,0.0,1.0,1.0,1.6,0.0,0.428571428571429,0.0,1.0,9.0
311,13.0,2.0,1.0,1.0,70.0,343.0,28.0,0.14,0.0,23.0,3.0,0.0,104.0,2.0,4.28571428571429,0.0,1.0,1.0,0.1,0.0,0.5,0.0,3.0,4.0
313,10.0,1.0,1.0,2.0,134.0,4.0,62.0,0.2,1.0,100.0,3.0,8.0,39.0,2.0,6.71428571428571,32.0,0.0,0.0,1.5,0.0,0.9,0.0,5.0,5.0
320,7.0,1.0,3.0,2.0,93.0,3.0,9.0,33.31,1.0,80.0,2.0,0.0,19.0,2.0,4.03571428571429,21.0,1.0,1.0,1.125,0.0,0.9,0.0,3.0,3.0
323,2.0,6.0,2.0,2.0,85.0,2.0,34.0,0.28,2.0,85.0,3.0,99.0,29.0,2.0,5.6875,0.0,1.0,1.0,0.1,0.0,1.0,0.0,2.0,1.0
327,2.0,2.0,0.0,3.0,67.0,2.0,3.0,0.37,1.0,24.0,3.0,0.0,13.0,2.0,4.63636363636364,0.0,1.0,0.0,2.14285714285714,0.0,0.666666666666667,0.0,1.0,5.0
328,0.0,2.0,15.0,2.0,52.0,1.0,0.0,0.17,1.0,86.0,1.0,0.0,120.0,1.0,6.73333333333333,2.0,1.0,1.0,1.76470588235294,0.0,0.666666666666667,0.0,2.0,1.0
335,1.0,11.0,1.0,1.0,40.0,1.0,6.0,36.38,2.0,86.0,4.0,0.0,22.0,2.0,5.5,0.0,1.0,1.0,1.92857142857143,0.0,0.8,0.0,3.0,2.0
336,2.0,2.0,2.0,2.0,104.0,4.0,645.0,0.22,0.0,100.0,1.0,0.0,25.0,3.0,3.92307692307692,31.0,1.0,0.0,0.1,0.0,0.6,0.0,5.0,4.0
337,4.0,2.0,1.0,2.0,59.0,1.0,4.0,20.39,2.0,86.0,2.0,0.0,206.0,2.0,3.75,0.0,0.0,1.0,1.33333333333333,0.0,0.75,0.0,2.0,4.0
338,3.0,2.0,2.0,6.0,103.0,1.0,5.0,36.04,4.0,86.0,2.0,0.0,16.0,2.0,5.76923076923077,0.0,1.0,1.0,1.4,0.0,0.9,0.0,2.0,6.0
